"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717875748263269E9,"2024-06-08 21:42:28.263 UTC+02:00"
"PAUSE",2.761193282041670E3,1.717878509454807E9,"2024-06-08 22:28:29.455 UTC+02:00"
