Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
0,709.7142857142857,262.14285714285717,830.2857142857143,256.57142857142856,0,7,0,0
1,706.875,280.75,829.125,275.0,0,8,0,0
2,714.0,247.0,844.3333333333334,249.66666666666666,0,6,0,0
3,736.8,208.4,887.4,214.2,0,2,3,0
4,724.1428571428571,221.57142857142858,877.5714285714286,224.14285714285714,1,0,6,0
5,709.8333333333334,231.83333333333334,862.1666666666666,235.16666666666666,0,5,1,0
6,692.2857142857143,245.14285714285714,845.7142857142857,248.14285714285714,3,4,0,0
7,653.0,248.5,801.75,249.5,2,6,0,0
8,628.2857142857143,246.85714285714286,782.8571428571429,245.85714285714286,0,7,0,0
9,620.0,251.85714285714286,777.7142857142857,250.85714285714286,0,7,0,0
10,624.5,256.25,785.625,257.0,0,8,0,0
11,626.7142857142857,254.85714285714286,787.4285714285714,257.14285714285717,0,7,0,0
12,623.5714285714286,252.28571428571428,783.8571428571429,254.85714285714286,0,7,0,0
13,620.25,249.625,780.25,251.375,0,8,0,0
14,618.8571428571429,252.0,777.1428571428571,253.71428571428572,0,7,0,0
15,619.7142857142857,256.0,779.1428571428571,257.7142857142857,5,2,0,0
16,622.8571428571429,255.85714285714286,783.2857142857143,257.42857142857144,0,7,0,0
17,626.5714285714286,258.57142857142856,789.4285714285714,261.57142857142856,3,4,0,0
18,625.7142857142857,259.85714285714283,786.5714285714286,262.57142857142856,6,1,0,0
19,621.25,249.25,778.875,250.125,5,3,0,0
20,619.5714285714286,264.0,779.8571428571429,264.7142857142857,5,2,0,0
21,615.75,263.375,776.25,263.625,5,3,0,0
22,617.2857142857143,263.42857142857144,777.1428571428571,264.0,5,2,0,0
23,619.5,264.5,780.0,265.25,6,2,0,0
24,610.5714285714286,259.0,772.0,260.85714285714283,1,6,0,0
25,617.25,266.375,773.75,266.625,8,0,0,0
26,611.8571428571429,264.7142857142857,769.4285714285714,264.2857142857143,6,1,0,0
27,619.7142857142857,265.85714285714283,778.0,265.2857142857143,5,2,0,0
28,622.5714285714286,267.0,781.2857142857143,266.0,5,2,0,0
29,625.125,266.25,784.375,266.5,2,6,0,0
30,621.1428571428571,266.85714285714283,779.7142857142857,267.7142857142857,4,3,0,0
31,624.25,268.125,783.625,268.5,4,4,0,0
32,621.7142857142857,267.7142857142857,780.8571428571429,269.0,1,6,0,0
33,622.375,269.625,781.875,270.25,3,5,0,0
34,619.4285714285714,271.7142857142857,780.2857142857143,271.57142857142856,1,6,0,0
35,620.875,271.0,781.75,271.25,1,7,0,0
36,627.8571428571429,272.0,789.1428571428571,273.0,0,7,0,0
37,629.3333333333334,274.3333333333333,789.8333333333334,275.8333333333333,6,0,0,0
38,629.1428571428571,273.57142857142856,789.7142857142857,275.2857142857143,5,2,0,0
39,628.875,272.25,789.625,274.375,1,7,0,0
40,628.4285714285714,273.42857142857144,790.2857142857143,275.42857142857144,0,7,0,0
41,627.625,273.75,789.625,275.5,0,8,0,0
42,627.2857142857143,273.85714285714283,788.7142857142857,275.7142857142857,0,7,0,0
43,628.125,274.25,789.5,276.125,0,8,0,0
44,629.0,275.0,790.8571428571429,276.85714285714283,0,7,0,0
45,629.1428571428571,275.57142857142856,790.8571428571429,277.14285714285717,4,3,0,0
46,626.0,275.0,787.75,276.75,2,6,0,0
47,628.5714285714286,275.0,790.1428571428571,276.7142857142857,2,5,0,0
48,627.125,275.125,788.75,276.75,1,7,0,0
49,625.8571428571429,277.7142857142857,787.4285714285714,279.7142857142857,1,6,0,0
50,631.5,277.75,793.25,279.625,5,3,0,0
51,628.7142857142857,277.2857142857143,790.7142857142857,279.2857142857143,0,7,0,0
52,628.7142857142857,279.42857142857144,790.8571428571429,281.42857142857144,3,4,0,0
53,629.125,279.625,791.125,281.5,3,5,0,0
54,629.0,279.1666666666667,791.5,281.0,4,2,0,0
55,632.8571428571429,278.2857142857143,794.8571428571429,280.7142857142857,2,5,0,0
56,631.75,278.75,794.0,280.75,0,4,0,0
57,636.0,279.2,798.6,281.4,3,2,0,0
58,638.0,280.6,800.0,283.4,5,0,0,0
59,633.5,280.5,795.3333333333334,282.8333333333333,2,4,0,0
