Time (s),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2)
0.0,-7.128012798,-2.20307829,6.253643558,9.734997594
1.0,-7.1589584575,-2.585347272,5.961695238,9.700180541
2.0,-6.4416926665,-5.4283910145,4.859230472,9.774226734500001
3.0,-6.195186162000001,-6.2295998925,4.289817514,9.779005049999999
4.0,-6.862247529999999,-5.6266684005,3.9736925465,9.735711135999999
5.0,-7.678730527000001,-5.1633979525,3.1309083600000003,9.76875624
6.0,-7.684440711500001,-5.125400497999999,3.158944177,9.76213578
7.0,-7.698644997500001,-5.1068757855,3.1496209175,9.760626181500001
8.0,-7.801256615,-4.8967069510000005,3.213425001,9.7559973155
9.0,-7.861004427999999,-4.788558318,3.2688905425,9.767926428500001
10.0,-7.9308444885,-4.746652814,3.1484938495,9.764328016499999
11.0,-7.943981875,-4.7252121065,3.1412060635000003,9.76231748
12.0,-7.95753164,-4.7311717715,3.10233249,9.763755006499999
13.0,-7.955620907,-4.729840716,3.1027052445,9.7616637625
14.0,-7.951883091499999,-4.7255848605,3.116180164,9.760849162
15.0,-7.950685582,-4.722382696,3.130440216,9.7628892575
16.0,-7.945854451500001,-4.7177306055,3.142522444,9.760594304000001
17.0,-7.9533462255,-4.721013484,3.1207442025,9.7612917905
18.0,-7.949314903,-4.714810207499999,3.1399880085,9.761178382499999
19.0,-7.947581742000001,-4.7180578655000005,3.1438373564999997,9.7625777735
20.0,-7.9580291345,-4.707573785,3.1233843005,9.7594599485
21.0,-7.990391249,-4.7088358665,3.053711539,9.7644596525
22.0,-7.9886566205000005,-4.684937035,3.0829360599999998,9.7607288345
23.0,-7.9804413515,-4.6879205365,3.102461633,9.7616248635
24.0,-7.9798514019999995,-4.685516712,3.110227836,9.762459438
25.0,-7.971900289,-4.688906721,3.115974709,9.759425202
26.0,-7.9763454575,-4.711861926499999,3.088939752,9.765521377
27.0,-7.968912384999999,-4.70787463,3.0887709855,9.7574697095
28.0,-7.973904944,-4.7078672925,3.0811823545,9.759195657
29.0,-7.979281997499999,-4.686213792,3.1197976415,9.765390042
30.0,-7.9712516385,-4.6871867685,3.1278749625,9.7618740835
31.0,-7.976270613,-4.686510234,3.115374487,9.761652615
32.0,-7.975029077,-4.680679712,3.1276342865,9.7617607025
33.0,-7.9770146539999995,-4.683699902000001,3.1240373545,9.763678832499998
34.0,-7.980357702,-4.686140415,3.112636064,9.763939999
35.0,-7.974731167,-4.6785048225,3.1324712865,9.76202768
36.0,-7.9701172325,-4.676569142,3.147607458,9.7621977135
37.0,-7.9726854215,-4.6778312235,3.141907546,9.763066369
38.0,-7.9704078045,-4.680035463499999,3.1393980585,9.7614565505
39.0,-7.970975741,-4.671481193,3.155351648,9.7629624305
40.0,-7.970924376999999,-4.6715619075,3.1517150925,9.761784414000001
41.0,-7.9746313744999995,-4.6829000945,3.1250763705,9.7616808905
42.0,-7.9723948490000005,-4.677301442999999,3.1379716130000004,9.761309026
43.0,-7.968332708,-4.677379222,3.1473330285,9.761041079
44.0,-7.9740106065,-4.6817025845,3.1300395785,9.7621890535
45.0,-7.9735938265,-4.6760804525,3.1393936565000002,9.762157767
46.0,-7.9704400905,-4.678626628,3.140202269,9.7610628255
47.0,-7.9732548255,-4.682078274,3.1273789345000003,9.760901741
48.0,-7.969544893,-4.675534529,3.1449365415,9.760373827
49.0,-7.9693438405000006,-4.677062234,3.1444405140000002,9.7607826285
50.0,-7.971527535,-4.682195677,3.1339490960000003,9.761652835
51.0,-7.9690341905,-4.676228674,3.1485114605,9.761442152
52.0,-7.967993707,-4.678459329,3.148126966,9.7615404475
53.0,-7.971451223,-4.682242638,3.1358745035,9.7622330715
54.0,-7.967449251,-4.678013198,3.1513614165000003,9.7619234115
55.0,-7.969317425,-4.6809658810000006,3.137471183,9.76039069
56.0,-7.9691515934999995,-4.681695247,3.1449512165,9.763014804
57.0,-7.9643762295,-4.679612813,3.1515991569999997,9.760258309000001
58.0,-7.9717755485,-4.685274568500001,3.1327193005,9.7629410255
59.0,-7.965435791,-4.6780939125,3.153317642,9.760954414499999
60.0,-7.96588926,-4.6831304975000005,3.1511119345000003,9.7630315765
61.0,-7.970921442,-4.6796040075,3.1387464725000003,9.761459741
62.0,-7.9640372285000005,-4.675914621,3.16521496,9.762615767500002
63.0,-7.972572421000001,-4.6845818915,3.1318050250000002,9.76296794
64.0,-7.967041276,-4.6832992645000004,3.1405089840000002,9.7606287635
65.0,-7.9619856125,-4.70021409,3.1321205450000003,9.7619556955
66.0,-7.9623290165,-4.712247889,3.1140258205,9.762241210500001
67.0,-7.9568052090000005,-4.71007887,3.1285045355000003,9.7613185865
68.0,-7.959578853,-4.717205227,3.1074160365,9.760285858
69.0,-7.967000185,-4.695242076,3.122571285,9.760575881
70.0,-7.939742162,-4.7087610225,3.1719582905,9.7608072315
71.0,-7.9531847965,-4.7113967174999996,3.137390469,9.7618641395
72.0,-7.954392579,-4.7024124595,3.1478921595,9.7618852
73.0,-7.944357564500001,-4.70313302,3.1666340684999996,9.7601168765
74.0,-7.961103623,-4.7207625355000005,3.1056637975,9.762684904499999
75.0,-7.9564207145,-4.7094566345,3.1284927954999997,9.760693922
76.0,-7.9549267624999995,-4.713172436500001,3.130112955,9.761791531
77.0,-7.966113793,-4.7083266315,3.1115911780000003,9.762651088
78.0,-7.948815940499999,-4.7083677225,3.149620918,9.76076934
79.0,-7.9700189075,-4.6727520795,3.151085519,9.761414351500001
80.0,-7.9692807365,-4.6408771875,3.2020046325,9.762183823
81.0,-7.9611461815,-4.6465947095,3.2154164485,9.762664324
82.0,-7.9658349610000005,-4.658207325499999,3.187377696,9.762828071000001
83.0,-7.958720344,-4.652469258,3.202891024,9.75936548
84.0,-7.9658232205,-4.6617484915,3.181881772,9.7627232415
85.0,-7.966674392,-4.6583790275000005,3.1829325285,9.762144051
86.0,-7.9588362795,-4.655686098,3.2004901345,9.760206235
87.0,-7.9708920915,-4.658317390500001,3.1732497225,9.7624066005
88.0,-7.9658364285,-4.653427559500001,3.190208574,9.7614774095
89.0,-7.964279372,-4.653740145,3.1936763624999998,9.7614872025
90.0,-7.97011283,-4.652915389,3.1805771325,9.7615782755
91.0,-7.9680113175,-4.651927737,3.1873013845,9.7615845135
92.0,-7.965532648,-4.6525998685,3.1898050015,9.760701028
93.0,-7.971640535500001,-4.6557345265,3.1740069715,9.762031716500001
94.0,-7.963808293,-4.6559575925,3.1867554609999997,9.7598972595
95.0,-7.9692469835,-4.657532259,3.175922107,9.761563435500001
96.0,-7.979154322,-4.6643313555,3.1452740749999997,9.762973381
97.0,-7.9704679735,-4.660383682,3.1672724465,9.761105271
98.0,-7.979604856,-4.6661892565,3.1419251565,9.7631515535
99.0,-7.978762489499999,-4.6595750695,3.1482737195,9.7613547355
100.0,-7.9751185965,-4.660546579,3.154589996,9.760877957
101.0,-7.9825619415,-4.664347498,3.133998992,9.762141981
102.0,-7.9799922855,-4.6569701925,3.1513261955000003,9.762095874500002
103.0,-7.978658295,-4.657752389,3.156010572,9.762891387
104.0,-7.9761576125,-4.660430643,3.1509490385000003,9.7604920195
105.0,-7.975988846,-4.663436158,3.146744546,9.760447329
106.0,-7.9770983035,-4.669397291,3.142118871,9.762705236
107.0,-7.9146150025,-4.616037665,3.3644711935,9.761205630500001
108.0,-7.8584127585,-4.6565299315,3.4287536935,9.756932576
109.0,-7.859780502,-4.7024095245,3.3836064015,9.7641000695
110.0,-7.861510728000001,-4.701619989499999,3.3726747225,9.761328017499999
111.0,-7.856491753,-4.705388623499999,3.377136033,9.760645552
112.0,-7.858496408000001,-4.7048603105,3.3768821495,9.76191875
113.0,-7.8640671765,-4.7041382825,3.3637697104999997,9.7615291665
114.0,-7.8665399755,-4.711132560999999,3.3465026765,9.760961314
115.0,-7.8642051245,-4.7068121335,3.356195755,9.7603208175
116.0,-7.867753628,-4.707952410000001,3.349879478,9.7615621365
117.0,-7.8689790209999995,-4.7063073015,3.349528737,9.761639501000001
118.0,-7.8679576155,-4.7031697085,3.356737276,9.761774833499999
119.0,-7.869086150999999,-4.708220969,3.348268123,9.762214872000001
120.0,-7.8688454750000005,-4.707048407,3.3485572279999998,9.7615518105
121.0,-7.8677272125,-4.7012149495,3.35799202,9.7610791455
122.0,-7.8696012565,-4.7081373195000005,3.3481624605,9.762555093
123.0,-7.866601612,-4.7044728805,3.3522744975,9.7597766515
124.0,-7.8666427025,-4.703692151,3.3559066504999997,9.760682042500001
125.0,-7.875707676,-4.732356074,3.301104436,9.763177660499998
126.0,-7.881146365999999,-4.725132859,3.290227055,9.7603813105
127.0,-7.887550695,-4.7375584905,3.2631539425,9.7624864795
128.0,-7.8921837075,-4.7262173685,3.2647946484999997,9.761281573000002
129.0,-7.8832713585,-4.7272020855,3.2823918780000003,9.760457182
130.0,-7.888167060000001,-4.723939752,3.2758584060000002,9.760638864499999
131.0,-7.889865,-4.726243784499999,3.2710889125,9.761527789999999
132.0,-7.889248635,-4.7227011515,3.2731141125,9.759991396
133.0,-7.895724873000001,-4.725097638499999,3.2575464849999998,9.7611840285
134.0,-7.9053240295,-4.717071681,3.252345536,9.7633427115
135.0,-7.899255766,-4.7137902700000005,3.2564634435,9.758209807
136.0,-7.897626800499999,-4.7329577635,3.2400431775,9.7607085185
137.0,-7.901659591,-4.73400265,3.24284764,9.765401486
138.0,-7.8945376365,-4.7214948365,3.263187696,9.7603627255
139.0,-7.894176622,-4.729259572,3.2502675045,9.759518956
140.0,-7.889191401,-4.7273576445,3.266684835,9.760047985
141.0,-7.8851630135,-4.722651255,3.288005205,9.761671174
142.0,-7.890554742,-4.747732921000001,3.2332338085,9.760017206499999
143.0,-7.914962809,-4.7638993030000005,3.159672075,9.7634494415
144.0,-7.914082286999999,-4.759537784500001,3.1616473794999997,9.761251844499998
145.0,-7.9177951545,-4.7631361835,3.1444449170000004,9.760458421500001
146.0,-7.9206098895,-4.7569593225,3.1508154925,9.761783513000001
147.0,-7.92072876,-4.7628999105,3.1423081835,9.762035201
148.0,-7.922523557,-4.7620472715,3.141294116,9.7627468325
149.0,-7.9183264025,-4.7539772885,3.158153175,9.7608473785
150.0,-7.9164714365,-4.749153496,3.1720668885,9.761513013
151.0,-7.911153084,-4.751209515,3.184824183,9.762349315
152.0,-7.907503321,-4.748441741,3.1903068990000003,9.759841117
153.0,-7.879385321999999,-4.7411598255000005,3.2773567605,9.762505431000001
154.0,-7.8656902715,-4.7331368035,3.3205463589999997,9.762063479
155.0,-7.890224546500001,-4.7284993879999995,3.266009768,9.761229862
156.0,-7.8823629539999995,-4.730119547999999,3.2816052785,9.7608715365
157.0,-7.883517905,-4.7318938,3.2774345394999997,9.7612647905
158.0,-7.891552667,-4.7407445125,3.250629986,9.763093668
159.0,-7.887418617,-4.732731763,3.2661227685,9.761031285
160.0,-7.8753495964999995,-4.717426825,3.319728941,9.76202579
161.0,-7.8525176645000005,-4.70938179,3.381412434,9.760868668
162.0,-7.866206844500001,-4.724629494,3.3313444925,9.762032274500001
163.0,-7.8720799255,-4.729550144,3.313447885,9.763054241999999
164.0,-7.8715809629999995,-4.7223298645,3.32149292,9.761891542499999
165.0,-7.8754860775,-4.7332498035,3.2991863654999998,9.762767809
166.0,-7.871401923500001,-4.721185186,3.320213228,9.760758063499999
167.0,-7.8695968535,-4.7159666265,3.3295951885,9.759974473
168.0,-7.8725964985,-4.7222799680000005,3.318678185,9.7617344805
169.0,-7.8749577644999995,-4.7250242615,3.309561848,9.761868438
