Time (s),Sound pressure level (dB)
0.0,-72.01522139
1.0,-65.619969485
2.0,-56.89499083
3.0,-53.122587095
4.0,-53.378346375
5.0,-69.47003957000001
6.0,-74.154418045
7.0,-72.86052584999999
8.0,-72.271746965
9.0,-67.99812221
10.0,-71.11658017
11.0,-73.86312318
12.0,-71.670201495
13.0,-74.46717165
14.0,-75.17523734
15.0,-74.262405395
16.0,-76.26936412500001
17.0,-74.93544385999999
18.0,-73.382431215
19.0,-73.13376473
20.0,-75.84615136
21.0,-73.759302515
22.0,-73.65783252
23.0,-73.021134125
24.0,-72.999430695
25.0,-74.37309781
26.0,-73.081572755
27.0,-73.034201015
28.0,-74.44611524
29.0,-72.932773225
30.0,-76.34629363
31.0,-75.299112995
32.0,-75.81079691
33.0,-74.338329665
34.0,-72.54923199000001
35.0,-76.26859053999999
36.0,-74.289550295
37.0,-74.77200109500001
38.0,-73.994055865
39.0,-77.32213124
40.0,-76.84825289
41.0,-74.383679115
42.0,-75.73445698500001
43.0,-74.93091344999999
44.0,-75.03325825499999
45.0,-74.09982543
46.0,-74.89084969
47.0,-70.43150824
48.0,-74.02353836500001
49.0,-72.232706165
50.0,-76.7017075
51.0,-73.02515649
52.0,-76.49918013
53.0,-71.812623205
54.0,-72.24519876
55.0,-71.08449124
56.0,-73.27593369499999
57.0,-74.40266895
58.0,-74.49587180500001
59.0,-73.839328225
60.0,-75.04074455
61.0,-73.61567940500001
62.0,-73.458948515
63.0,-76.89691344
64.0,-76.16466249499999
65.0,-75.06821393
66.0,-74.336469725
67.0,-73.13057413
68.0,-75.35523144999999
69.0,-75.43191361
70.0,-73.768755165
71.0,-74.78522672
72.0,-73.55100896
73.0,-74.00277051
74.0,-72.57890297
75.0,-72.66839599
76.0,-72.1781728
77.0,-73.121960495
78.0,-74.86866959
79.0,-75.149807055
80.0,-73.45453184
81.0,-73.1826687
82.0,-72.99264791499999
83.0,-72.30920787
84.0,-75.23473799
85.0,-74.101637675
86.0,-72.12193651499999
87.0,-73.66664588500001
88.0,-71.632374555
89.0,-69.74565988500001
90.0,-65.886775335
91.0,-67.62856473
92.0,-66.390178675
93.0,-69.62153919
94.0,-70.10411716
95.0,-69.12386903
96.0,-72.512633025
97.0,-69.38956334
98.0,-72.38109424999999
99.0,-71.383126585
100.0,-74.901278385
101.0,-72.28668902
102.0,-72.90591456499999
103.0,-73.9093071
104.0,-73.35967452
105.0,-75.94556244500001
106.0,-73.758911635
107.0,-71.12431867000001
108.0,-74.47463759
109.0,-72.937735775
110.0,-71.88299537
111.0,-77.38336587
112.0,-73.67352514000001
113.0,-72.61945764
114.0,-69.99445518499999
115.0,-71.18456216
116.0,-70.94039775499999
117.0,-69.83646866500001
118.0,-73.485016595
119.0,-71.660990965
120.0,-69.467098905
121.0,-70.20610828
122.0,-71.16621804
123.0,-74.47144713
124.0,-73.2832147
125.0,-73.86376939499999
126.0,-73.82647126500001
127.0,-73.66396639499999
128.0,-72.424727975
129.0,-69.78624092000001
130.0,-70.032145095
131.0,-71.03915875499999
132.0,-71.48425258
133.0,-72.26124571
134.0,-73.62760884
135.0,-72.73608755000001
136.0,-72.423404645
137.0,-75.93404201
138.0,-72.47261365
139.0,-74.549799995
140.0,-71.63466525999999
141.0,-73.95347373499999
142.0,-71.42651875499999
143.0,-74.98859771
144.0,-73.506953235
145.0,-74.417210635
146.0,-74.21388759999999
147.0,-74.3073263
148.0,-74.72201796499999
149.0,-75.28625203
150.0,-73.58842173
151.0,-74.09065723
152.0,-74.93039427
153.0,-61.82997064
154.0,-72.468256635
155.0,-71.58147948499999
156.0,-73.515594575
157.0,-74.80738303499999
158.0,-74.41446071499999
159.0,-74.36098882499999
160.0,-73.97732359
161.0,-73.29222211999999
162.0,-72.02864542500001
163.0,-75.52698999
164.0,-75.80068751499999
165.0,-72.50925494500001
166.0,-71.79002529499999
167.0,-74.132614355
168.0,-71.82703652
169.0,-71.426456675
170.0,-74.81622149
171.0,-72.03755594
172.0,-72.57365511500001
173.0,-73.05908056999999
174.0,-68.17986709
175.0,-69.02153461500001
176.0,-69.20147989
177.0,-69.898290575
178.0,-69.353771145
179.0,-69.90491940999999
180.0,-71.31378143
181.0,-61.266002415
182.0,-63.72703275
183.0,-74.85141082000001
184.0,-75.716211035
185.0,-75.55457706
186.0,-75.79689543
187.0,-75.145485185
188.0,-76.670642375
189.0,-76.56872025999999
190.0,-75.44658279000001
191.0,-74.11074821
192.0,-73.50351251500001
193.0,-73.76341056
194.0,-78.209698855
195.0,-75.87986451500001
196.0,-77.38280161
197.0,-74.5537346
198.0,-75.143674515
199.0,-74.34901225499999
200.0,-74.102840395
201.0,-73.545671335
