Time (s),Tilt up/down (deg),Tilt left/right (deg)
206.0,-55.25375528,-67.09494961499999
207.0,-55.38065951,-67.1692554
208.0,-55.854125624999995,-67.35974609
209.0,-55.435255385,-66.91386675499999
210.0,-56.753647545,-68.049348135
211.0,-56.96758698,-68.725762765
212.0,-55.77485191,-68.87340689
213.0,-56.536777015,-69.45112772499999
214.0,-56.550034405000005,-69.605080705
215.0,-56.16107809499999,-69.37393883499999
216.0,-56.335814875,-69.460473495
217.0,-56.2687276,-69.433067115
218.0,-56.148819700000004,-69.3681733
219.0,-56.2527598,-69.428310005
220.0,-56.34156018,-69.50866143
221.0,-56.131069525,-69.3903972
222.0,-55.95583386,-69.27854021
223.0,-56.290702874999994,-69.48684772
224.0,-56.139791175,-69.403825715
225.0,-56.120293815,-69.383601355
226.0,-56.37092176,-69.52867241499999
227.0,-55.91038041,-69.157073155
228.0,-56.13148679,-69.25372197
229.0,-56.58173748,-69.50526516
230.0,-55.72620277,-68.887987075
231.0,-55.18639256,-68.532980785
232.0,-55.711175245,-68.925617135
233.0,-55.625120214999995,-68.91144259500001
234.0,-56.195625475,-69.25164964000001
235.0,-56.250069535,-69.34205366500001
236.0,-56.01633654,-69.09997405499999
237.0,-56.40405151,-69.47259077
238.0,-56.167007240000004,-69.429473755
239.0,-55.8955008,-69.181251615
240.0,-56.10063325,-69.22929705
241.0,-56.292465825,-69.29509236999999
242.0,-56.258196479999995,-69.08153086
243.0,-56.67845562,-68.79419567
244.0,-56.342704825,-68.634994155
245.0,-56.71068731,-68.875440485
246.0,-56.6908258,-68.881035455
247.0,-56.77671131,-68.92317363
248.0,-56.839230015,-68.980987065
249.0,-56.71205623,-68.912195685
250.0,-56.945247185,-69.02635953500001
251.0,-56.80215216,-68.96578995
252.0,-56.774656085000004,-68.96165617
253.0,-57.042193575,-69.06781125500001
254.0,-56.860160255,-69.00530997999999
255.0,-56.754559220000004,-68.95178598
256.0,-57.00611778,-69.07729522
257.0,-56.704497090000004,-68.94277045
258.0,-56.641695935,-68.89867428
259.0,-56.964919370000004,-69.03616647
260.0,-56.830264885000005,-68.772970155
261.0,-56.674913105,-68.699029845
262.0,-56.87884785,-68.81056638
263.0,-56.58135729,-68.65524769000001
264.0,-56.456895065,-68.54850596
265.0,-56.65625119,-68.68526777
266.0,-56.542431945,-68.75860956
267.0,-56.56155,-68.79305199000001
268.0,-56.71726332,-68.87111003000001
269.0,-56.490169429999995,-68.731360645
270.0,-56.441214009999996,-68.70300449999999
271.0,-56.65557022,-68.795496685
272.0,-56.450830595,-68.67347874000001
273.0,-56.5749726,-68.65368038
274.0,-57.31976382,-69.07861252
275.0,-57.06814814,-68.97528111
276.0,-57.025470375,-68.927535425
277.0,-57.202104399999996,-69.03736315500001
278.0,-57.041528965,-68.95298036
279.0,-57.17418833,-69.0330066
280.0,-57.11441869,-68.99033882500001
281.0,-56.980104825,-68.90680397
282.0,-57.212663585,-69.03284622999999
283.0,-57.05509959,-68.97344192
284.0,-57.03719425,-68.951629545
285.0,-57.22822117,-69.05729264
286.0,-57.012612925,-68.925296925
287.0,-57.07931031,-68.96257700999999
288.0,-57.13840935,-69.00504893
289.0,-56.950112765,-68.8931666
290.0,-57.19355091,-69.03320872
291.0,-57.08689672,-68.979726855
292.0,-57.047490305,-68.963247115
293.0,-57.25801324,-69.08225523499999
294.0,-57.040500655,-68.961986585
295.0,-57.202201005,-69.04428361
296.0,-57.21630956,-69.070751365
297.0,-57.38794213,-69.17091606
298.0,-57.56050989,-69.309209545
299.0,-57.377154114999996,-69.164171205
300.0,-56.8388265,-68.85451232
301.0,-56.75125118,-68.81129501500001
302.0,-57.078938789999995,-68.994001725
303.0,-57.173416685,-69.04392013500001
304.0,-57.041045929999996,-68.97569675
305.0,-57.071584955,-68.999230915
306.0,-57.354113174999995,-69.197867085
307.0,-57.185369315,-69.100712415
308.0,-57.17862836,-69.11024778
309.0,-57.433916855,-69.24917797
310.0,-58.044531405,-69.64167046
311.0,-57.24610293,-69.120137195
312.0,-57.28582106,-69.13328913
313.0,-57.11568112,-69.039995455
314.0,-57.12449756,-69.04363122500001
315.0,-57.287269465,-69.13535893
316.0,-57.120451645,-69.043154685
317.0,-57.212125334999996,-69.110585305
318.0,-57.222214820000005,-69.097855705
319.0,-57.06989368,-68.999186065
320.0,-57.17121068,-69.04979171
321.0,-57.082645600000006,-69.01173611
322.0,-57.006426700000006,-68.944756065
323.0,-57.16853696,-69.03801367
324.0,-57.028426089999996,-68.95592494
325.0,-56.994860675,-68.92339347000001
326.0,-57.089000850000005,-68.98020825
327.0,-56.96001129,-68.91064684
328.0,-57.015509985,-68.924454955
329.0,-56.975279985,-68.90081411
330.0,-56.883615275,-68.8444507
331.0,-57.02907098,-68.931262155
332.0,-56.82910928,-68.76743719000001
333.0,-56.750601200000006,-68.678611905
334.0,-56.531961375,-68.538351565
335.0,-55.744474385000004,-67.856993835
336.0,-56.088570085,-68.080613325
337.0,-55.821110185,-67.86074550000001
338.0,-56.198543885,-68.10810603
339.0,-56.75267784,-68.544175085
340.0,-56.568714639999996,-69.029489265
341.0,-53.96946213,-67.886099055
342.0,-54.52923356,-67.14344555
343.0,-52.331539910000004,-69.131661045
344.0,-51.835390000000004,-71.75827447500001
345.0,-52.457411865,-71.043008685
346.0,-53.83047896,-71.826192555
347.0,-53.456884779999996,-71.976375505
348.0,-52.983950995,-71.76897764
349.0,-53.108560905000004,-71.824697035
350.0,-53.091324209999996,-71.81938366
351.0,-53.01456263,-71.78567076
352.0,-52.990355055,-71.78782264
353.0,-52.969160405,-71.792410295
354.0,-52.81491663,-71.73565787999999
355.0,-52.886177465,-71.74517542000001
356.0,-52.843459339999995,-71.72843087999999
357.0,-52.69627423,-71.65346651
358.0,-52.88083392,-71.740541745
359.0,-52.753526185,-71.684601105
360.0,-51.779639599999996,-70.77960129
361.0,-52.666986085000005,-70.7649654
362.0,-53.394353455,-71.23994142999999
363.0,-53.498547135,-71.44203227
364.0,-53.589238995,-71.40986009
365.0,-53.412398280000005,-71.288869415
366.0,-53.62868965,-71.38911621
367.0,-53.564749685,-71.392603315
368.0,-53.600994925,-71.410702585
369.0,-53.791283945,-71.465803995
370.0,-53.515297575000005,-71.33025473000001
371.0,-53.644157109999995,-71.459974355
372.0,-53.508303135,-71.52836830000001
373.0,-53.197883035000004,-71.36314147499999
374.0,-53.70392173,-71.59335981999999
375.0,-53.57486374,-71.41074170499999
376.0,-53.78583147,-71.49296009
377.0,-54.07916229,-71.60752693
378.0,-53.87116286,-71.44612153
379.0,-54.956567805,-70.93691281
380.0,-55.680615265,-71.367295215
381.0,-55.329748105,-71.19679516
382.0,-55.756545974999995,-71.40446302000001
383.0,-55.828789130000004,-71.46556999
384.0,-55.532951874999995,-71.33467615
385.0,-55.68654435,-71.35976884
386.0,-55.70664298,-71.421637505
387.0,-55.97891639,-71.549120845
388.0,-56.006674024999995,-71.58364064
389.0,-55.88552441,-71.551540055
390.0,-56.055593134999995,-71.649178
391.0,-56.278090324999994,-71.74449118999999
392.0,-56.16841924,-71.70843764
393.0,-56.14934457,-71.70727252500001
394.0,-56.29507642,-71.747033805
395.0,-56.06883568,-71.651623505
396.0,-56.119661675,-71.66718754
397.0,-56.312142025,-71.76343774
398.0,-56.1792947,-71.71077787499999
399.0,-56.216959939999995,-71.715955275
400.0,-56.300339109999996,-71.745982685
401.0,-56.14360135,-71.681239015
402.0,-56.31600933,-71.75197207
403.0,-56.30502191,-71.7555249
404.0,-56.160147429999995,-71.68422182500001
405.0,-56.089788125,-71.76628708999999
406.0,-55.97033158,-71.973066355
407.0,-55.980684425,-72.00512143
408.0,-56.074605475,-71.95997302
409.0,-55.879516775,-71.832160415
410.0,-55.830947390000006,-71.767630055
411.0,-56.0118493,-71.81088808
412.0,-55.896333985,-71.78657446
413.0,-55.87498472,-71.773711465
414.0,-55.843248375,-71.71777005
415.0,-55.8414894,-71.72696908
416.0,-55.723532425,-71.710880935
417.0,-55.74872671,-71.7582926
418.0,-55.88081947,-71.860588415
419.0,-55.76289779,-71.832342805
420.0,-55.697971734999996,-71.801071385
421.0,-55.65228014,-71.78552414500001
422.0,-55.823401415,-71.84610986
423.0,-55.66962377,-71.77217809
424.0,-55.61697868,-71.74831585
425.0,-55.67121587,-71.77592675
426.0,-56.01806096,-71.990278435
427.0,-55.68397067,-72.01034336000001
428.0,-55.79441095,-72.17336052
429.0,-56.45724914,-72.560472215
430.0,-57.00124488,-72.875822865
431.0,-55.337979815,-71.868490155
432.0,-54.843807835,-71.62306097000001
433.0,-56.04037647,-72.319330835
434.0,-55.85554732,-72.1606353
435.0,-55.348794565,-71.80780053
436.0,-55.42109528,-71.832876575
437.0,-55.536428459999996,-71.8592552
438.0,-55.345831475,-71.78169485000001
439.0,-55.441521755,-71.815925195
440.0,-55.398483895,-71.77747946
441.0,-55.31288644,-71.742380005
442.0,-55.4694299,-71.78951769
443.0,-55.34325907,-71.735680965
444.0,-55.30001383,-71.707332245
445.0,-55.47748826,-71.76944655
446.0,-55.285609019999995,-71.70436255499999
447.0,-55.268693005,-71.69388902
448.0,-55.450251015,-71.77153538
449.0,-55.282426455,-71.69653893
450.0,-55.30137441,-71.717227705
451.0,-55.30698457,-71.69967281000001
452.0,-55.19691124,-71.648115885
453.0,-55.28970083,-71.67566891
454.0,-55.232719085,-71.64681719500001
455.0,-55.17450264,-71.616802775
456.0,-55.359081315,-71.704756285
457.0,-55.19958357,-71.63064507
458.0,-55.23126742,-71.63866174500001
459.0,-55.471461865,-71.751653385
460.0,-70.565231985,-79.53368287
461.0,-73.084961605,-80.88784559
462.0,-73.53301225999999,-81.70841816500001
463.0,-74.170683615,-82.074076855
464.0,-73.92001303,-82.435818415
465.0,-76.96796958,-83.4844286
466.0,-76.27402205,-83.435710335
467.0,-74.998422635,-82.91537875
468.0,-75.04799535999999,-82.840436185
469.0,-74.778134315,-82.726984725
470.0,-74.695451765,-82.68699231
471.0,-75.24014136,-82.823484785
472.0,-77.57526381,-83.77654061
473.0,-77.83453505,-83.93360557
474.0,-77.92405165,-83.951775755
475.0,-77.852062445,-83.90095449
476.0,-77.370787075,-83.64461915999999
477.0,-73.8222773,-82.15337237
478.0,-73.90876065500001,-82.261913955
479.0,-74.50019424,-82.4415591
480.0,-74.44805596,-82.36855912
481.0,-74.669988005,-82.46918135
482.0,-74.722892365,-82.542247705
483.0,-74.57816339499999,-82.52353751999999
484.0,-73.89432761,-82.265384325
485.0,-74.10255294000001,-82.352532835
486.0,-74.13198181,-82.36829531
487.0,-75.05286047999999,-82.707247225
488.0,-77.10389062499999,-83.572083265
489.0,-77.226482525,-83.63575510999999
490.0,-77.17049982500001,-83.60073168
491.0,-77.01656497,-83.525852395
492.0,-76.93138291,-83.47947501499999
493.0,-76.954388085,-83.46597011
494.0,-76.83045526500001,-83.429799355
495.0,-76.870460525,-83.409632645
496.0,-77.131358835,-83.524728245
497.0,-76.73855728000001,-83.324585445
498.0,-76.76292402499999,-83.328750635
499.0,-76.762654285,-83.31806418
500.0,-76.82444979,-83.35183395499999
501.0,-76.853590725,-83.36518057
502.0,-77.09100242,-83.48889550999999
503.0,-77.01917583,-83.44361778
504.0,-77.09442774499999,-83.49265129
505.0,-77.5310494,-83.7026077
506.0,-77.33022674,-83.61132043
507.0,-77.253266325,-83.571295705
508.0,-77.262574915,-83.572423855
509.0,-77.196440055,-83.53574194500001
510.0,-77.2535871,-83.569049405
511.0,-77.15477656,-83.5132227
512.0,-77.118995275,-83.49249994499999
513.0,-77.19517337,-83.54100994
514.0,-77.17404324,-83.51677963
515.0,-77.10421077000001,-83.49057798000001
516.0,-76.560081295,-83.19195823
517.0,-73.568336735,-81.98274953
518.0,-72.14835814,-81.43846277
519.0,-72.788642965,-81.69550152
520.0,-72.984804185,-81.692734015
521.0,-60.998973199999995,-72.454904865
522.0,-54.743402965,-65.68023549
523.0,-51.368933395,-55.47155703
524.0,-42.53257232,-46.85549684
525.0,-39.646968380000004,-49.735603495
526.0,-60.17812244,-68.978352
527.0,-64.28556121,-72.388901515
528.0,-68.14016677500001,-75.63042164999999
529.0,-69.79016054,-77.16907888
530.0,-68.79705465500001,-77.531645735
531.0,-68.61199303,-77.60393371
532.0,-69.69998333,-78.216055415
533.0,-69.32810584,-78.06939966499999
534.0,-69.575770455,-78.206941465
535.0,-69.48730524999999,-78.17625892000001
536.0,-69.48875269,-78.17615437500001
537.0,-69.58559070499999,-78.23778048
538.0,-69.34065756,-78.09608993
539.0,-69.500471705,-78.17243625500001
540.0,-69.486810045,-78.180971115
541.0,-69.39292233500001,-78.12531034
542.0,-69.62049827499999,-78.24483144999999
543.0,-69.55924668,-78.22280812
544.0,-69.4923065,-78.17718796
545.0,-69.775262825,-78.33652487500001
546.0,-69.389339205,-78.110326445
547.0,-69.015536485,-77.861600415
548.0,-69.38752444,-78.09863157
549.0,-69.687517345,-78.27443449500001
550.0,-69.53968918999999,-78.199711855
551.0,-69.69598977,-78.28829698499999
552.0,-69.777802315,-78.33209438
553.0,-69.66638499,-78.27048877
554.0,-70.04135242500001,-78.46674208
555.0,-69.991123975,-78.462896485
556.0,-69.923820105,-78.41960576
557.0,-70.24006858,-78.59334681
558.0,-69.957553885,-78.43960004499999
559.0,-69.972403305,-78.44311004
560.0,-70.188169555,-78.568096325
561.0,-70.022678575,-78.48589555999999
562.0,-70.183558605,-78.556606835
563.0,-70.12496602,-78.529429545
564.0,-69.27338465,-77.98266248
565.0,-67.761396155,-76.942548735
566.0,-68.31022211000001,-77.24983441
567.0,-68.79691653,-77.646015585
568.0,-69.273274295,-77.480670445
569.0,-70.81526452,-78.076477085
570.0,-71.31837486,-78.445827155
571.0,-71.38789151,-78.46674978499999
572.0,-71.16475113,-78.357718065
573.0,-71.55523407499999,-78.5786136
574.0,-70.088624905,-77.64449992499999
575.0,-70.24439409,-77.72895661000001
576.0,-70.74272778,-78.035997685
577.0,-69.48264344500001,-77.267719905
578.0,-69.579696875,-77.314467055
579.0,-69.543198175,-77.28908194
580.0,-69.584975265,-77.31224673
581.0,-69.73882774,-77.40618551
582.0,-69.88140077,-77.51550529
583.0,-70.14385127,-77.60780258
584.0,-69.44494585,-77.394879305
585.0,-69.941827795,-77.841534095
586.0,-70.022822575,-77.86403651500001
587.0,-69.90395986,-77.82947614
588.0,-69.98817985,-77.87485441499999
589.0,-70.11526406,-77.94601159
590.0,-69.7367586,-77.740108365
591.0,-69.82279383,-77.76933618999999
592.0,-69.91061250999999,-77.80912877
593.0,-69.69352351,-77.71850167
594.0,-69.812827655,-77.758020125
595.0,-69.79870947500001,-77.76181455
596.0,-69.66389297,-77.692943845
597.0,-69.938131435,-77.82497037
598.0,-69.797209595,-77.76545769
599.0,-69.701446325,-77.713997535
600.0,-69.99001207500001,-77.8649603
601.0,-69.806465395,-77.794067945
602.0,-69.80047874,-77.77205448000001
603.0,-69.9854127,-77.877582925
604.0,-69.82341162,-77.804533185
605.0,-69.9109641,-77.83823225500001
606.0,-69.85861006,-77.81234228
607.0,-69.800197915,-77.78933756500001
608.0,-69.774026815,-77.74278933
609.0,-67.84561801000001,-76.46905059
610.0,-67.5355835,-75.788580975
611.0,-69.38046553999999,-77.369265195
612.0,-68.31246329000001,-76.31108939
613.0,-69.88322432000001,-77.44906101000001
614.0,-70.74530989,-78.02445295
615.0,-70.28484127499999,-77.74203033500001
616.0,-70.11616309,-77.65995323
617.0,-70.38613692499999,-77.845265005
618.0,-70.43673362999999,-77.88573682500001
619.0,-69.90680975000001,-77.58042266
620.0,-69.87392371499999,-77.562927605
621.0,-70.518968155,-77.95134193499999
622.0,-70.332549175,-77.86687219999999
623.0,-69.81502837,-77.540429945
624.0,-70.328394975,-77.838851585
625.0,-69.848433665,-77.57261164
626.0,-69.77133984,-77.48202556000001
627.0,-69.75445127,-77.46021837
628.0,-69.18419703,-77.1214193
629.0,-69.87201092000001,-77.520281345
630.0,-69.491133005,-77.32236361
631.0,-69.62326647500001,-77.38189556
632.0,-69.46345467,-77.32071026
633.0,-69.48947927,-77.32946654
634.0,-69.636114945,-77.409562445
635.0,-69.35744449500001,-77.25542739
636.0,-69.855138125,-77.52928698
637.0,-69.534073885,-77.36528129
638.0,-69.53135403,-77.35666527999999
639.0,-69.88784322000001,-77.554104975
640.0,-69.41422419,-77.276614755
641.0,-69.709857655,-77.446425125
642.0,-69.61379144,-77.399805035
643.0,-69.457873165,-77.31150188000001
644.0,-69.808827865,-77.50748228500001
645.0,-69.438884895,-77.306613425
646.0,-69.81834701,-77.5062874
647.0,-69.64056065,-77.42466572000001
648.0,-69.469614425,-77.324506375
649.0,-69.90302132,-77.56179427000001
650.0,-69.50325438,-77.33274172
651.0,-69.37796932500001,-77.269480765
652.0,-69.83325625500001,-77.50380329
653.0,-69.541721635,-77.36502579
654.0,-69.65697147,-77.414742245
655.0,-69.67991879,-77.420038
656.0,-68.770796735,-76.90161769
657.0,-68.926578425,-76.97159930000001
658.0,-68.6129679,-76.83544365
659.0,-69.204354725,-77.182836855
660.0,-69.437303915,-77.284932295
661.0,-68.516107435,-76.78633036
662.0,-69.206677565,-77.157068315
663.0,-69.17093487,-77.151216445
664.0,-69.140886575,-77.14604655
665.0,-69.511673935,-77.32491393500001
666.0,-69.136066495,-77.13654618000001
667.0,-69.24480615,-77.185350535
668.0,-69.48299176,-77.320859605
669.0,-69.08073353,-77.09627801
670.0,-69.434138845,-77.278487445
671.0,-69.341359555,-77.25706872
672.0,-69.216040615,-77.17583421
673.0,-69.56393498,-77.369999175
674.0,-69.160290995,-77.166697345
675.0,-69.67582584,-77.44861036
676.0,-69.47756885999999,-77.35193361
677.0,-69.480194725,-77.34724729000001
678.0,-70.15717291499999,-77.71607525
679.0,-69.844002535,-77.586413725
680.0,-69.79896454,-77.53814248
681.0,-69.991748925,-77.6471425
682.0,-69.83070566,-77.57189855
683.0,-69.71947135,-77.47122479
684.0,-70.60478324,-77.94123088
685.0,-70.767816015,-78.1178099
686.0,-70.78519152999999,-78.11332048
687.0,-71.16557897999999,-78.328764835
688.0,-71.10605175500001,-78.32624091
689.0,-70.916911645,-78.171219395
690.0,-71.07194111,-78.288265585
691.0,-71.35608463,-78.47884194
692.0,-71.311088955,-78.452162195
693.0,-71.06965676,-78.3232505
694.0,-71.226024575,-78.419386205
695.0,-72.98474416,-79.469713885
696.0,-72.553715625,-79.249039435
697.0,-72.707478495,-79.32456467
698.0,-72.53539305,-79.224726325
699.0,-72.552587155,-79.23751132000001
700.0,-72.75457094500001,-79.34607746
701.0,-72.58852333,-79.26324122
702.0,-72.766078575,-79.35981119
703.0,-72.76763068,-79.37814614999999
704.0,-72.65593709500001,-79.309817455
705.0,-72.858996055,-79.41665119000001
706.0,-72.694657895,-79.33073217500001
707.0,-72.709596135,-79.33696104
708.0,-72.82593068,-79.39581839
709.0,-72.09639214,-78.88496176
710.0,-72.702920685,-79.299844105
711.0,-72.283485875,-79.04528074000001
712.0,-71.71235276499999,-78.688716605
713.0,-72.16296382499999,-78.923874445
714.0,-71.93806467499999,-78.81682237999999
715.0,-71.66083828500001,-78.62932699000001
716.0,-72.141683465,-78.92146740999999
717.0,-72.27941117,-79.01149936499999
718.0,-72.333561935,-79.02949115999999
719.0,-72.48927775,-79.11745509
720.0,-72.32112004999999,-79.029749595
721.0,-72.26452309,-78.99866396499999
722.0,-72.4579155,-79.100342175
723.0,-72.242220555,-78.98222391
724.0,-72.20687685,-78.952598365
725.0,-72.49186036,-79.117917375
726.0,-72.237311285,-78.981496475
727.0,-72.151835565,-78.936861435
728.0,-72.28115597,-79.00796615
729.0,-72.45059220499999,-79.09566201999999
730.0,-72.43543344,-79.09160975
731.0,-71.822023075,-78.701011575
732.0,-72.24408228499999,-78.95109914
733.0,-72.249526125,-78.98304823500001
734.0,-72.15244871,-78.93151272
735.0,-72.41597903,-79.06780003
736.0,-71.659819525,-78.63866705000001
737.0,-71.637813,-78.61137751499999
738.0,-71.69011399,-78.626111125
