Time (s),Inclination (deg),Rotation (deg)
0.0,50.02989794,-107.1749816
1.0,51.958958375,-109.7235598
2.0,60.11740425,-129.9381597
3.0,63.975453305,-135.15158359999998
4.0,65.86555843,-129.37330079999998
5.0,71.30650316500001,-123.9177411
6.0,71.11973377000001,-123.70265595000001
7.0,71.17454126,-123.5582165
8.0,70.768457485,-122.11374430000001
9.0,70.44843470999999,-121.34777875
10.0,71.188920665,-120.9007661
11.0,71.23001486000001,-120.74491805
12.0,71.47370631,-120.73372485
13.0,71.46729347499999,-120.73267575
14.0,71.38224565499999,-120.7218482
15.0,71.29794602999999,-120.7085847
16.0,71.21846426,-120.6990711
17.0,71.35483291,-120.69286855
18.0,71.235370295,-120.6725625
19.0,71.21428714000001,-120.69536475
20.0,71.33486476499999,-120.6064431
21.0,71.775720465,-120.51136245000001
22.0,71.58780319,-120.38943850000001
23.0,71.468721165,-120.43109355
24.0,71.42441195,-120.4120257
25.0,71.380693025,-120.46316795
26.0,71.560025615,-120.5716108
27.0,71.54531814500001,-120.57374935
28.0,71.595532115,-120.55776395
29.0,71.36878167500001,-120.42564625
30.0,71.311826185,-120.4560138
31.0,71.38881961,-120.43664305
32.0,71.31309100499999,-120.40939535
33.0,71.339178815,-120.4193041
34.0,71.4102992,-120.4218529
35.0,71.28364207999999,-120.39870604999999
36.0,71.19016596,-120.40282965
37.0,71.22723406,-120.40151900000001
38.0,71.23957354000001,-120.42044204999999
39.0,71.14367633,-120.37292145
40.0,71.163868905,-120.37351425
41.0,71.328779855,-120.42250525
42.0,71.248126075,-120.3995979
43.0,71.189554265,-120.41276404999999
44.0,71.299038385,-120.4180551
45.0,71.24100677999999,-120.38931170000001
46.0,71.23380743,-120.41281745
47.0,71.312964075,-120.42243619999999
48.0,71.203082465,-120.3990931
49.0,71.206972435,-120.40789375
50.0,71.2465444,-120.4269196
51.0,71.18304975000001,-120.40440805
52.0,71.185622945,-120.41959865000001
53.0,71.262961955,-120.4289696
54.0,71.16633987,-120.41892770000001
55.0,71.24939460499999,-120.4288459
56.0,71.208256465,-120.43327005
57.0,71.1615315,-120.43713315
58.0,71.28391829,-120.4441631
59.0,71.15225367,-120.4256908
60.0,71.17008775,-120.45119025
61.0,71.24362073,-120.41652725
62.0,71.081799415,-120.41841875
63.0,71.289634135,-120.43794729999999
64.0,71.231036795,-120.44847165
65.0,71.28564698,-120.5546703
66.0,71.39829378499999,-120.61777839999999
67.0,71.306827125,-120.6236631
68.0,71.435391585,-120.65287144999999
69.0,71.3421123,-120.5123869
70.0,71.0363281,-120.67057489999999
71.0,71.25280703,-120.642145
72.0,71.18774834,-120.59035645
73.0,71.06796475,-120.62591710000001
74.0,71.450989315,-120.66702115
75.0,71.35294732,-120.6288469
76.0,71.2977836,-120.6460963
77.0,71.41422677,-120.58497205
78.0,71.17482599499999,-120.63977704999999
79.0,71.16701713,-120.382736
80.0,70.852487875,-120.2142298
81.0,70.77015102,-120.2703612
82.0,70.944673995,-120.3179566
83.0,70.841265075,-120.3094909
84.0,70.978557865,-120.33696905
85.0,70.970889295,-120.3162442
86.0,70.85790035,-120.3263833
87.0,71.031517125,-120.3027015
88.0,70.92435084,-120.29232730000001
89.0,70.902834745,-120.29887955
90.0,70.984364285,-120.27618179999999
91.0,70.94262702500001,-120.27747120000001
92.0,70.925287075,-120.28883995000001
93.0,71.02606274499999,-120.28651199999999
94.0,70.942597135,-120.31224639999999
95.0,71.013217295,-120.30364725
96.0,71.20617867499999,-120.3090428
97.0,71.06599154,-120.3151
98.0,71.20233599,-120.3126183
99.0,71.18434269,-120.28481915
100.0,71.14421655999999,-120.3014159
101.0,71.27441052,-120.29847269999999
102.0,71.166903025,-120.267016
103.0,71.13944753,-120.2753741
104.0,71.16602893,-120.2975426
105.0,71.19199428,-120.31415989999999
106.0,71.22521834,-120.3425846
107.0,69.83655725,-120.2523756
108.0,69.42558288000001,-120.6487692
109.0,69.724452285,-120.89157125
110.0,69.786829305,-120.88176825
111.0,69.75744447,-120.9181197
112.0,69.761779635,-120.90883305
113.0,69.842949395,-120.88707504999999
114.0,69.949652345,-120.91664485
115.0,69.887703905,-120.90097925
116.0,69.9298494,-120.895704
117.0,69.932183175,-120.8829481
118.0,69.88744485999999,-120.86939770000001
119.0,69.94130379500001,-120.89286129999999
120.0,69.96288517,-120.9033713
121.0,69.87810587,-120.85964815
122.0,69.942695875,-120.89076015
123.0,69.91104705000001,-120.88073865
124.0,69.89028886,-120.87641825
125.0,70.23769355,-121.00082275
126.0,70.29967687,-120.9447562
127.0,70.472780395,-120.9906063
128.0,70.460064775,-120.9151865
129.0,70.34870079,-120.94900245
130.0,70.38979663,-120.91587535
131.0,70.42136839,-120.92274615
132.0,70.405547595,-120.90579055
133.0,70.505001985,-120.8978812
134.0,70.54181288000001,-120.82433075
135.0,70.50555674,-120.82614065000001
136.0,70.612943745,-120.9337842
137.0,70.60521989,-120.9264569
138.0,70.468148435,-120.88242575000001
139.0,70.546865725,-120.92506130000001
140.0,70.44571790500001,-120.93086535
141.0,70.31625461499999,-120.91860335000001
142.0,70.65366254,-121.0351421
143.0,71.11784523,-121.04310545
144.0,71.10117607000001,-121.02275
145.0,71.20628973000001,-121.0299962
146.0,71.12768949,-121.0027009
147.0,71.222692415,-121.0193686
148.0,71.230401065,-121.0091096
149.0,71.12205646000001,-120.97961805
150.0,71.03703973500001,-120.9598588
151.0,70.95955965,-120.98780725
152.0,70.92042237000001,-120.9847314
153.0,70.38411711500001,-121.03596405
154.0,70.114088775,-121.037182
155.0,70.45232782,-120.93365879999999
156.0,70.354473235,-120.96750665
157.0,70.38128429,-120.97328475
158.0,70.55199708,-120.9947785
159.0,70.451274465,-120.96525510000001
160.0,70.11895842,-120.9220706
161.0,69.731148495,-120.95232390000001
162.0,70.046616495,-120.9900267
163.0,70.16050505,-120.99747255
164.0,70.10783042,-120.9604425
165.0,70.248840205,-121.0063055
166.0,70.113412045,-120.95488900000001
167.0,70.05317181999999,-120.93274275
168.0,70.12505414,-120.9569113
169.0,70.182230875,-120.9640167
170.0,70.08914593,-120.95842915
171.0,70.00671923,-120.9551939
172.0,70.13819811,-120.9835487
173.0,69.9428437,-120.90209725
174.0,69.66298895,-120.99165475000001
175.0,69.510530365,-121.0900622
176.0,69.50600644,-121.03959425
177.0,69.46503047,-121.03932455
178.0,69.45801800000001,-121.08005895
179.0,70.56277159000001,-121.08237965000001
180.0,71.235679035,-121.04510295
181.0,70.97033533000001,-120.63776849999999
182.0,70.85868562,-119.65259085
183.0,70.958558885,-119.7292598
184.0,70.818500505,-119.6691711
185.0,70.660573315,-119.66553225
186.0,70.689965165,-119.62952365
187.0,70.658968535,-119.6413982
188.0,70.672675165,-119.6499085
189.0,70.705682655,-119.6712592
190.0,70.6403775,-119.64799024999999
191.0,70.64016956500001,-119.65044815
192.0,70.68376561,-119.6863499
193.0,70.61703686,-119.65322739999999
194.0,70.59620809,-119.65652184999999
195.0,70.68401587,-119.69846355
196.0,70.59643462,-119.6797291
197.0,70.57987646000001,-119.66992175
198.0,70.601263115,-119.68239704999999
199.0,70.65669334500001,-119.69871090000001
200.0,70.58596803500001,-119.66721385
201.0,70.58535934,-119.66438070000001
202.0,70.68290818,-119.6785199
203.0,70.095922215,-119.6358893
204.0,68.11509681,-120.63561565
205.0,69.20916013,-121.5082228
206.0,70.15822283,-121.34728995
207.0,70.22996735,-121.3758334
208.0,70.44098780499999,-121.5909431
209.0,70.07553522500001,-121.745392
210.0,71.050836895,-121.58219595
211.0,71.52948008,-120.9273905
212.0,71.42891915999999,-119.5939901
213.0,71.94039726,-119.55885649999999
214.0,72.04720546,-119.3703393
215.0,71.82981458500001,-119.31098610000001
216.0,71.915723205,-119.36020325000001
217.0,71.88672780499999,-119.3337593
218.0,71.82399340500001,-119.30713785
219.0,71.881012935,-119.32514065000001
220.0,71.94951567999999,-119.30287695
221.0,71.836468025,-119.26198965
222.0,71.73308842,-119.2451743
223.0,71.92683425,-119.2842157
224.0,71.84699336,-119.2526647
225.0,71.830168165,-119.2608599
226.0,71.96768513500001,-119.30398035
227.0,71.64308304,-119.3595171
228.0,71.74321109,-119.43915945
229.0,71.984121105,-119.53000170000001
230.0,71.43057863,-119.5328538
231.0,71.1038618,-119.4891054
232.0,71.45412973500001,-119.47270714999999
233.0,71.43100497,-119.41175025
234.0,71.751797505,-119.5012338
235.0,71.82174656000001,-119.43464735
236.0,71.620636795,-119.5308715
237.0,71.934481965,-119.40762620000001
238.0,71.868690095,-119.24453975
239.0,71.657255185,-119.31485359999999
240.0,71.72179907,-119.442152
241.0,71.79644501000001,-119.53480985
242.0,71.64675439499999,-119.78011570000001
243.0,71.52352692,-120.54811905
244.0,71.361384955,-120.4348313
245.0,71.582716295,-120.47326465
246.0,71.58308693000001,-120.44712240000001
247.0,71.6254134,-120.4740787
248.0,71.674177855,-120.4583523
249.0,71.60730124,-120.42676495
250.0,71.721994165,-120.5003336
251.0,71.65790951,-120.4427978
252.0,71.65057033,-120.42198105
253.0,71.76567148000001,-120.5388336
254.0,71.693803465,-120.44655965000001
255.0,71.64066599,-120.41570164999999
256.0,71.765896535,-120.4918836
257.0,71.626318905,-120.379745
258.0,71.58656931,-120.37744205
259.0,71.731788655,-120.50633285
260.0,71.53536258,-120.72086285
261.0,71.46010604,-120.66811385
262.0,71.56839884499999,-120.7183968
263.0,71.415281815,-120.63553089999999
