Time (s),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY
0,52,0,0,0,410.7548076923077,310.96597055288464
1,78,0,0,0,173.38957331730768,357.57927684294873
2,58,0,0,1,332.71047404661016,759.1898834745763
3,8,0,0,0,537.52783203125,579.36279296875
4,11,1,0,0,553.0490056818181,554.5340909090909
5,38,0,0,0,629.0564350328947,420.2064144736842
8,59,0,0,0,654.5325741525423,321.12698622881356
9,44,0,0,0,682.6535866477273,278.6349431818182
22,0,1,0,0,,
50,0,0,13,0,742.953125,276.1875
51,0,0,31,0,742.953125,276.1875
52,0,0,17,0,742.953125,276.1875
53,0,0,45,0,742.953125,276.1875
54,0,0,43,0,742.953125,276.1875
55,0,0,35,0,742.953125,276.1875
56,0,0,11,0,742.953125,276.1875
58,0,0,19,0,742.953125,276.1875
61,0,0,29,0,742.953125,276.1875
62,0,0,9,0,742.953125,276.1875
63,0,0,11,0,742.953125,276.1875
64,0,0,13,0,742.953125,276.1875
65,0,0,18,0,742.953125,276.1875
67,9,0,23,0,737.0633544921875,271.8782958984375
68,0,0,48,0,736.0859375,270.640625
69,0,0,26,0,736.0859375,270.640625
70,0,0,25,0,736.0859375,270.640625
71,0,0,5,0,736.0859375,270.640625
72,0,0,48,0,736.0859375,270.640625
73,0,0,19,0,736.0859375,270.640625
74,0,0,27,0,736.0859375,270.640625
75,0,0,55,0,736.0859375,270.640625
76,0,0,15,0,736.0859375,270.640625
77,0,0,46,0,736.0859375,270.640625
78,0,0,1,0,736.0859375,270.640625
79,0,0,27,0,736.0859375,270.640625
80,0,0,27,0,736.0859375,270.640625
81,0,0,18,0,736.0859375,270.640625
84,0,0,25,0,736.0859375,270.640625
85,0,0,6,0,736.0859375,270.640625
86,0,0,45,0,736.0859375,270.640625
87,0,0,50,0,736.0859375,270.640625
88,0,0,38,0,736.0859375,270.640625
89,0,0,8,0,736.0859375,270.640625
90,0,0,20,0,736.0859375,270.640625
91,0,0,32,0,736.0859375,270.640625
92,0,0,27,0,736.0859375,270.640625
93,0,0,22,0,736.0859375,270.640625
94,0,0,59,0,736.0859375,270.640625
95,0,0,25,0,736.0859375,270.640625
96,0,0,28,0,736.0859375,270.640625
98,1,0,15,0,736.0859375,270.41015625
107,0,0,1,0,736.0859375,270.41015625
108,0,0,25,0,736.0859375,270.41015625
