Time (s),Tilt up/down (deg),Tilt left/right (deg)
314.0,147.12449755,-120.64965375
315.0,147.28726945,-120.68578945
316.0,147.12045165,-120.64637970000001
317.0,147.21212535,-120.64597695
318.0,147.22221485,-120.6725003
319.0,147.06989364999998,-120.6554587
320.0,147.17121065,-120.68654095
321.0,147.0826456,-120.65125615
322.0,147.00642670000002,-120.66575175
323.0,147.16853700000001,-120.69942035
324.0,147.0284261,-120.67226955
325.0,146.99486065,-120.68259705
326.0,147.08900085,-120.69875475
327.0,146.9600113,-120.6657915
328.0,147.01551,-120.70103399999999
329.0,146.97527995000002,-120.69329264999999
330.0,146.88361525,-120.67889025
331.0,147.02907095,-120.7051695
332.0,146.8291093,-120.72693285
333.0,146.7506012,-120.76708165
334.0,146.53196135000002,-120.7390807
335.0,145.74447435000002,-120.85983005
336.0,146.08857005,-120.90297555000001
337.0,145.82111014999998,-120.92776434999999
338.0,146.1985439,-120.97275855000001
339.0,146.75267785,-120.94323875
340.0,146.56871465,-120.1393822
341.0,143.9694621,-119.1975264
342.0,144.5292336,-120.6082215
343.0,142.3315399,-116.366638
344.0,141.83538994999998,-112.77255299999999
345.0,142.4574119,-114.08247655
346.0,143.83047894999999,-114.181867
347.0,143.45688475,-113.7029283
348.0,142.983951,-113.59819565000001
349.0,143.1085609,-113.6244435
350.0,143.0913242,-113.61787145
351.0,143.0145626,-113.6009464
352.0,142.99035505,-113.579833
353.0,142.96916040000002,-113.5579917
354.0,142.81491665,-113.51055769999999
355.0,142.88617745,-113.55306675
356.0,142.8434593,-113.54112275
357.0,142.6962742,-113.5212716
358.0,142.88083390000003,-113.55464549999999
359.0,142.75352615,-113.5265396
360.0,141.7796396,-113.8786978
361.0,142.6669861,-114.582911
362.0,143.39435345,-114.57171345
363.0,143.49854714999998,-114.40258775000001
364.0,143.58923900000002,-114.51433545
365.0,143.4123983,-114.5254623
366.0,143.62868965,-114.5715149
367.0,143.5647497,-114.51654285000001
368.0,143.6009949,-114.52260005
369.0,143.79128394999998,-114.60437945
370.0,143.51529755,-114.5552654
371.0,143.6441571,-114.4952124
372.0,143.50830315,-114.30250865
373.0,143.197883,-114.26482480000001
374.0,143.70392175,-114.37505475
375.0,143.57486375000002,-114.5018219
376.0,143.78583145,-114.56596265
377.0,144.0791623,-114.6547808
378.0,143.8711629,-114.6926314
379.0,144.95656780000002,-116.2301975
380.0,145.6806153,-116.28559770000001
381.0,145.32974810000002,-116.20986239999999
382.0,145.75654595,-116.30081129999999
383.0,145.8287891,-116.28297649999999
384.0,145.5329519,-116.20259765
385.0,145.68654435,-116.3005133
386.0,145.70664295,-116.23645575
387.0,145.9789164,-116.30098855
388.0,146.00667405000002,-116.27906379999999
389.0,145.8855244,-116.21794285
390.0,146.05559315,-116.2340849
391.0,146.27809029999997,-116.29815105
392.0,146.16841920000002,-116.25200699999999
393.0,146.14934455,-116.2371757
394.0,146.2950764,-116.3093607
395.0,146.0688357,-116.24218945
396.0,146.11966165,-116.2650624
397.0,146.312142,-116.30214545000001
398.0,146.1792947,-116.25821695
399.0,146.21695995,-116.2836581
400.0,146.3003391,-116.31529745
401.0,146.14360134999998,-116.26689965
402.0,146.31600935,-116.3207809
403.0,146.3050219,-116.3065782
404.0,146.16014745,-116.27709155
405.0,146.08978810000002,-116.10774905
406.0,145.97033155,-115.73123355
407.0,145.9806844,-115.69758895000001
408.0,146.07460550000002,-115.83699254999999
409.0,145.8795168,-115.84178555
410.0,145.83094735,-115.8861478
411.0,146.0118493,-115.9821247
412.0,145.896334,-115.91639
413.0,145.87498475,-115.91533425
414.0,145.8432484,-115.96246805
415.0,145.8414894,-115.94879955
416.0,145.72353245,-115.8701906
417.0,145.74872670000002,-115.8290477
418.0,145.88081945,-115.80519724999999
419.0,145.76289774999998,-115.7432429
420.0,145.69797175,-115.72993585
421.0,145.65228009999998,-115.71206075
422.0,145.82340145,-115.77600810000001
423.0,145.66962375,-115.74419435
424.0,145.61697865,-115.73138255
425.0,145.67121585,-115.74059555
426.0,146.01806095,-115.74865595
427.0,145.6839707,-115.44172075
428.0,145.7944109,-115.3182753
429.0,146.45724915,-115.35340744999999
430.0,147.00124490000002,-115.38241245
431.0,145.33797985,-115.3383675
432.0,144.84380779999998,-115.2530175
433.0,146.04037649999998,-115.32877644999999
434.0,145.8555473,-115.38581635
435.0,145.34879454999998,-115.4296928
436.0,145.42109525,-115.45687065
437.0,145.53642845000002,-115.51821465
438.0,145.3458315,-115.46138690000001
439.0,145.44152175,-115.4961136
440.0,145.3984839,-115.5106127
441.0,145.3128864,-115.4853803
442.0,145.4694299,-115.5539108
443.0,145.3432591,-115.51935915
444.0,145.3000138,-115.52046955
445.0,145.4774883,-115.5869356
446.0,145.28560905,-115.5123282
447.0,145.26869299999998,-115.5119396
448.0,145.45025105000002,-115.56147870000001
449.0,145.28242645,-115.5199031
450.0,145.3013744,-115.5086641
451.0,145.3069846,-115.5362468
452.0,145.19691125,-115.5119651
453.0,145.2897008,-115.5531537
454.0,145.2327191,-115.54339834999999
455.0,145.17450265000002,-115.53410685
456.0,145.3590813,-115.5728915
457.0,145.19958355,-115.53693254999999
458.0,145.2312674,-115.5528202
459.0,145.47146185,-115.60336050000001
460.0,160.565232,-117.6792526
461.0,163.08496159999999,-117.81134555
462.0,163.53301225,-116.15587995
463.0,164.17068365,-115.9694188
464.0,163.92001305,-114.7596264
465.0,166.96796955,-116.26544695000001
466.0,166.27402205,-115.2253127
467.0,164.9984226,-114.8828143
468.0,165.04799535,-115.1907794
469.0,164.7781343,-115.12778345000001
470.0,164.69545175000002,-115.12479735
471.0,165.24014135,-115.5562453
472.0,167.57526380000002,-116.3312913
473.0,167.83453505,-116.24249710000001
474.0,167.92405165,-116.3469547
475.0,167.85206245,-116.3994014
476.0,167.37078705,-116.433076
477.0,163.8222773,-115.41711835000001
478.0,163.90876065,-115.22406805
479.0,164.5001942,-115.5698127
480.0,164.448056,-115.7083182
481.0,164.669988,-115.7457018
482.0,164.72289235,-115.60614665
483.0,164.5781634,-115.44238605000001
484.0,163.8943276,-115.1915901
485.0,164.1025529,-115.24102074999999
486.0,164.13198185,-115.23803140000001
487.0,165.0528605,-115.6307554
488.0,167.10389065,-116.20057975
489.0,167.22648255000001,-116.1962493
490.0,167.17049980000002,-116.21924505
491.0,167.01656494999997,-116.2052729
492.0,166.93138295,-116.21518649999999
493.0,166.95438810000002,-116.30407855
494.0,166.83045525,-116.2079137
495.0,166.87046055,-116.35172885
496.0,167.13135885,-116.41718165
497.0,166.73855724999999,-116.40895415
498.0,166.76292404999998,-116.43805415
499.0,166.76265425000003,-116.47447925
500.0,166.8244498,-116.46844415000001
501.0,166.85359069999998,-116.47452565
502.0,167.0910024,-116.47176435
503.0,167.01917585,-116.5003566
504.0,167.09442769999998,-116.46473055
505.0,167.5310494,-116.5218921
506.0,167.33022675,-116.47634365
507.0,167.2532663,-116.4772046
508.0,167.2625749,-116.4903939
509.0,167.19644004999998,-116.49923445
510.0,167.2535871,-116.48584915
511.0,167.15477655,-116.5026111
512.0,167.11899525,-116.51031405
513.0,167.1951734,-116.4780866
514.0,167.17404325,-116.52547820000001
515.0,167.10421075,-116.490094
516.0,166.5600813,-116.5431925
517.0,163.56833675000001,-115.53514425
518.0,162.1483581,-115.05680749999999
519.0,162.78864295,-115.22999064999999
520.0,162.98480419999999,-115.51009655
521.0,150.9989732,-119.4099557
522.0,144.74340295000002,-122.5816679
523.0,141.3689334,-130.71988514999998
524.0,132.5325723,-130.67946949999998
525.0,129.64696835,-125.07620409999998
526.0,150.17812245,-123.84498375
527.0,154.28556120000002,-123.385533
528.0,158.1401668,-122.55551120000001
529.0,159.7901605,-121.74241095
530.0,158.79705465,-119.68230080000001
531.0,158.611993,-119.3006853
532.0,159.69998335000002,-119.42159725
533.0,159.32810585,-119.24875714999999
534.0,159.57577045,-119.27841935000001
535.0,159.48730525000002,-119.228587
536.0,159.48875264999998,-119.23066535000001
537.0,159.5855907,-119.225467
538.0,159.34065755,-119.20855075
539.0,159.5004717,-119.253766
540.0,159.48681005,-119.2180136
541.0,159.39292235,-119.21431915
542.0,159.6204983,-119.25588235000001
543.0,159.55924670000002,-119.2230926
544.0,159.49230649999998,-119.23311770000001
545.0,159.77526285,-119.2619953
546.0,159.3893392,-119.2406158
547.0,159.01553645,-119.28214435
548.0,159.3875244,-119.2637446
549.0,159.6875173,-119.2800139
550.0,159.5396892,-119.2468112
551.0,159.69598975,-119.26159584999999
552.0,159.7778023,-119.27482814999999
553.0,159.666385,-119.26098955
554.0,160.0413524,-119.33175645
555.0,159.991124,-119.2734095
556.0,159.9238201,-119.2782957
557.0,160.2400686,-119.3199378
558.0,159.9575539,-119.27955465
559.0,159.9724033,-119.29160375000001
560.0,160.18816955,-119.30602335
561.0,160.02267855,-119.26518215
562.0,160.1835586,-119.32503460000001
563.0,160.124966,-119.30628300000001
564.0,159.27338465000003,-119.35791325
565.0,157.76139615,-119.56274015
566.0,158.3102221,-119.63608115
567.0,158.7969165,-119.44840579999999
568.0,159.27327425,-120.40361075000001
569.0,160.8152645,-121.2531877
570.0,161.31837485,-121.15807584999999
571.0,161.3878915,-121.2126683
572.0,161.16475115,-121.1329133
573.0,161.5552341,-121.20431555
574.0,160.0886249,-121.16341525
575.0,160.24439410000002,-121.20062035000001
576.0,160.74272775,-121.23888645
577.0,159.48264345,-121.122851
578.0,159.5796969,-121.15724990000001
579.0,159.5431982,-121.16043225
580.0,159.58497525,-121.1692501
581.0,159.7388277,-121.183347
582.0,159.8814008,-121.1498274
583.0,160.14385125,-121.31872095
584.0,159.44494585,-120.80074490000001
585.0,159.9418278,-120.5438078
586.0,160.02282255,-120.60622775
587.0,159.90395984999998,-120.51805815
588.0,159.98817985,-120.5359446
589.0,160.11526405,-120.55738755
590.0,159.7367586,-120.48125015
591.0,159.8227938,-120.53578295
592.0,159.9106125,-120.57042675
593.0,159.6935235,-120.46860465
594.0,159.81282765,-120.54615129999999
595.0,159.7987095,-120.5189986
596.0,159.66389295,-120.4825288
597.0,159.93813139999997,-120.57408115
598.0,159.79720959999997,-120.5092388
599.0,159.7014463,-120.48871075
600.0,159.99001205000002,-120.55953835
601.0,159.80646539999998,-120.46120305
602.0,159.80047875,-120.49979345
603.0,159.98541269999998,-120.5264507
604.0,159.82341165,-120.461971
605.0,159.9109641,-120.5089653
606.0,159.8586101,-120.493004
607.0,159.80019794999998,-120.4627957
608.0,159.7740268,-120.5254072
