Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
10.0,-7.9308444885,-4.746652814,3.1484938495,9.7643280165,-71.11658017,-7.9308444885,-4.746652814,3.1484938495,9.7643280165,-56.44336006,-68.34721770499999,624.5,256.25,785.625,257.0,0.0,8.0,0.0,0.0,0.003321736243,0.0044246388385,1.2668104599999962e-05,0.00746460073,0.0281106153649999,0.03091925948,-0.023681209061,0.05323860279,0.0,0.0,0.0,0.0,0.0,0.0,71.188920665,-120.9007661,-149.0992339,158.3472177,146.44336005,-120.9007661,1
11.0,-7.943981875,-4.7252121065,3.1412060635000003,9.76231748,-73.86312318,-7.943981875,-4.7252121065,3.1412060635000003,9.76231748,-56.385900015,-68.425245295,626.7142857142857,254.8571428571429,787.4285714285714,257.14285714285717,0.0,7.0,0.0,0.0,-0.01240921174,0.0096273496924999,0.0014797808815,0.016206172775,0.03612912003,0.0344556698349999,-0.004902165155,0.050259147965,0.0,0.0,0.0,0.0,0.0,0.0,71.23001486000001,-120.74491805,-149.25508195,158.42524525,146.3859,-120.74491805,1
12.0,-7.95753164,-4.7311717715,3.10233249,9.7637550065,-71.670201495,-7.95753164,-4.7311717715,3.10233249,9.7637550065,-56.7463726,-68.70110879,623.5714285714286,252.28571428571428,783.8571428571429,254.8571428571429,0.0,7.0,0.0,0.0,0.0039799960065,-0.0001029057845,-0.000327647202,0.007364010912,0.03010002157,0.034200338555,-0.0161544179765,0.0496472118249999,0.0,0.0,0.0,0.0,0.0,0.0,71.47370631,-120.73372485,-149.26627515,158.7011088,146.7463726,-120.73372485,1
13.0,-7.955620907,-4.729840716,3.1027052445,9.7616637625,-74.46717165,-7.955620907,-4.729840716,3.1027052445,9.7616637625,-56.73571992,-68.694135195,620.25,249.625,780.25,251.375,0.0,8.0,0.0,0.0,0.00157571295,-6.246958020000002e-05,-0.0008251385361,0.002018162075,0.0348301668,0.0326400262549999,-0.012991366665,0.04948782714,0.0,0.0,0.0,0.0,0.0,0.0,71.46729347499999,-120.73267575,-149.26732420000002,158.6941352,146.7357199,-120.73267575,1
14.0,-7.951883091499999,-4.7255848605,3.116180164,9.760849162,-75.17523734,-7.951883091499999,-4.7255848605,3.116180164,9.760849162,-56.598047245,-68.60080414,618.8571428571429,252.0,777.1428571428571,253.71428571428572,0.0,7.0,0.0,0.0,0.000505921707,-0.0003838233885,0.00059430393655,0.002666948813,0.035949432795,0.03204375644,-0.01361029731,0.050099905845,0.0,0.0,0.0,0.0,0.0,0.0,71.38224565499999,-120.7218482,-149.2781518,158.60080415,146.59804724999998,-120.7218482,1
15.0,-7.950685582,-4.722382696,3.130440216,9.7628892575,-74.262405395,-7.950685582,-4.722382696,3.130440216,9.7628892575,-56.45987196,-68.50884967,619.7142857142857,256.0,779.1428571428571,257.7142857142857,5.0,2.0,0.0,0.0,0.0020494939915,-0.003022837163,-0.000401314386775,0.003704361909,0.03429971542,0.031436589015,-0.012367506015,0.048156583385,0.0,0.0,0.0,0.0,0.0,0.0,71.29794602999999,-120.7085847,-149.29141529999998,158.50884965,146.45987195,-120.7085847,1
16.0,-7.945854451500001,-4.7177306055,3.142522444,9.760594304,-76.26936412500001,-7.945854451500001,-4.7177306055,3.142522444,9.760594304,-56.33211342,-68.42160608,622.8571428571429,255.8571428571429,783.2857142857143,257.42857142857144,0.0,7.0,0.0,0.0,-0.00254620476095,0.00324755392995,0.00023297113695,0.0041539359184,0.03647398537,0.03457321607,-0.009293309459,0.0511441887099999,0.0,0.0,0.0,0.0,0.0,0.0,71.21846426,-120.6990711,-149.3009289,158.42160605,146.3321134,-120.6990711,1
17.0,-7.9533462255,-4.721013484,3.1207442025,9.7612917905,-74.93544385999999,-7.9533462255,-4.721013484,3.1207442025,9.7612917905,-56.53401791,-68.57588888000001,626.5714285714286,258.57142857142856,789.4285714285714,261.57142857142856,3.0,4.0,0.0,0.0,0.0019726005185,-0.0020331904345,0.000279319042905,0.0028730273824999,0.0357265793549999,0.030597272805,-0.01500368593,0.04937834216,0.0,0.0,0.0,0.0,0.0,0.0,71.35483291,-120.69286855,-149.3071314,158.57588885,146.53401795000002,-120.69286855,1
18.0,-7.949314903,-4.714810207499999,3.1399880085,9.7611783825,-73.382431215,-7.949314903,-4.714810207499999,3.1399880085,9.7611783825,-56.337048945,-68.445926475,625.7142857142857,259.85714285714283,786.5714285714286,262.57142857142856,6.0,1.0,0.0,0.0,0.00095136108,-0.001093544406,-0.000142283193835,0.001465827618,0.035106436275,0.03134587119,-0.015814052695,0.04970394752,0.0,0.0,0.0,0.0,0.0,0.0,71.235370295,-120.6725625,-149.32743745,158.44592645,146.33704895,-120.6725625,1
19.0,-7.947581742000001,-4.7180578655000005,3.1438373564999997,9.7625777735,-73.13376473,-7.947581742000001,-4.7180578655000005,3.1438373564999997,9.7625777735,-56.322892975,-68.41764853000001,621.25,249.25,778.875,250.125,5.0,3.0,0.0,0.0,-0.0011057658214,0.0016902007788999,-2.6043534000000097e-06,0.00295325416505,0.03511656572,0.028592434535,-0.015563892185,0.0479294729549999,0.0,0.0,0.0,0.0,0.0,0.0,71.21428714000001,-120.69536475,-149.30463525,158.41764855,146.32289294999998,-120.69536475,1
