Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted,Absolute acceleration (m/s^2)_temp_mean_ws_5,Sound pressure level (dB)_temp_mean_ws_5,Absolute Attitude (m/s^2)_temp_mean_ws_5,Absolute (rad/s)_temp_mean_ws_5,Absolute Linear acceleration (m/s^2)_temp_mean_ws_5,Inclination (deg)_temp_mean_ws_5,Rotation (deg)_temp_mean_ws_5,Absolute acceleration (m/s^2)_temp_mean_ws_60,Sound pressure level (dB)_temp_mean_ws_60,Absolute Attitude (m/s^2)_temp_mean_ws_60,Absolute (rad/s)_temp_mean_ws_60,Absolute Linear acceleration (m/s^2)_temp_mean_ws_60,Inclination (deg)_temp_mean_ws_60,Rotation (deg)_temp_mean_ws_60,Absolute acceleration (m/s^2)_temp_max_ws_5,Sound pressure level (dB)_temp_max_ws_5,Absolute Attitude (m/s^2)_temp_max_ws_5,Absolute (rad/s)_temp_max_ws_5,Absolute Linear acceleration (m/s^2)_temp_max_ws_5,Inclination (deg)_temp_max_ws_5,Rotation (deg)_temp_max_ws_5,Absolute acceleration (m/s^2)_temp_max_ws_60,Sound pressure level (dB)_temp_max_ws_60,Absolute Attitude (m/s^2)_temp_max_ws_60,Absolute (rad/s)_temp_max_ws_60,Absolute Linear acceleration (m/s^2)_temp_max_ws_60,Inclination (deg)_temp_max_ws_60,Rotation (deg)_temp_max_ws_60,Absolute acceleration (m/s^2)_temp_min_ws_5,Sound pressure level (dB)_temp_min_ws_5,Absolute Attitude (m/s^2)_temp_min_ws_5,Absolute (rad/s)_temp_min_ws_5,Absolute Linear acceleration (m/s^2)_temp_min_ws_5,Inclination (deg)_temp_min_ws_5,Rotation (deg)_temp_min_ws_5,Absolute acceleration (m/s^2)_temp_min_ws_60,Sound pressure level (dB)_temp_min_ws_60,Absolute Attitude (m/s^2)_temp_min_ws_60,Absolute (rad/s)_temp_min_ws_60,Absolute Linear acceleration (m/s^2)_temp_min_ws_60,Inclination (deg)_temp_min_ws_60,Rotation (deg)_temp_min_ws_60,Absolute acceleration (m/s^2)_temp_std_ws_5,Sound pressure level (dB)_temp_std_ws_5,Absolute Attitude (m/s^2)_temp_std_ws_5,Absolute (rad/s)_temp_std_ws_5,Absolute Linear acceleration (m/s^2)_temp_std_ws_5,Inclination (deg)_temp_std_ws_5,Rotation (deg)_temp_std_ws_5,Absolute acceleration (m/s^2)_temp_std_ws_60,Sound pressure level (dB)_temp_std_ws_60,Absolute Attitude (m/s^2)_temp_std_ws_60,Absolute (rad/s)_temp_std_ws_60,Absolute Linear acceleration (m/s^2)_temp_std_ws_60,Inclination (deg)_temp_std_ws_60,Rotation (deg)_temp_std_ws_60
0.0,0.07661445403,0.1847335619,9.993017938,9.995018948,-35.91186365,0.07659545242,0.1850090851,9.993141451,9.995147386,1.05851466,0.4391555563,272.375,251.5625,352.5,247.5625,11.0,2.0,3.0,0.0,-0.03426177973,-0.02252484795,0.01823208592,0.0448736814,-0.001793202246,0.01332243788,0.188479051,0.1889578143,97.0,0.0,0.0,0.0,1226.9093105670104,805.2795183634021,1.145959484,22.53062776,67.46937224,89.56084444,88.94148533,22.53062776,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,-0.596781006665,-0.01776097025,9.9391849695,9.980964864,-36.407365725000005,-0.656850668625,-0.0257448222,9.9218055445,9.9733606685,-0.099059911,-3.35815753635,298.2,249.33333333333337,380.2,248.0,9.0,3.0,3.0,0.0,-0.11263792281,0.38357902665,0.3527128822,0.56192126055,-0.3445548578999999,-0.014368717492,0.130568108745,0.5156720884,70.0,0.0,0.0,2.0,1283.7223307291667,709.3244900173611,4.1451812375,-42.425405255,-47.57459475000001,93.35815753,90.099059905,-42.425405255,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.0,-2.2435148409,-0.69965059985,9.8675592475,10.257648374,-48.27237055,-2.20153523275,-0.6963740729,9.8837224955,10.25792243,-4.2521893995,-13.1400783905,272.57142857142856,283.7142857142857,344.07142857142856,279.35714285714283,13.0,1.0,0.0,0.0,-0.0295398681499999,-0.3704191880999999,0.200609244095,0.5336140111000001,0.2422484442499999,-0.179323232525,0.5991402583000001,0.8242538084,22.0,0.0,0.0,0.0,972.281072443182,723.1526988636364,13.718881921,-105.6499708,-164.3500292,103.140078385,94.252189395,-105.6499708,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.0,-4.5997765600000005,-1.85536323455,7.7520769385,9.609903144,-40.970142425,-4.635150651,-1.88099836295,7.719139973499999,9.602231121,-13.4181850835,-29.84282165,289.92857142857144,272.2857142857143,361.07142857142856,270.07142857142856,12.0,1.0,1.0,0.0,-0.60222773425,0.95568439405,-0.136545895115,1.166512143,0.3136435497,-0.06290392175,0.1364639382999999,1.0920455735,67.0,0.0,0.0,1.0,179.56393612132354,875.884765625,32.075154405,-102.81636187,12.81636189999999,119.84282165,103.4181851,-102.81636187,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4.0,-6.6939971825,-4.8716710745,5.3041774,9.905029739500002,-13.369230955,-6.676231443000001,-4.863095826,5.3270129310000005,9.908386013,-43.03568772,-51.78834419,292.93333333333334,262.26666666666665,375.6666666666667,261.53333333333336,8.0,3.0,4.0,0.0,0.73575609025,0.02579128355,-0.4169099188,0.94712422735,0.151189674535,-0.28466538783,0.03419692055,0.63880840505,34.0,0.0,0.0,0.0,481.89855238970586,465.3406479779411,57.343462745,-126.02100765,-143.97899230000002,141.78834415,133.0356877,-126.02100765,0,9.9497130139,-34.986194661,9.9474095237,0.65080906468,0.65194753793,21.685727958500003,-70.876423563,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.257648374,-13.369230955,10.25792243,1.166512143,1.0920455735,57.343462745,22.53062776,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.609903144,-48.27237055,9.602231121,0.0448736814,0.1889578143,1.145959484,-126.02100765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23201338026707882,13.062348666420924,0.23454295687045973,0.43085547218128306,0.3378160930522255,23.304708408573166,60.8371228779081,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.0,-3.6086438265,-2.810354025,8.8734790185,10.016948689,-45.587841645,-3.59715452,-2.806724569,8.878658507499999,10.016514292,-17.679892695,-22.217524895,292.6,262.26666666666665,374.8666666666667,261.6666666666667,15.0,0.0,0.0,0.0,0.266516647725,-0.22393153154,-0.10604155941,0.3671189485,-0.04383229635,-0.3611846125,0.12416707767,0.5151723854,72.0,0.0,0.0,0.0,230.52159288194449,53.636555989583336,27.34562892,-127.43263805,-142.5673619,112.2175249,107.67989265,-127.43263805,0,9.9540989621,-36.92139026,9.9516829049,0.7152581181000001,0.71719045215,26.9256618457,-100.869076725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.257648374,-13.369230955,10.25792243,1.166512143,1.0920455735,57.343462745,-42.425405255,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.609903144,-48.27237055,9.602231121,0.3671189485,0.5151723854,4.1451812375,-127.43263805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2332877301345048,13.922221054817449,0.23582135772686794,0.3298104540899579,0.24471596790121256,20.281183337217243,34.57077530953205,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.0,-3.073849749,-2.2026989495,9.250703962,9.993797277,-35.16664731,-3.0749991574999997,-2.2037863555,9.250870889,9.994545432,-13.39175098,-18.378982235,299.8,261.3333333333333,381.3333333333333,260.6666666666667,14.0,0.0,1.0,0.0,-0.005838795155,0.0136415389335,-0.0042111898821999,0.0173082948,-0.04807347905,-0.030383799655,0.1814088676999999,0.1907947421,53.0,0.0,0.0,0.0,555.4974941037735,175.63716096698113,22.2320046,-125.62454525,-144.37545475000002,108.37898225,103.391751,-125.62454525,0,9.9566654447,-36.673246577,9.9559198576,0.60633552495,0.6522149828900001,30.543026518199998,-117.50890472399999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.257648374,-13.369230955,10.25792243,1.166512143,1.0920455735,57.343462745,-102.81636187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.609903144,-48.27237055,9.602231121,0.0173082948,0.1907947421,13.718881921,-127.43263805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23372735477557857,13.944712094175141,0.23649754913865606,0.4580941087747929,0.3372378071873353,16.45417178074875,12.178927804060347,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.0,-3.1040300565,-2.175213353,9.242810747,9.989808158,-36.938211415,-3.104502219,-2.1746839585,9.242710592000002,9.989744689999998,-13.28785693,-18.63061387,310.8666666666667,257.8,393.73333333333335,257.73333333333335,13.0,0.0,2.0,0.0,0.000972955679,-0.00268756461135,-0.004208006791,0.008163803231,-0.066000030885,-0.00910306746,0.17420319585,0.1865410868499999,91.0,0.0,0.0,1.0,403.4770720108696,663.3674847146739,22.37313608,-125.0118316,-144.9881684,108.6306139,103.2878569,-125.0118316,0,9.9030974015,-34.406414749999996,9.9022843096,0.5012454833762,0.5246724385799999,32.27387735000001,-121.381276884,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.016948689,-13.369230955,10.016514292,1.166512143,1.0920455735,57.343462745,-102.81636187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.609903144,-45.587841645,9.602231121,0.008163803231,0.1865410868499999,22.2320046,-127.43263805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1693177079745719,12.426361880319094,0.1726840094643496,0.5330811982884055,0.3744451466206233,14.59173671377518,10.416194086507161,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8.0,-3.0808892855,-2.16033307,9.2568325405,9.992393867,-39.114313955,-3.0800403445,-2.160318762,9.257118698,9.992394053,-13.136550745,-18.410046825,301.8,251.93333333333337,383.93333333333334,250.06666666666663,13.0,0.0,2.0,0.0,-0.0038515039491,-0.0026780154225,0.001420706266,0.006344552937,-0.063551331265,-0.0085729169315,0.17759985545,0.18883529255,57.0,0.0,0.0,1.0,1139.3052262931035,833.0575161637931,22.122604265,-125.0364039,-144.96359610000002,108.41004685,103.1365507,-125.0364039,0,9.9795955461,-34.035249056,9.980316896,0.2692119653636,0.34403038239,30.283367321999997,-125.82528528999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.016948689,-13.369230955,10.016514292,0.94712422735,0.63880840505,57.343462745,-125.0118316,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.905029739500002,-45.587841645,9.908386013,0.006344552937,0.1865410868499999,22.122604265,-127.43263805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04308451119210955,12.207076353425666,0.04159776335319104,0.40922233901953226,0.2171135782331631,15.287849136455323,0.9932556889095123,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9.0,-3.0883389745,-2.1578005495,9.254228476000002,9.9917337465,-51.62363112,-3.0880289684999997,-2.1580342459999997,9.2540138575,9.991489986,-13.124633135,-18.455260505,301.0,249.13333333333333,381.53333333333336,247.73333333333332,11.0,0.0,4.0,0.0,-0.0031056066404999,-0.0033825329705,0.0005602187634,0.0049587646065,-0.06912923616,-0.01317829555775,0.1737375941,0.1878668718,0.0,0.0,0.0,0.0,0.0,0.0,22.151725300000003,-124.94031765,-145.0596823,108.4552605,103.12463315,-124.94031765,0,9.9969363475,-41.686129089,9.9969376906,0.0807788728149,0.25384207574,23.245019833,-125.60914728999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.016948689,-35.16664731,10.016514292,0.3671189485,0.5151723854,27.34562892,-124.94031765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.989808158,-51.62363112,9.989744689999998,0.0049587646065,0.1865410868499999,22.122604265,-127.43263805,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011278961030639238,6.812450100276758,0.011079571395853027,0.1601415454621225,0.1460963120062521,2.2943673239369877,1.0556407723069952,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
