Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
70,326.93333333333334,293.06666666666666,438.06666666666666,284.93333333333334,6,7,2,0
71,328.0,293.73333333333335,439.46666666666664,286.06666666666666,4,11,0,0
72,330.3333333333333,294.6666666666667,441.6,286.4,2,3,10,0
73,328.6666666666667,294.73333333333335,440.26666666666665,286.6666666666667,6,1,8,0
74,327.1333333333333,292.8,437.73333333333335,284.3333333333333,2,2,11,0
75,323.3333333333333,290.3333333333333,434.1333333333333,281.73333333333335,0,5,10,0
76,319.6666666666667,287.06666666666666,429.8,277.93333333333334,1,9,5,0
77,319.6666666666667,286.8,430.26666666666665,277.8,0,15,0,0
78,319.73333333333335,286.6,430.1333333333333,277.53333333333336,1,11,3,0
79,320.06666666666666,282.3333333333333,426.8666666666667,272.6,8,5,2,0
80,321.26666666666665,282.93333333333334,429.2,274.46666666666664,10,4,1,0
81,318.875,283.5,427.125,274.125,3,5,8,0
82,316.6666666666667,284.8666666666667,425.8,275.46666666666664,1,5,9,0
83,317.6666666666667,284.46666666666664,427.06666666666666,275.3333333333333,1,13,1,0
84,317.8,284.73333333333335,426.8,275.3333333333333,2,11,2,0
85,319.2,285.2,428.46666666666664,276.26666666666665,2,10,3,0
86,322.0,282.75,429.375,274.625,3,0,5,0
87,289.25,200.875,393.5,222.875,0,3,5,0
88,302.6666666666667,250.66666666666666,421.3333333333333,249.66666666666666,1,1,1,0
89,306.5,219.5,418.5,242.5,0,1,1,0
90,300.0,216.0,422.5,233.5,0,1,1,0
91,306.0,219.0,424.0,224.0,0,0,1,0
92,304.0,227.0,408.0,242.0,0,0,1,0
93,294.6,275.4,411.0,260.2,5,0,0,0
94,296.4,280.26666666666665,413.6,266.0,11,2,2,0
95,297.3333333333333,286.1333333333333,416.0,273.46666666666664,8,2,5,0
96,297.93333333333334,287.46666666666664,416.46666666666664,275.1333333333333,3,3,9,0
97,297.73333333333335,289.3333333333333,416.2,276.8,2,4,9,0
98,296.3333333333333,290.2,415.4,277.46666666666664,2,12,1,0
