Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2)
0.0,-0.001793202246,0.01332243788,0.188479051,0.1889578143
1.0,-0.34455485789999996,-0.014368717492,0.130568108745,0.5156720884
2.0,0.24224844424999997,-0.179323232525,0.5991402583000001,0.8242538084
3.0,0.3136435497,-0.06290392175,0.13646393829999992,1.0920455735
4.0,0.151189674535,-0.28466538783,0.03419692055000001,0.63880840505
5.0,-0.04383229635,-0.3611846125,0.12416707767,0.5151723854
6.0,-0.04807347905,-0.030383799655,0.18140886769999998,0.1907947421
7.0,-0.066000030885,-0.00910306746,0.17420319585,0.18654108684999998
8.0,-0.06355133126500001,-0.0085729169315,0.17759985545,0.18883529255
9.0,-0.06912923616,-0.01317829555775,0.1737375941,0.1878668718
10.0,-0.072184614775,-0.033215409385,0.17032481185,0.1883514477
11.0,-0.07435333932,-0.04111692383,0.167378212,0.18773371835
12.0,-0.07676226504,-0.043331392319999995,0.16706315865,0.18893364215
13.0,-0.069529931845,-0.046001956780000006,0.16870411875,0.18825827655
14.0,-0.05508190134,-0.041005553949999995,0.171503597,0.18489141115000002
15.0,-0.07734970508,-0.042841720964999996,0.1706135273,0.19257413985
16.0,-0.07056105710499999,-0.034323136715,0.17216892509999998,0.18920888125000002
17.0,-0.07154846878,-0.034469662235,0.17039406135000001,0.18801824490000002
18.0,-0.06500942744999999,-0.03491257675,0.17050171655,0.18582331415
19.0,-0.054990191305000005,-0.03315314414,0.17259795325,0.18417197865
20.0,-0.057934077454999997,-0.040732919075,0.17004770845,0.18425346415
21.0,-0.043511576245,-0.04359864832,0.17698461565,0.18740292
22.0,-0.04434751158,-0.035100398405,0.17217575995,0.18145459149999998
23.0,-0.046103169283000005,-0.046896643934999996,0.1813651976,0.1971681921
24.0,-0.038846546115,-0.034965546449999996,0.17714233015,0.18484442125
25.0,-0.024643577695000002,-0.035286010495,0.18455037205000002,0.18960224269999998
26.0,-0.047867076344999995,-0.037975746005000005,0.1779427223,0.1881775678
27.0,-0.061503556435,-0.037687872685,0.17173775015,0.18682543615000002
28.0,-0.078779141195,-0.032821835935,0.1687705357,0.1892022895
29.0,-0.076852563485,-0.036343220159999995,0.16960455340000002,0.18995100204999998
30.0,-0.076929831285,-0.038908760395,0.1698900696,0.1905194133
31.0,-0.07444900809,-0.039329830440000005,0.17270568495,0.1921439102
32.0,-0.068242384005,-0.04454691075,0.17429970735,0.19245706665
33.0,-0.059993318595,-0.052268663704999996,0.17405529205,0.19139584365
34.0,-0.06591515305000001,-0.052450971245000005,0.17162399490000002,0.19119341855
35.0,-0.06750165278,-0.047051306540000004,0.1705107086,0.18932945625
36.0,-0.07789285278,-0.042473028765000004,0.17100032435,0.19265114735
37.0,-0.06676943113,-0.045841662869999994,0.1752800269,0.19309759064999998
38.0,-0.060052257865,-0.04139470993,0.1765917125,0.1910632446
39.0,-0.056208951204999996,-0.038160100805,0.17944807075,0.19189932845000002
40.0,-0.044905101495,-0.040576062504999996,0.18158179335,0.191418958
41.0,-0.04390046923,-0.044250078155,0.18076462054999998,0.19122373804999998
42.0,-0.046053804574999996,-0.04800862822,0.18033030854999998,0.19229901815
43.0,-0.04225818498,-0.045652382295,0.18234830255,0.1927644558
44.0,-0.050411705050000005,-0.044045542515,0.1796215734,0.19172207465000002
45.0,-0.043695282555,-0.043403262095,0.181135093,0.1913333472
46.0,-0.051994039015,-0.03949718159,0.17935423044999999,0.1908984292
47.0,-0.05361077602,-0.04381295901,0.17801498999999998,0.19102050404999998
48.0,-0.052184325965,-0.049353040915,0.17914755999999998,0.19302624675000002
49.0,-0.04404421765,-0.050574558305,0.18027070935,0.1923543859
50.0,-0.04255160978,-0.050393031490000004,0.1825899001,0.19415931530000002
51.0,-0.04817845621,-0.0463465089,0.18327246535,0.19523450255000002
52.0,-0.057888503115,-0.044029980485,0.1778466113,0.19290979735
53.0,-0.055281469715,-0.042480435725,0.1802877913,0.1933107664
54.0,-0.051440184075,-0.04775255824,0.1805272859,0.19372146995
55.0,-0.049182983114999995,-0.04396898486,0.17985658345,0.19158756570000002
56.0,-0.055995705585,-0.041978530769999994,0.17820434845,0.19145548340000001
57.0,-0.053383889135,-0.05167245316,0.178263952,0.1931412402
58.0,-0.057327830600000004,-0.059231976285,0.1785391841,0.19702228054999998
59.0,-0.042820104885,-0.040841519415,0.18061831365,0.19183266724999998
60.0,-0.05625021589,-0.04333896272,0.17516769915,0.18929906894999998
61.0,-0.062361425910000004,-0.03945764555,0.17861494955,0.19326744015
62.0,-0.06406891346,-0.039954140075000005,0.17692598464999998,0.19244221525
63.0,-0.057251915395000005,-0.044514683285,0.1740602154,0.18862750779999998
64.0,-0.07779204745,-0.047151553284999995,0.17366893935,0.19607383525
65.0,-0.07318527796499999,-0.04892108709,0.17190311585,0.1931354666
66.0,-0.068411275755,-0.0428154456,0.1729475514,0.19085604235
67.0,-0.06638518023000001,-0.043660812905,0.17336481334999998,0.1907704946
68.0,-0.063275206805,-0.049130382594999994,0.1735967454,0.19123346305
69.0,-0.05710245044,-0.052364786425000004,0.17545826375,0.1918034937
70.0,-0.06437856922,-0.053103439855000004,0.1742771453,0.19324482225
71.0,-0.056020817705,-0.052039338335,0.17628201415,0.1921563999
72.0,-0.05606051375,-0.051585403525000004,0.17779293905,0.19342863135
73.0,-0.059090064165,-0.054136679310000005,0.1758722599,0.19327102954999997
74.0,-0.0424582845,-0.05332182672,0.1813693281,0.19375610255
75.0,-0.04027940406,-0.04999954583,0.1836741244,0.1945727858
76.0,-0.04863687083,-0.047422405455,0.17984498145,0.19227453514999998
77.0,-0.043147537355,-0.043826693779999995,0.18291752865,0.1930122625
78.0,-0.039981485430000005,-0.04197110146,0.18309713105,0.19205750665
