Time (s),Event,PositionX,PositionY
0.0,97,1226.9093105670104,805.2795183634021
1.0,72,1283.7223307291667,709.3244900173611
2.0,22,972.2810724431819,723.1526988636364
3.0,68,179.56393612132354,875.884765625
4.0,34,481.89855238970586,465.34064797794116
5.0,72,230.52159288194446,53.636555989583336
6.0,53,555.4974941037735,175.63716096698113
7.0,92,403.47707201086956,663.3674847146739
8.0,58,1139.3052262931035,833.0575161637931
10.0,1,,
11.0,1,,
12.0,2,,
16.0,1,,
128.0,1,,
129.0,1,,
133.0,1,,
149.0,66,904.8703243371212,517.009706439394
150.0,28,884.2806919642857,367.935546875
151.0,2,,
152.0,64,384.65155029296875,709.40576171875
153.0,48,1117.2014973958333,426.120361328125
154.0,38,679.5743215460526,342.1331208881579
155.0,70,56.939787946428574,79.83655133928572
156.0,84,173.05492001488096,763.4012741815476
157.0,74,837.8472339527027,463.4881756756757
158.0,49,1195.0703922193877,90.74226721938776
159.0,3,,
161.0,33,627.6405066287879,173.33274147727272
164.0,32,739.785400390625,424.8250732421875
165.0,21,813.5018601190476,396.50167410714283
166.0,39,759.3936298076923,365.25540865384613
167.0,1,751.96484375,357.15234375
168.0,34,807.2954963235294,300.3759191176471
171.0,59,715.1671080508474,455.7255031779661
172.0,67,661.6462220149253,512.142723880597
173.0,5,659.8984375,516.025
175.0,12,659.8984375,515.515625
176.0,10,659.8984375,515.515625
177.0,40,612.275390625,525.28955078125
178.0,54,580.26953125,528.94140625
179.0,10,580.26953125,528.94140625
180.0,19,580.26953125,528.94140625
181.0,38,580.26953125,528.94140625
182.0,34,569.9676011029412,551.0129825367648
183.0,37,621.3575802364865,580.8246410472973
184.0,27,806.296875,582.05078125
185.0,23,806.296875,582.05078125
186.0,27,806.296875,582.05078125
187.0,3,806.296875,582.05078125
188.0,81,877.5235339506173,467.43359375
189.0,16,893.952392578125,474.557373046875
190.0,7,895.80078125,476.7767857142857
194.0,42,893.6646205357143,481.12137276785717
203.0,76,1031.766447368421,102.85634251644737
204.0,60,921.1242838541667,344.894140625
205.0,35,837.9493303571429,514.2042410714286
206.0,56,863.8055943080357,349.63302176339283
207.0,16,877.31640625,304.36376953125
208.0,23,885.86328125,351.95889945652175
209.0,24,888.046875,406.20703125
210.0,40,856.0755859375,474.388671875
211.0,54,798.3643663194445,602.2121672453703
212.0,17,793.28515625,616.80078125
213.0,45,793.28515625,616.80078125
214.0,30,793.28515625,616.80078125
215.0,13,793.28515625,616.80078125
216.0,33,889.5170454545455,432.8637547348485
217.0,61,1024.131787909836,116.86834016393442
218.0,75,840.3905729166667,126.0465625
219.0,53,680.6979658018868,229.5378095518868
220.0,79,214.0329806170886,67.97601859177215
221.0,70,253.21065848214286,158.74626116071428
222.0,35,352.98158482142856,188.38046875
224.0,1,,
227.0,1,,
228.0,1,,
229.0,7,749.3387276785714,408.8627232142857
230.0,63,732.0238785282259,345.5364163306452
240.0,2,,
242.0,1,,
244.0,1,,
245.0,1,,
246.0,1,,
247.0,2,,
248.0,2,,
250.0,1,,
252.0,1,,
253.0,2,,
255.0,1,,
256.0,2,,
257.0,1,,
258.0,1,,
259.0,2,,
260.0,1,,
299.0,1,,
311.0,1,,
341.0,1,,
393.0,1,,
418.0,1,,
427.0,28,775.0412946428571,367.23158482142856
428.0,9,768.5247395833334,378.27690972222223
432.0,46,769.0309952445652,353.3154721467391
433.0,16,768.319580078125,301.25439453125
559.0,1,,
560.0,84,961.3427269345239,600.7066127232143
561.0,82,1057.3451791158536,428.7630049542683
562.0,37,842.9604096283783,361.4897592905405
563.0,88,87.73051313920455,77.54234730113636
565.0,2,36.11328125,38.21875
566.0,20,69.6361328125,263.459375
567.0,50,407.0059375,247.5565625
568.0,24,362.85498046875,36.627115885416664
569.0,58,665.0084186422414,111.06910021551724
570.0,36,594.0990668402778,289.07508680555554
571.0,101,118.28929455445545,862.6571008663366
572.0,22,269.70419034090907,850.2120028409091
573.0,43,708.9915515988372,710.4634811046511
574.0,48,830.06640625,494.2265625
575.0,17,830.06640625,494.2265625
576.0,56,830.06640625,494.2265625
579.0,1,,
604.0,1,,
612.0,61,895.1997950819672,604.3154456967213
613.0,59,980.23828125,666.734375
614.0,78,881.2861578525641,819.437249599359
615.0,75,220.67911458333333,873.1613541666667
616.0,37,264.75802364864865,560.247043918919
617.0,34,231.44933363970588,450.28366268382354
618.0,68,195.63062959558823,378.46243106617646
619.0,84,144.77176339285714,352.7513950892857
620.0,100,155.6984375,443.685703125
621.0,34,165.74172794117646,509.4105009191176
622.0,70,163.50167410714286,639.3092633928571
624.0,112,218.9638671875,502.79788643973217
625.0,32,160.7613525390625,466.84716796875
626.0,65,186.94825721153848,503.1519230769231
627.0,85,187.15441176470588,615.7024356617648
628.0,51,512.0177696078431,489.3609068627451
629.0,38,681.48046875,450.51953125
630.0,24,681.48046875,450.51953125
631.0,46,681.48046875,450.51953125
632.0,39,681.48046875,450.51953125
633.0,60,681.48046875,450.51953125
634.0,13,681.48046875,450.51953125
635.0,28,681.48046875,450.51953125
636.0,40,681.48046875,450.51953125
637.0,4,681.48046875,450.51953125
638.0,46,681.48046875,450.51953125
639.0,41,681.48046875,450.51953125
640.0,4,681.48046875,450.51953125
653.0,13,681.48046875,450.51953125
654.0,60,681.48046875,450.51953125
655.0,31,681.48046875,450.51953125
656.0,57,589.8218201754386,358.79968475877195
657.0,58,211.56202855603448,442.36186691810343
658.0,33,223.36955492424244,401.9798768939394
659.0,51,491.11266850490193,344.3836550245098
660.0,33,500.0625,344.59765625
663.0,12,500.0625,344.59765625
664.0,49,500.0625,344.59765625
665.0,45,499.3671875,344.59765625
666.0,39,499.3671875,344.59765625
669.0,28,499.3671875,344.59765625
670.0,58,499.3671875,344.59765625
671.0,60,499.3671875,344.59765625
672.0,46,499.3671875,344.59765625
673.0,61,499.3671875,344.59765625
674.0,56,499.3671875,344.59765625
675.0,63,782.405753968254,232.9688740079365
676.0,52,914.4819711538462,182.5867638221154
677.0,60,914.60546875,182.6796875
678.0,36,914.60546875,182.6796875
679.0,24,914.60546875,182.6796875
680.0,52,914.60546875,182.6796875
681.0,42,914.60546875,182.6796875
682.0,50,914.60546875,182.6796875
683.0,61,914.60546875,182.6796875
684.0,54,914.60546875,182.6796875
685.0,42,914.60546875,182.6796875
686.0,32,914.60546875,182.6796875
687.0,40,914.60546875,182.6796875
688.0,62,914.60546875,182.6796875
689.0,57,914.60546875,182.6796875
690.0,61,914.60546875,182.6796875
691.0,22,914.60546875,182.6796875
692.0,51,914.60546875,182.6796875
693.0,47,914.60546875,182.6796875
694.0,56,914.60546875,182.6796875
695.0,53,914.60546875,182.6796875
696.0,32,914.60546875,182.6796875
697.0,31,914.60546875,182.6796875
698.0,42,913.1552269345239,183.45396205357142
699.0,57,912.1875,183.98046875
700.0,2,912.1875,183.98046875
701.0,42,912.1875,183.98046875
702.0,57,912.1875,183.98046875
703.0,60,912.1875,183.98046875
704.0,60,912.1875,183.98046875
705.0,31,878.624747983871,241.36617943548387
706.0,27,796.18359375,398.40234375
707.0,23,796.18359375,398.40234375
708.0,50,796.18359375,398.40234375
710.0,75,285.95880208333335,808.10203125
711.0,55,327.8713778409091,697.013778409091
712.0,18,760.2137586805555,434.7356770833333
715.0,19,632.1155427631579,546.7769325657895
716.0,78,328.87134415064105,778.5965044070513
717.0,54,284.013599537037,760.7042824074074
724.0,1,,
730.0,14,279.29408482142856,853.9227120535714
731.0,75,190.12078125,864.81953125
733.0,88,1005.7844904119319,155.54128196022728
734.0,86,1339.0621820494187,72.7901980377907
735.0,47,411.30236037234044,233.28424202127658
740.0,41,586.401200457317,202.15053353658536
