Time (s),Tilt up/down (deg),Tilt left/right (deg)
0.0,1.05851466,0.4391555563
1.0,-0.099059911,-3.35815753635
2.0,-4.2521893995,-13.140078390500001
3.0,-13.418185083500001,-29.842821649999998
4.0,-43.03568772,-51.788344190000004
5.0,-17.679892695,-22.217524895
6.0,-13.39175098,-18.378982235000002
7.0,-13.28785693,-18.63061387
8.0,-13.136550745000001,-18.410046825
9.0,-13.124633135,-18.455260505
10.0,-13.327061135,-18.325366965
11.0,-13.39413687,-18.440046645
12.0,-13.427980510000001,-18.43331243
13.0,-13.45838348,-18.39613035
14.0,-13.444813759999999,-18.394804705
15.0,-13.477523145,-18.418232250000003
16.0,-13.432553015,-18.440646604999998
17.0,-13.424694065,-18.415897004999998
18.0,-13.396050540000001,-18.376167275
19.0,-13.392008,-18.42762705
20.0,-13.394259439999999,-18.346384999999998
21.0,-13.353225975,-18.40120306
22.0,-13.323766670000001,-18.255646640000002
23.0,-12.912695825,-17.511024045
24.0,-12.966353475,-17.6044984
25.0,-12.728088725,-17.45515501
26.0,-12.80848245,-17.69468641
27.0,-13.008629605,-17.662483635
28.0,-12.97870609,-17.83917178
29.0,-12.883925965,-18.039697475
30.0,-13.02267336,-17.986522094999998
31.0,-13.02535852,-18.049248195
32.0,-13.06321515,-17.9722578
33.0,-13.095733,-18.02584324
34.0,-13.144635435000001,-18.031942255
35.0,-13.13623201,-17.98777594
36.0,-13.119037025,-18.039296890000003
37.0,-13.116122605000001,-17.947338015
38.0,-13.07043798,-18.030434325
39.0,-13.032024455,-17.8413507
40.0,-13.00717464,-17.854598705
41.0,-13.02124719,-17.907559235
42.0,-13.03766566,-17.83583138
43.0,-13.022271365,-17.897536764999998
44.0,-13.045227385,-17.85264452
45.0,-13.02692248,-17.85819401
46.0,-13.019812869999999,-17.894775995
47.0,-13.038956825,-17.8682362
48.0,-13.03026361,-17.89187389
49.0,-13.06388432,-17.76526895
50.0,-13.07450229,-17.76074482
51.0,-12.968303559999999,-17.76569543
52.0,-12.779123475,-17.933773775
53.0,-12.827953765,-18.013049265
54.0,-12.98909231,-17.97155362
55.0,-13.00355037,-17.98130508
56.0,-13.015398115,-18.015501725
57.0,-13.04725385,-17.96465301
58.0,-13.056223849999999,-17.975472925
59.0,-13.433703090000002,-17.64318597
60.0,-13.36519313,-17.4742004
61.0,-13.280606039999999,-17.72337178
62.0,-13.257804305,-17.75676136
63.0,-13.450961025,-17.76346834
64.0,-13.398044195,-17.734627455000002
65.0,-13.432514025,-17.946395369999998
66.0,-13.36982489,-17.99728433
67.0,-13.431153415,-18.06849749
68.0,-13.450002365,-18.030256029999997
69.0,-13.43868116,-18.088884649999997
70.0,-13.432499140000001,-18.101878544999998
71.0,-13.446037555,-18.057495924999998
72.0,-13.44140969,-18.11288067
73.0,-13.44707051,-18.102181435
74.0,-13.44816746,-18.036679215
75.0,-13.42733685,-18.04854705
76.0,-13.42405303,-17.971037315
77.0,-13.406184695,-17.925107025
78.0,-13.378380685,-17.97028519
79.0,-13.39512849,-17.92285878
80.0,-13.390026315,-17.94663103
81.0,-13.430101875,-18.029285559999998
82.0,-13.43683739,-17.972291634999998
83.0,-13.361940085,-17.997097065
84.0,-13.436412815,-18.14588453
85.0,-13.47657988,-18.02231451
86.0,-13.370079195,-18.05905655
87.0,-13.40135948,-18.070225825
88.0,-13.274114195,-17.313930145
89.0,-13.160278380000001,-17.237194695
90.0,-13.240373515,-17.636581059999997
91.0,-13.389658364999999,-17.786551555000003
92.0,-13.40772386,-17.92748063
93.0,-13.40123314,-17.823105745
94.0,-13.256461035000001,-17.95755502
95.0,-13.245090455,-17.99757511
96.0,-13.233663005,-18.004604495
97.0,-13.22675978,-18.008522935000002
98.0,-13.21689018,-18.00551702
99.0,-13.2277763,-17.99806368
100.0,-13.21422179,-18.01165718
101.0,-13.2120776,-18.012092915
102.0,-13.24808406,-17.973316515
103.0,-13.226300745,-18.016195585
104.0,-13.22246095,-18.02981936
105.0,-13.26366917,-17.97382959
106.0,-13.234252285,-18.010553725
107.0,-13.22928733,-18.02912122
108.0,-13.24357536,-17.98722971
109.0,-13.24299959,-17.999360844999998
110.0,-13.2314908,-18.011550935
111.0,-13.26129566,-17.99456964
112.0,-13.248434244999999,-18.005649605000002
113.0,-13.256089769999999,-18.009670685
114.0,-13.27358856,-17.965875755
115.0,-13.236769214999999,-18.0282919
116.0,-13.23848216,-18.028084925
117.0,-13.21833692,-18.03178932
