,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Event,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
10,10.0,-3.0656465245,-2.192506913,9.255435104,9.9934347305,-46.385294815,-3.066295154,-2.1925355289999997,9.255435102,9.9936412205,-13.327061135,-18.325366965,302.1333333333333,248.26666666666668,382.53333333333336,247.53333333333333,1.0,1.0,1.0,0.0,-0.0030111757948,-0.002873243174,0.0007480193647999,0.004829290836,-0.072184614775,-0.033215409385,0.17032481185,0.1883514477,1.0,0.0,0.0,22.156699335,-125.57357035,-144.42642965,108.32536695,103.32706115,-125.57357035,0
11,11.0,-3.0833025970000003,-2.2020598635,9.247336823,9.9934513295,-42.227733425,-3.0830633095,-2.202110266,9.2473444555,9.9933956705,-13.39413687,-18.440046645,299.3333333333333,247.8,379.8666666666667,247.06666666666663,1.0,0.0,1.0,0.0,-0.0004767037219999,-0.000618078318,0.0008396533231499,0.00168609467505,-0.07435333932,-0.04111692383,0.167378212,0.18773371835,1.0,0.0,0.0,22.280514115,-125.53306875,-144.46693125,108.44004665,103.39413685,-125.53306875,0
12,12.0,-3.082002505,-2.207755611,9.2470065205,9.9940009155,-42.846506845,-3.0819412565,-2.2078578525,9.246986746,9.993986357,-13.42798051,-18.43331243,295.1875,250.875,378.4375,249.3125,1.0,0.0,1.0,0.0,0.00056590617055,-0.00128459068265,-0.002499832728,0.002920498001,-0.07676226504,-0.0433313923199999,0.16706315865,0.18893364215,2.0,0.0,0.0,22.293114405,-125.6146841,-144.3853159,108.43331245,103.4279805,-125.6146841,0
13,13.0,-3.0757670255000003,-2.2130722265,9.247799444,9.993989779,-42.27846703,-3.0762058045,-2.2130531495,9.2478948325,9.9942088325,-13.45838348,-18.39613035,295.8,241.9,378.8,248.1,1.0,1.0,1.0,0.0,0.000220692237895,0.00055809671795,0.00127959056705,0.0021719281067,-0.069529931845,-0.04600195678,0.16870411875,0.18825827655,0.0,0.0,0.0,22.2804353,-125.7371561,-144.2628439,108.39613035,103.45838345,-125.7371561,0
14,14.0,-3.0743601115,-2.2105444895,9.2469886575,9.992262884,-45.84192796,-3.072237761,-2.2104920265,9.247217585,9.991813139,-13.44481376,-18.394804705,292.26666666666665,229.06666666666663,376.4,244.13333333333333,1.0,1.0,1.0,0.0,-0.001042983025255,-0.00296767398485,-0.00171885300305,0.00394090833235,-0.05508190134,-0.0410055539499999,0.171503597,0.18489141115,0.0,0.0,0.0,22.27230371,-125.71133015,-144.28866979999998,108.3948047,103.4448138,-125.71133015,0
15,15.0,-3.080684185,-2.2167636815,9.2492206885,9.9976516075,-46.953530415,-3.0822389855,-2.216882915,9.24905853,9.9980121745,-13.477523145,-18.418232250000003,281.5,226.3571428571429,372.2857142857143,240.6428571428571,0.0,1.0,1.0,0.0,0.0009379420091999,-0.0001421767339999,-0.0022780107311,0.0035781705729999,-0.07734970508,-0.0428417209649999,0.1706135273,0.19257413985,0.0,0.0,0.0,22.307660695,-125.7426696,-144.2573304,108.41823225,103.47752315,-125.7426696,0
16,16.0,-3.0838319965,-2.2087226055,9.2479758965,9.9956761875,-57.20686782999999,-3.0841849275,-2.208555679,9.2477994345,9.9955848535,-13.432553015,-18.440646605,282.15384615384613,225.30769230769232,371.7692307692308,239.3846153846154,0.0,1.0,1.0,0.0,-0.00013901892405,0.0004537967271,-0.000320150263,0.0022222274345,-0.0705610571049999,-0.034323136715,0.1721689250999999,0.18920888125,1.0,0.0,0.0,22.301200385,-125.6127086,-144.38729135,108.4406466,103.432553,-125.6127086,0
17,17.0,-3.0790817415,-2.207196423,9.247498974,9.993434088,-59.855733575,-3.0791389735,-2.2071630375,9.2475657425,9.993506152,-13.424694065,-18.415897005,280.6,225.2,369.9,238.5,0.0,1.0,1.0,0.0,0.0013559840322,-0.002176152784,-0.002844595619,0.0038992545355,-0.07154846878,-0.034469662235,0.17039406135,0.1880182449,0.0,0.0,0.0,22.277936405,-125.6353231,-144.3646769,108.415897,103.42469405,-125.6353231,0
18,18.0,-3.0727146735,-2.2029946505,9.249826399,9.992701229,-59.75817911,-3.0726097485,-2.202985112,9.2498168605,9.9926581225,-13.39605054,-18.376167275,268.77777777777777,238.33333333333337,363.55555555555554,241.33333333333337,0.0,1.0,1.0,0.0,-0.001597896682,0.00119789200345,0.002779873374,0.003751559474,-0.0650094274499999,-0.03491257675,0.17050171655,0.18582331415,0.0,0.0,0.0,22.232090245,-125.638014,-144.361986,108.3761673,103.3960505,-125.638014,0
19,19.0,-3.0811564325,-2.202985112,9.2462636995,9.9919999635,-57.104980535,-3.0811993565,-2.20292788,9.246192161,9.991934418,-13.392008,-18.42762705,266.3333333333333,243.75,360.9166666666667,242.58333333333337,1.0,1.0,0.0,0.0,0.00044138447565,-0.000651466512,-0.0003289163159999,0.004192767025,-0.054990191305,-0.03315314414,0.17259795325,0.18417197865,0.0,0.0,0.0,22.26977473,-125.5481957,-144.4518043,108.427627,103.392008,-125.5481957,0
