Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.0,-0.03426177973,-0.02252484795,0.01823208592,0.0448736814
1.0,-0.11263792281,0.38357902665,0.3527128822,0.56192126055
2.0,-0.02953986814999998,-0.37041918809999996,0.200609244095,0.5336140111000001
3.0,-0.60222773425,0.95568439405,-0.136545895115,1.166512143
4.0,0.73575609025,0.025791283550000016,-0.4169099188,0.94712422735
5.0,0.266516647725,-0.22393153154,-0.10604155941000001,0.3671189485
6.0,-0.005838795155,0.0136415389335,-0.004211189882199999,0.0173082948
7.0,0.0009729556790000001,-0.00268756461135,-0.004208006791,0.008163803231000001
8.0,-0.0038515039491,-0.0026780154225,0.0014207062660000001,0.006344552937
9.0,-0.0031056066404999997,-0.0033825329705,0.0005602187634,0.0049587646065000004
10.0,-0.0030111757948,-0.0028732431740000003,0.0007480193647999999,0.004829290836
11.0,-0.00047670372199999997,-0.000618078318,0.0008396533231499999,0.00168609467505
12.0,0.00056590617055,-0.00128459068265,-0.002499832728,0.002920498001
13.0,0.000220692237895,0.00055809671795,0.00127959056705,0.0021719281067
14.0,-0.001042983025255,-0.0029676739848500003,-0.00171885300305,0.00394090833235
15.0,0.0009379420091999999,-0.00014217673399999993,-0.0022780107311,0.0035781705729999998
16.0,-0.00013901892405,0.0004537967271,-0.0003201502630000001,0.0022222274345
17.0,0.0013559840322,-0.002176152784,-0.002844595619,0.0038992545355
18.0,-0.001597896682,0.00119789200345,0.002779873374,0.003751559474
19.0,0.00044138447565,-0.000651466512,-0.0003289163159999999,0.004192767025
20.0,0.00080743650485,0.0001336885615,0.0013241534255,0.006336027935
21.0,2.1220407500000015e-05,0.001453597907,0.0014833064825,0.0038502730465
22.0,0.0065560448955,-0.008211236663,-0.005152314928500001,0.0123450628015
23.0,-0.0028636940150000003,0.00067056486,-0.001782514255,0.024430836725000002
24.0,0.005110935138,0.00138038750905,0.006945439332,0.008778955699
25.0,-0.0005421814132,0.0030281521655,0.0029252331754999997,0.009399639904
26.0,-0.0048955480165,-0.00028329244950000003,-0.0025549370630000004,0.006893349658
27.0,-0.00086473158574,-0.0034345229625,-3.7135723305e-05,0.0036611649285
28.0,0.002388356851,0.0024753605195,0.0012636752548,0.0039157559739999995
29.0,-0.00279897174415,-0.002339549926,0.0002143261215000001,0.0052892454660000005
30.0,-0.0001506648904,-0.0020700507514999997,-0.0017071817815000002,0.0051280330515
31.0,-0.00021857019715,-9.867489484999999e-05,-0.00011671224117,0.0005724179626
32.0,0.0003236112142265,-0.001061020375185,-0.001392058736,0.0034851562844999996
33.0,0.0002588889714,0.00147587933985,0.0018355652431,0.0027003900344999996
34.0,0.0010758746577,-0.00258782868038,-0.0035151605014500003,0.004874565376
35.0,0.000268438154765,0.0002482787667,0.00115757322785,0.0020433903542
36.0,0.00058886630785,-0.0027289443975,-0.0033475192695,0.004394244622
37.0,0.00105041017095,0.00122441751005,0.0015522728030500001,0.00232900584295
38.0,-0.0003777232533,-3.607468899999994e-05,0.00015596999506,0.001621873922
39.0,0.00038939447765,-0.0020414031985,-0.0016339713758500001,0.003792886677
40.0,0.00011989530350000005,0.0030865082655,0.0022451191103,0.00451451723
41.0,0.00034589264204999996,-0.0015437846375000001,-0.0013050550588,0.0039276449335000005
42.0,-3.289163160000001e-05,0.00197668095405,0.00222602074265,0.00354298007415
43.0,-0.00021008203415,0.00160850688598,0.0007448363039999999,0.0029545168595
44.0,0.00046260488329,-0.0017103648397499998,-0.0028085209182,0.0038753551302
45.0,-0.00010928509858500001,0.0020382201317,0.002893402552,0.0035575120735
46.0,-0.00029036307975000003,-0.0009213985815,-0.00207943865815,0.0023209990575
47.0,0.0006620767136499999,0.00039469957835000004,0.001543784645,0.0017470858529999998
48.0,0.00022918040090000002,-0.0011968309807,-0.0020753558522999998,0.00242933447715
49.0,0.00056340181888,0.001195769961,0.00129550587615,0.0019294631865
50.0,-2.0159387099999998e-05,0.0011013391494,0.0017782701465,0.0021025706945000003
51.0,0.0023406109342499998,-0.00029920774375,0.008577288707,0.0089436094395
52.0,0.0018761429251,0.004581320438999999,-0.0035711653816,0.0063712748705
53.0,-0.0034440721185,0.0006620767146,0.003149108464,0.004728971094999999
54.0,-0.00061645283745,-0.0006716258945,-0.000914599565,0.0045985643905
55.0,-0.000332099377235,0.00093263690905,0.0004901914125,0.0025057599735
56.0,0.00018886162665500002,0.000108224077255,-0.00092520976655,0.00098718937515
57.0,0.0010334338445000001,0.00028329243899999996,0.0008817079255,0.0051281733135
58.0,-0.00533735264665,-0.001237879734,-0.006197810441,0.0119741676425
59.0,0.00133103732365,-0.005976184513,-0.001156151474,0.007136342752000001
60.0,-0.0007910416245,-0.0011301734245500001,-0.0007542327002,0.002739081277
61.0,0.0015724321895,0.0030005656050000004,0.0025920727805,0.0095083515855
62.0,0.00068435814045,0.00024721773799999997,-0.00142919444365,0.0036892754275
63.0,-0.002248302159,-0.002717273173,-0.0032923462145,0.0049814600010000005
64.0,0.00047745916945,0.004331085163,0.0051459487959999994,0.006818730324
65.0,0.0012371497555,-0.00129126179185,-2.334244899999992e-05,0.0030144631355
66.0,-0.0011947089407000002,0.0017665989179,-0.00022811938049999999,0.0021480891565
67.0,8.594265035000002e-05,-0.00027374325584999994,-0.00065995467302,0.0012503709892
68.0,0.00053437654545,0.0007469074165,0.00165163099865,0.002900927216
69.0,0.000549608554,0.000350136724495,0.0003671130497,0.001418773799
70.0,0.0006440393664,-0.00131884832445,-0.0016679240286,0.0023075034225
71.0,0.00021318021361499997,0.0014341515286,0.001695752469,0.002262534555
72.0,-0.00014544467292,0.0004570748451,0.0005736470316,0.0007593611889000001
