Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0,0.07661445403,0.1847335619,9.993017938,9.995018948
1.0,-0.596781006665,-0.017760970250000008,9.9391849695,9.980964864
2.0,-2.2435148409,-0.69965059985,9.867559247500001,10.257648373999999
3.0,-4.5997765600000005,-1.85536323455,7.7520769385,9.609903144
4.0,-6.6939971825,-4.8716710745,5.3041774,9.905029739500002
5.0,-3.6086438265,-2.810354025,8.8734790185,10.016948689
6.0,-3.073849749,-2.2026989495000002,9.250703962,9.993797276999999
7.0,-3.1040300565,-2.175213353,9.242810747,9.989808157999999
8.0,-3.0808892855,-2.16033307,9.2568325405,9.992393867
9.0,-3.0883389745,-2.1578005495,9.254228476000002,9.9917337465
10.0,-3.0656465245,-2.192506913,9.255435104,9.993434730499999
11.0,-3.0833025970000003,-2.2020598635,9.247336823000001,9.993451329500001
12.0,-3.082002505,-2.207755611,9.2470065205,9.9940009155
13.0,-3.0757670255000003,-2.2130722265,9.247799444,9.993989779
14.0,-3.0743601115,-2.2105444895,9.2469886575,9.992262883999999
15.0,-3.080684185,-2.2167636815,9.2492206885,9.9976516075
16.0,-3.0838319965,-2.2087226055,9.2479758965,9.995676187499999
17.0,-3.0790817415,-2.207196423,9.247498973999999,9.993434088
18.0,-3.0727146735,-2.2029946505,9.249826399,9.992701229
19.0,-3.0811564325,-2.202985112,9.2462636995,9.9919999635
20.0,-3.067158375,-2.2024700255000003,9.249201609499998,9.990298948
21.0,-3.077188339,-2.195611741,9.2498502485,9.9924739765
22.0,-3.0535180950000003,-2.1923542835000003,9.258463677,9.9924989315
23.0,-2.9373039505,-2.1343592675,9.307688027000001,9.9908899555
24.0,-2.9519839185,-2.1419234815,9.304258778000001,9.993585082
25.0,-2.9308319765000004,-2.1054667755,9.3214094685,9.9955713175
26.0,-2.96915825,-2.1159640465000003,9.306543297000001,9.9952642955
27.0,-2.960516244,-2.1482666740000003,9.2981874265,9.991799130499999
28.0,-2.999281303,-2.1308109645,9.291257587,9.993182226
29.0,-3.024429949,-2.124315153,9.286998537999999,9.9954150305
30.0,-3.0145669765000003,-2.1474177479999996,9.284685382,9.995218882
31.0,-3.025197769,-2.1475799044999997,9.283335642,9.9972119155
32.0,-3.0123471564999997,-2.1547716215,9.2863629985,9.9976926015
33.0,-3.0208576865000003,-2.1594221300000003,9.282887328,9.9980356825
34.0,-3.0211629240000004,-2.1672390475,9.280698235,9.9977914495
35.0,-3.0131838525,-2.1650546985,9.2825487375,9.996622016
36.0,-3.0222550975,-2.1628131175,9.2800591115,9.9965639875
37.0,-3.0075798955,-2.1635142075,9.285581999,9.997419153
38.0,-3.0223791010000003,-2.1555875955,9.284780772,9.999424367500001
39.0,-2.991430363,-2.1513241274999997,9.294550143,9.998279675500001
40.0,-2.9937965565,-2.1468978915,9.2940475625,9.997567487000001
41.0,-3.0022859485,-2.1486959260000003,9.291162122500001,9.9978157625
42.0,-2.987820597,-2.1542903395,9.2953925,9.998618545
43.0,-3.000359143,-2.1487626965,9.290689955000001,9.9968126375
44.0,-2.9932003915,-2.1532458585,9.293456180500002,9.998207196500001
45.0,-2.9941351784999997,-2.1500742600000002,9.293203372499999,9.9975665995
46.0,-3.0000579885,-2.1484443535000004,9.2911453615,9.9970776495
47.0,-2.995858239,-2.15210683,9.29296657,9.99829818
48.0,-2.9942591810000003,-2.1522395315000002,9.293122303,9.997993811499999
49.0,-2.9788256564999998,-2.157376091,9.297314552500001,9.9983865285
50.0,-2.9782485684999997,-2.1593601285000004,9.2980395085,9.999317149500001
51.0,-2.980575997,-2.1422382635000004,9.302551366500001,10.000536602
52.0,-3.0098103839999997,-2.1093034865,9.2998105325,9.9997373175
53.0,-3.022503129,-2.1165649925,9.295106433499999,10.00072145
54.0,-3.0082476005,-2.146578347,9.2903608595,9.998409732999999
55.0,-3.014824495,-2.145138012,9.2889873005,9.9988035615
56.0,-3.0202138285,-2.146635579,9.2867123405,9.9986381885
57.0,-3.011786437,-2.1525638455,9.288820355999999,9.999328679
58.0,-3.01384526,-2.1541856079999997,9.289191998,10.000647725
59.0,-2.9542837840000002,-2.2186784915,9.2888046775,9.996639456499999
60.0,-2.9075131215,-2.2159910135,9.3012656495,9.9939096385
61.0,-2.9696876595,-2.193236619,9.2920922245,9.9986596855
62.0,-2.9757637519999998,-2.1894307,9.2925071035,9.999973847500002
63.0,-2.9748194420000003,-2.2209177650000003,9.285834818,10.000484716999999
64.0,-2.9694491574999997,-2.211689118,9.285109881,9.996172476
65.0,-3.0045704545,-2.215571352,9.2766395395,9.999612268
66.0,-3.017824398,-2.2086033725,9.2715506555,9.997344385
67.0,-3.0236000465,-2.2132677689999998,9.267968894,9.996797711500001
68.0,-3.0173739834999997,-2.216944248,9.269863553499999,9.997488439
69.0,-3.0271198139999997,-2.2144600995,9.267573058,9.9977598885
70.0,-3.029704778,-2.213592083,9.2683647355,9.999085049000001
71.0,-3.022390585,-2.21637048,9.270298313,9.9992798745
72.0,-3.032763935,-2.2144737584999996,9.266767074499999,9.998726199
73.0,-3.030001574,-2.216261243,9.2691066615,10.000455365
74.0,-3.0189785735,-2.2169639930000002,9.271259724,9.999272123499999
75.0,-3.0212916955,-2.2135396199999997,9.271841607999999,9.9997505005
76.0,-3.00881515,-2.2140022445,9.2761292175,10.000072475
77.0,-3.0012271595,-2.2114077334999998,9.278075101999999,9.99901916
78.0,-3.0082476005,-2.2058705515,9.2747985525,9.99686574
79.0,-2.9892704705,-2.209333077,9.2818667065,9.9985042915
80.0,-3.0046801655,-2.2083505985,9.276849403,9.9982430175
81.0,-3.01719963,-2.2135396204999997,9.2698623005,9.9966797915
82.0,-3.0083096065,-2.21565243,9.273882839,9.9981983405
83.0,-3.012840477,-2.202908803,9.274169069,9.997021044499999
84.0,-3.036720463,-2.2136302375000003,9.265722538999999,9.9987728115
85.0,-3.010861189,-2.2159433585,9.274851020500002,9.999931479499999
86.0,-3.0233330179999998,-2.203862668,9.2723471575,9.998726704
87.0,-3.0245463065,-2.208635384,9.2699278395,9.997899993499999
88.0,-2.903384485,-2.1972333035,9.3137116715,10.0002280225
89.0,-2.8910128669999997,-2.1786949580000003,9.3179420855,9.9964591505
90.0,-2.956376481,-2.1879903655,9.29906976,10.000020901500001
91.0,-2.97873027,-2.2102630965000003,9.2851432595,9.998604007
92.0,-2.99946728,-2.2089229169999998,9.278776188,9.9985921205
93.0,-2.9848779475000002,-2.2119562055,9.2839223605,9.999688520500001
94.0,-3.008161753,-2.18662157,9.281556726,9.998884895
95.0,-3.015120193,-2.184527838,9.2809223845,9.9999321815
96.0,-3.016369755,-2.1825676465,9.280893772,9.9998538925
97.0,-3.017285465,-2.1815422425,9.2815519255,10.000517245000001
98.0,-3.0137561670000004,-2.182395951,9.2821385455,10.000184496500001
99.0,-3.0159500545,-2.1821050225,9.283206863499998,10.001773400000001
100.0,-3.0179150155,-2.1794485105000003,9.281761751000001,10.000445496000001
101.0,-3.018005632,-2.1790908115,9.281799914499999,10.000430404500001
102.0,-3.011421622,-2.185507781,9.2829107645,10.000877
103.0,-3.0188211860000003,-2.1815803975000003,9.282047925,10.00144947
104.0,-3.0201136725,-2.180240218,9.2807697585,10.000361088
105.0,-3.011471662,-2.1881429835,9.2827824045,10.001349399999999
106.0,-3.017705165,-2.182863345,9.2817236225,10.001092215
107.0,-3.0208454785,-2.181880521,9.281152693500001,10.00129522
108.0,-3.0137895520000004,-2.1846470705,9.2825296485,10.001048364999999
109.0,-3.015757527,-2.1844003255000004,9.2818996055,10.00100288
110.0,-3.017652704,-2.182224256,9.2810129895,10.0002767215
111.0,-3.0106751994999996,-2.1883671414999997,9.281365943499999,9.999844299500001
112.0,-3.0162314445,-2.1848569209999997,9.279892201500001,9.9993826085
113.0,-3.0166988385,-2.185982481,9.2791148085,9.9990482365
114.0,-3.0097356289999997,-2.1896119345000002,9.281819007,10.000254415
115.0,-3.0202472275,-2.1828347289999996,9.2797682195,10.000042021999999
116.0,-3.0206240070000003,-2.1834261245,9.2810416165,10.001463305
117.0,-3.014199729,-2.1832448905,9.282968460500001,10.001276225
118.0,-3.023003881,-2.1790621955000002,9.2821051745,10.002217045
119.0,-3.013627409,-2.1807505355,9.2844469275,10.001929095
120.0,-3.0127927645,-2.1794198945,9.28447075,10.001413455
121.0,-3.0203139845,-2.1790192715,9.2821862515,10.001470495
122.0,-3.0112236575,-2.185553242,9.2838221415,10.001679215
123.0,-3.0058629485,-2.1941189455,9.283970012000001,10.00207446
124.0,-3.1256875385000003,-2.2371191755,9.2369015645,10.004960324999999
125.0,-3.388715867,-2.496575278,9.059458858,9.993997294
126.0,-3.5163812125,-2.6035130765,8.988915848000001,9.997451352
127.0,-3.488900327,-2.5182756545,9.025673068,9.998847021
128.0,-3.4808449095,-2.5206698525,9.0293120445,9.9999276685
129.0,-3.483973585,-2.502679972,9.033408879,10.000198382
130.0,-3.485108683,-2.500290542,9.0333850395,9.9999748515
131.0,-3.4746543305,-2.5075876035,9.036089258499999,10.000609260000001
132.0,-3.4832438784999997,-2.4935610295000004,9.036036772500001,10.0000399035
133.0,-3.4772679185,-2.501878726,9.037667897999999,10.001513585000001
134.0,-3.5398891835,-2.5268175494999996,9.0187622825,10.0129808755
135.0,-3.6212253005,-2.3544016615,8.9799685875,9.9664208975
136.0,-3.60448974,-2.1449853325,9.0514464305,9.9770921595
137.0,-3.395826951,-2.1720989509999997,9.258120422000001,10.09781336
138.0,-3.4474453585,-2.310519105,9.0048501145,9.9186433285
139.0,-3.7267275470000003,-2.7584256099999998,8.9136273055,10.05102751
140.0,-4.2019575095,-3.049883881,8.499730785499999,9.965779976
141.0,-5.3160768725,-3.1147657874999997,7.872511977,10.0358207735
142.0,-5.8022190555,-3.0036643435,7.6218838575,10.063169499
143.0,-4.309596438,-3.1740199020000004,8.312301051,9.886590587
144.0,-5.41385282,-1.6731034400500002,7.6071323594999996,9.811186685500001
145.0,0.40485855255000003,1.6833670285,9.817009139,9.975921866
146.0,0.9906558031999999,1.9681053375,9.7267639685,9.974263022999999
147.0,1.168561198,1.7130751635,9.772497039000001,9.9911129475
148.0,-0.1904010378,1.0303795151,9.7172586965,9.8139521355
149.0,-2.622289951,-0.8104229641,9.475053234499999,9.977913580500001
150.0,-5.882438823499999,-4.74911184,6.381477107,9.947222867499999
151.0,-4.779360763,-3.6035549465,8.0057955475,10.044161004500001
152.0,-4.3585392894999995,-2.298223785,8.7059039735,10.004782531
153.0,-4.465500954,-2.3826980884999998,8.618968718000001,9.997408774
154.0,-4.3860201095,-2.543591293,8.609539756,9.991719309499999
155.0,-4.3031960715,-2.554169621,8.655515996,9.997971797
156.0,-4.3074598895000005,-2.5546799485,8.65057022,9.995650669
157.0,-4.318462714,-2.542379846,8.645762738,9.993101787
158.0,-4.311414699,-2.556553798,8.649720038000002,9.9970964575
159.0,-4.3142466335,-2.5477739375,8.6498548255,9.996192947
160.0,-4.3203513650000005,-2.5469393059999996,8.647126783,9.9962571425
161.0,-4.311509043,-2.5554286935,8.650379446999999,9.9974198365
162.0,-4.318615332,-2.538721747,8.6489152735,9.994965172
163.0,-4.307898667,-2.5571218460000003,8.6499311365,9.995912367
164.0,-4.286947028,-2.5499965085,8.6611437815,9.9948281535
165.0,-4.1989909910000005,-2.4307776655,8.741573782,9.997796550499999
