Time (s),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2)
56.0,-3.020099364,-2.1466880415,9.28664557,9.998552806500001
57.0,-3.011786437,-2.1525399985,9.288806047000001,9.9993102565
58.0,-3.0112111610000003,-2.1559666440000003,9.289977452,10.000971148000001
59.0,-2.9560484165,-2.2178922975,9.2884089405,9.9966345015
60.0,-2.907715493,-2.2158097985,9.3012949885,9.9939543465
61.0,-2.9693728845000003,-2.1926261460000003,9.291891909,9.9982487915
62.0,-2.9763313015,-2.1899791725,9.292392639500001,10.00015612
63.0,-2.9751246785000003,-2.220912996,9.2867886855,10.001458025
64.0,-2.9695302354999997,-2.2115746539999996,9.283860315,9.995011436
65.0,-3.0048089205,-2.215661969,9.2767778485,9.999832415499998
66.0,-3.0179007075,-2.2085842955,9.271221575,9.997057419499999
67.0,-3.023394966,-2.2133106925,9.268178740500002,9.9969396355
68.0,-3.0172771855000002,-2.216847946,9.2699401295,9.99750878
69.0,-3.0275585915,-2.214469638,9.2673345925,9.997673727
70.0,-3.0296570845,-2.21361116,9.2685602785,9.9992562435
71.0,-3.0225615935,-2.216417753,9.270192395999999,9.9992438915
72.0,-3.032808347,-2.2144593935000003,9.2668398725,9.9988041445
73.0,-3.0297688884999996,-2.216523804,9.269245242,10.000572005
74.0,-3.0188545715000004,-2.216591986,9.2709592535,9.998873671
75.0,-3.0215492394999997,-2.213739932,9.272223152999999,10.000226455
76.0,-3.0083286795,-2.214588871,9.276091065,10.000020044
77.0,-3.0010650025,-2.210511101,9.2777984815,9.9985151435
78.0,-3.0087817645,-2.2062854825000002,9.274951171000001,9.997259954
79.0,-2.9879112140000004,-2.2090039944999997,9.282176711,9.998313443
80.0,-3.0058581885,-2.2086462965,9.2765203185,9.998356718
81.0,-3.0171805525,-2.213339309,9.269619066,9.9964041325
82.0,-3.008724539,-2.2157764325000002,9.2732342115,9.997748857
83.0,-3.0127021650000003,-2.2026989525,9.274841544000001,9.997553523
84.0,-3.036591691,-2.2139545515,9.265951466499999,9.999017869
85.0,-3.01015056,-2.2149608780000003,9.274569629,9.9992396945
86.0,-3.024210573,-2.2050740755,9.2729433255,9.999810029999999
87.0,-3.0234474555,-2.2085032169999996,9.2697335565,9.997356517
88.0,-2.9001842665,-2.1965322135000003,9.314708468500001,10.000090613
89.0,-2.894008005,-2.178313412,9.3173745255,9.9967156875
90.0,-2.9571872655,-2.188934691,9.298578519,10.000015353999999
91.0,-2.9783248775,-2.209776626,9.284585251500001,9.997858298
92.0,-2.9983464890000002,-2.2097718564999997,9.279653743,9.9992577425
93.0,-2.9856458085,-2.2115698905,9.283917592000002,9.999826930000001
94.0,-3.009153772,-2.1860206355000003,9.281513798999999,9.999012022
95.0,-3.014614645,-2.184365681,9.2806409935,9.9994830435
96.0,-3.01668453,-2.1827154955,9.280993929000001,10.000074121
97.0,-3.0172663875000003,-2.1817139379999997,9.2816186955,10.0006109115
98.0,-3.013899247,-2.18233395,9.2821719295,10.0002452215
99.0,-3.0161265195,-2.1817043995,9.283125786500001,10.0016641
100.0,-3.017824398,-2.179810979,9.281766521,10.000501689
101.0,-3.0178482449999997,-2.179128966,9.2820288405,10.00060368
102.0,-3.011728805,-2.1854173545,9.2826727565,10.000728925
103.0,-3.018639952,-2.1817282465,9.28202408,10.00140497
104.0,-3.019903822,-2.1800685225,9.280645755999998,10.000145202
105.0,-3.0117890505,-2.1880503444999997,9.282895417,10.00152931
106.0,-3.017862553,-2.183087503,9.281847627000001,10.001303884999999
107.0,-3.020447679,-2.1821177665000002,9.2810184655,10.001102396
108.0,-3.0135940100000003,-2.1840604445,9.282682267,10.001002925000002
109.0,-3.0160428465,-2.1845654205000002,9.2816590025,10.00090168
110.0,-3.0177194739999997,-2.182200409,9.281122682500001,10.000393460000002
111.0,-3.0105416585,-2.1883289870000002,9.2813325575,9.999764517500001
112.0,-3.016145597,-2.184990462,9.2799971285,9.9994832705
113.0,-3.0167751469999997,-2.1860874060000004,9.278981267999999,9.998970307
114.0,-3.0095687025,-2.189726398,9.281914391499999,10.00031778
