"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.717887161919900E9,"2024-06-09 00:52:41.920 UTC+02:00"
"PAUSE",2.356818182000017E3,1.717889518714735E9,"2024-06-09 01:31:58.715 UTC+02:00"
