"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)","Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute Linear acceleration (m/s^2)","Time (s)","Attitude x (m/s^2)","Attitude y (m/s^2)","Attitude z (m/s^2)","Absolute Attitude (m/s^2)","Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.449116250E-1,-7.128012798E0,-2.203078290E0,6.253643558E0,9.734997594E0,6.461556250E-1,2.152138562E-2,2.298414898E-1,1.222971016E-2,2.311706000E-1,6.449116250E-1,-7.128012798E0,-2.203078290E0,6.253643558E0,9.734997594E0,6.461556250E-1,1.834255645E-2,1.052932184E-1,2.629466463E-1,2.838380700E-1
1.152312000E0,-6.854660366E0,-2.147595816E0,6.538705633E0,9.713557941E0,1.153556000E0,1.782671477E-1,-2.815482977E-1,-2.437666371E-2,3.341299772E-1,1.152312000E0,-6.854660366E0,-2.147595816E0,6.538705633E0,9.713557941E0,1.153556000E0,1.360439002E-1,-1.335852462E-1,-2.383863277E-1,3.052556339E-1
1.659711000E0,-7.463256549E0,-3.023098728E0,5.384684843E0,9.686803141E0,1.660955000E0,-1.000122899E-1,3.911555877E-1,-5.825004259E-2,4.079193785E-1,1.659711000E0,-7.463256549E0,-3.023098728E0,5.384684843E0,9.686803141E0,1.660955000E0,8.828292455E-3,3.072564338E-1,-5.034695528E-1,5.898864682E-1
2.167110125E0,-6.651265681E0,-4.680563776E0,5.457389535E0,9.794391914E0,2.168354125E0,1.233727763E-1,-3.479958472E-1,-7.070795974E-2,3.759276089E-1,2.167110125E0,-6.651265681E0,-4.680563776E0,5.457389535E0,9.794391914E0,2.168354125E0,-1.640087873E-1,1.886779413E-1,-4.392516894E-1,5.054110154E-1
2.674510125E0,-6.232119652E0,-6.176218253E0,4.261071409E0,9.754061555E0,2.675754125E0,5.777816082E-2,2.510578857E-2,1.214798606E-2,6.415754089E-2,2.674510125E0,-6.232119652E0,-6.176218253E0,4.261071409E0,9.754061555E0,2.675754125E0,-7.384448029E-3,1.654954937E-2,-2.421808664E-1,2.428579620E-1
3.181910417E0,-6.171944787E0,-6.369842081E0,4.154947977E0,9.794456762E0,3.183154417E0,8.904243182E-3,2.481982533E-3,-1.212983103E-2,1.525052736E-2,3.181910417E0,-6.171944787E0,-6.369842081E0,4.154947977E0,9.794456762E0,3.183154417E0,-1.089377495E-2,4.859970207E-3,1.432161837E-1,1.437121042E-1
3.689309417E0,-6.218427537E0,-6.089357704E0,4.424687051E0,9.763553338E0,3.690553417E0,4.694822315E-2,1.809885221E-4,-3.258578187E-2,5.714894219E-2,3.689309417E0,-6.218427537E0,-6.089357704E0,4.424687051E0,9.763553338E0,3.690553417E0,3.448665065E-2,-5.860194011E-2,8.893405659E-2,1.119499124E-1
4.196709625E0,-6.591170062E0,-5.576893966E0,4.386807000E0,9.684489906E0,4.197953625E0,7.899995359E-2,1.101136645E-1,-5.467295682E-3,1.356314975E-1,4.196709625E0,-6.591170062E0,-5.576893966E0,4.386807000E0,9.684489906E0,4.197953625E0,-7.258548543E-2,1.372887345E-1,8.807452038E-2,1.785328274E-1
4.704109625E0,-7.133324998E0,-5.676442835E0,3.560578093E0,9.786932366E0,4.705353625E0,7.584236541E-2,-2.069548603E-2,6.587246145E-2,1.025648512E-1,4.704109625E0,-7.133324998E0,-5.676442835E0,3.560578093E0,9.786932366E0,4.705353625E0,-2.565673009E-2,1.356912455E-1,9.173133140E-2,1.657860641E-1
5.211510000E0,-7.674297099E0,-5.195284585E0,3.093546349E0,9.770150813E0,5.212754000E0,-1.355978482E-2,3.380040334E-2,-9.795016040E-2,1.045015261E-1,5.211510000E0,-7.674297099E0,-5.195284585E0,3.093546349E0,9.770150813E0,5.212754000E0,5.953212130E-2,6.609492877E-2,5.220547503E-2,1.031408004E-1
