"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
6.449116250E-1,-1.940670608E1,-4.873844252E1
1.152312000E0,-1.818243347E1,-4.635137916E1
1.659711000E0,-2.931095983E1,-5.418982798E1
2.167110125E0,-4.061824454E1,-5.063098768E1
2.674510125E0,-5.539758749E1,-5.563851123E1
3.181910417E0,-5.688422094E1,-5.605159366E1
3.689309417E0,-5.399686113E1,-5.456646157E1
4.196709625E0,-5.181126885E1,-5.635392545E1
4.704109625E0,-5.790179482E1,-6.347405874E1
5.211510000E0,-5.922820125E1,-6.804539751E1
5.718910000E0,-5.830820939E1,-6.759044728E1
6.226309417E0,-5.837547167E1,-6.766018156E1
6.733710417E0,-5.833086083E1,-6.764633968E1
7.241110292E0,-5.822440665E1,-6.761794272E1
7.748510292E0,-5.844845081E1,-6.788177579E1
8.255911917E0,-5.758042617E1,-6.768846792E1
8.763311917E0,-5.584667624E1,-6.753783627E1
9.270712417E0,-5.573990471E1,-6.731216478E1
9.778112417E0,-5.562100009E1,-6.752899588E1
1.028551392E1,-5.644725579E1,-6.838738722E1
1.079291392E1,-5.643946433E1,-6.830704819E1
1.130031437E1,-5.611147322E1,-6.819397104E1
1.180771537E1,-5.666032681E1,-6.865651955E1
1.231511612E1,-5.681265638E1,-6.877860942E1
1.282251612E1,-5.668008882E1,-6.862360816E1
1.332991750E1,-5.672100153E1,-6.868866600E1
1.383731850E1,-5.675043831E1,-6.869960439E1
1.434471987E1,-5.659040506E1,-6.859694796E1
1.485212087E1,-5.660568943E1,-6.860466032E1
1.535952162E1,-5.651472529E1,-6.855679560E1
1.586692262E1,-5.640501863E1,-6.846090374E1
1.637432450E1,-5.620677861E1,-6.834077455E1
1.688172550E1,-5.645744823E1,-6.850243761E1
1.738912767E1,-5.662445266E1,-6.863490874E1
1.789652867E1,-5.644358316E1,-6.851686902E1
1.840392950E1,-5.637124060E1,-6.848450690E1
1.891133050E1,-5.630285729E1,-6.840734605E1
1.941873250E1,-5.625776385E1,-6.835593968E1
1.992613350E1,-5.638802210E1,-6.847935738E1
2.043353575E1,-5.643573094E1,-6.854047011E1
2.094093675E1,-5.643725956E1,-6.860128144E1
2.144833825E1,-5.709072441E1,-6.910630170E1
2.195574025E1,-5.698188369E1,-6.906269525E1
2.246314100E1,-5.668244628E1,-6.894372019E1
2.297054354E1,-5.662356502E1,-6.885164737E1
2.347794554E1,-5.652892579E1,-6.877555812E1
2.398534800E1,-5.647796651E1,-6.873643912E1
2.449275000E1,-5.642084288E1,-6.871013258E1
2.550755337E1,-5.643195425E1,-6.869241679E1
2.601495525E1,-5.635668828E1,-6.860951018E1
2.652235725E1,-5.680552148E1,-6.890004909E1
2.702975962E1,-5.669960032E1,-6.876086986E1
2.753716162E1,-5.668895388E1,-6.876399915E1
2.804456400E1,-5.677449562E1,-6.886308346E1
2.855196600E1,-5.709270369E1,-6.896834115E1
2.905936825E1,-5.649813749E1,-6.877793683E1
2.956677025E1,-5.642209049E1,-6.872768248E1
3.007417367E1,-5.627152457E1,-6.856248384E1
