"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
6.559243392E1,1.461256598E2,-1.204942535E2
6.609983812E1,1.465170290E2,-1.206150871E2
6.660724312E1,1.466940766E2,-1.206465970E2
6.711464813E1,1.463895847E2,-1.205889598E2
6.762205313E1,1.463902529E2,-1.205406899E2
6.812945875E1,1.464242596E2,-1.207066363E2
6.863686375E1,1.464733376E2,-1.206085519E2
6.914427000E1,1.467775846E2,-1.206971910E2
6.965167500E1,1.463741029E2,-1.205123869E2
7.015908000E1,1.460993917E2,-1.206470222E2
7.066648500E1,1.459701050E2,-1.206941276E2
7.117388963E1,1.461976879E2,-1.206710615E2
7.168129562E1,1.464823571E2,-1.206132285E2
7.218869975E1,1.463174957E2,-1.206283831E2
7.269610475E1,1.460840659E2,-1.205523298E2
7.320351188E1,1.460828544E2,-1.206610258E2
7.371091687E1,1.460120773E2,-1.205908084E2
7.421832250E1,1.466951719E2,-1.207280641E2
7.472572750E1,1.466250222E2,-1.206059782E2
7.523313388E1,1.464814146E2,-1.206288469E2
7.624794454E1,1.463248481E2,-1.206554147E2
7.675534954E1,1.464974288E2,-1.206367779E2
7.726275542E1,1.465777067E2,-1.205636933E2
7.777016142E1,1.465033401E2,-1.206062508E2
7.827756625E1,1.462942693E2,-1.206228314E2
7.878497225E1,1.461455273E2,-1.206567227E2
7.929237838E1,1.459740759E2,-1.204104933E2
7.979978438E1,1.460381977E2,-1.203549787E2
8.030718954E1,1.454805760E2,-1.201724414E2
8.081459554E1,1.453117035E2,-1.202560182E2
8.132200142E1,1.452897925E2,-1.202821598E2
8.182940742E1,1.453442115E2,-1.202585626E2
8.233681350E1,1.456352487E2,-1.203055737E2
8.284421950E1,1.456010061E2,-1.203303395E2
8.335162512E1,1.454668966E2,-1.203041115E2
8.385903112E1,1.454438678E2,-1.203148703E2
8.436643688E1,1.455760586E2,-1.203392786E2
8.487384288E1,1.457930384E2,-1.203346595E2
8.538124917E1,1.456634536E2,-1.203221009E2
8.588865517E1,1.456492667E2,-1.203103875E2
8.639606200E1,1.454940347E2,-1.203219341E2
8.690346900E1,1.454938342E2,-1.203308325E2
8.741087437E1,1.456916298E2,-1.203035069E2
8.791828038E1,1.457829474E2,-1.203018961E2
8.842568792E1,1.456327296E2,-1.202819759E2
8.893309392E1,1.455013458E2,-1.203026787E2
8.944049962E1,1.455002796E2,-1.202995713E2
8.994790662E1,1.455792289E2,-1.202981878E2
9.045531204E1,1.456862075E2,-1.202975664E2
9.096271804E1,1.456033522E2,-1.202547972E2
9.147012579E1,1.455959813E2,-1.202700950E2
9.197753179E1,1.455694843E2,-1.202848474E2
9.248493867E1,1.455615055E2,-1.203185267E2
9.299234467E1,1.455697237E2,-1.202591532E2
9.349975167E1,1.457674035E2,-1.203063761E2
9.400715767E1,1.456648242E2,-1.202666479E2
9.451456437E1,1.456031410E2,-1.203106090E2
9.502197037E1,1.456177251E2,-1.203138838E2
9.552937687E1,1.456092107E2,-1.203061680E2
9.603678387E1,1.458116259E2,-1.203011265E2
9.654419087E1,1.460387092E2,-1.203184030E2
9.705159800E1,1.459757519E2,-1.202996826E2
9.755900400E1,1.458434977E2,-1.203141054E2
9.806641038E1,1.457552070E2,-1.203160946E2
9.857381737E1,1.460042254E2,-1.203126183E2
9.958863012E1,1.460169115E2,-1.202512533E2
1.000960376E2,1.458928753E2,-1.203183850E2
1.006034446E2,1.458404016E2,-1.203187363E2
1.011108528E2,1.459738548E2,-1.202840955E2
1.016182588E2,1.461433878E2,-1.203332190E2
1.021256640E2,1.460618504E2,-1.202637264E2
1.026330710E2,1.459236488E2,-1.202526788E2
1.031404784E2,1.459047040E2,-1.202813532E2
1.036478854E2,1.458791282E2,-1.202753741E2
1.041552919E2,1.459557599E2,-1.202805036E2
1.046626989E2,1.459184704E2,-1.203145816E2
1.051701067E2,1.458368443E2,-1.203146001E2
1.056775147E2,1.461429949E2,-1.203137197E2
1.061849217E2,1.461101770E2,-1.202988865E2
1.066923297E2,1.460154094E2,-1.203862827E2
1.071997376E2,1.448059603E2,-1.201612944E2
1.077071466E2,1.430374532E2,-1.203434568E2
1.082145544E2,1.430703626E2,-1.205433105E2
1.087219634E2,1.442009215E2,-1.207542279E2
1.092293726E2,1.442104990E2,-1.208480027E2
1.097367816E2,1.443158525E2,-1.209351398E2
1.102441923E2,1.443576015E2,-1.208997858E2
1.107516023E2,1.443353808E2,-1.208637507E2
1.112590110E2,1.443620661E2,-1.209285277E2
1.117664210E2,1.443026634E2,-1.209077117E2
1.122738322E2,1.442626607E2,-1.208853983E2
1.127812433E2,1.444000276E2,-1.209322678E2
1.132886544E2,1.443768899E2,-1.208798835E2
1.137960654E2,1.444885953E2,-1.208942666E2
1.143034784E2,1.446908667E2,-1.209342102E2
1.148108904E2,1.445338015E2,-1.208990795E2
1.153183015E2,1.444878927E2,-1.209066188E2
1.158257135E2,1.445305304E2,-1.208953397E2
1.163331269E2,1.445057730E2,-1.208690040E2
1.168405399E2,1.446277493E2,-1.209224040E2
1.173479527E2,1.446524969E2,-1.208894689E2
1.178553657E2,1.444678532E2,-1.208764273E2
1.183627782E2,1.444849441E2,-1.208731610E2
1.188701922E2,1.444827824E2,-1.208656344E2
1.193776060E2,1.444943876E2,-1.208719586E2
1.198850200E2,1.446682818E2,-1.209137640E2
1.203924338E2,1.446212534E2,-1.209033713E2
1.214072626E2,1.444526437E2,-1.208505961E2
1.219146766E2,1.444722999E2,-1.208687002E2
1.224220908E2,1.444788725E2,-1.208653679E2
1.229295048E2,1.446845715E2,-1.209161524E2
1.234369184E2,1.445547468E2,-1.208809603E2
1.239443324E2,1.445000673E2,-1.208805170E2
1.244517459E2,1.444577836E2,-1.208762390E2
1.249591589E2,1.445293981E2,-1.208765975E2
1.254665734E2,1.449349834E2,-1.210034083E2
1.259739874E2,1.452692113E2,-1.209982372E2
1.264814014E2,1.450749971E2,-1.209580823E2
1.269888144E2,1.452242193E2,-1.209314301E2
1.274962299E2,1.455024455E2,-1.209881496E2
1.280036439E2,1.453807027E2,-1.209930630E2
1.285110551E2,1.454241839E2,-1.209429882E2
1.290184681E2,1.453035962E2,-1.208873848E2
1.295258824E2,1.452311394E2,-1.209755421E2
1.300332954E2,1.452195255E2,-1.209224628E2
1.305407094E2,1.452050564E2,-1.209119421E2
1.310481224E2,1.453155383E2,-1.209198086E2
1.315555354E2,1.453821166E2,-1.209537439E2
1.320629484E2,1.452427030E2,-1.208917484E2
1.325703617E2,1.452579062E2,-1.208914567E2
1.330777743E2,1.452935385E2,-1.209201244E2
1.335851872E2,1.453306577E2,-1.208892542E2
1.340926002E2,1.455036278E2,-1.209065082E2
1.346000132E2,1.455438770E2,-1.208345767E2
1.351074266E2,1.452849401E2,-1.208140848E2
1.356148396E2,1.452981742E2,-1.207964110E2
1.361222529E2,1.454254015E2,-1.208558703E2
1.366296659E2,1.457033279E2,-1.209220884E2
1.371370788E2,1.455080607E2,-1.209454800E2
1.376444917E2,1.455883967E2,-1.209264569E2
1.381519035E2,1.452917707E2,-1.208850898E2
1.386593155E2,1.454088885E2,-1.208797617E2
1.391667287E2,1.454311743E2,-1.208953522E2
1.396741417E2,1.455698160E2,-1.209547704E2
1.401815534E2,1.454189258E2,-1.209297580E2
1.406889664E2,1.452908720E2,-1.209319727E2
1.411963788E2,1.451921276E2,-1.209332353E2
1.417037908E2,1.451150284E2,-1.209039714E2
1.422112032E2,1.452876233E2,-1.209749696E2
1.427186152E2,1.462039623E2,-1.210953146E2
1.432260279E2,1.465123681E2,-1.210612944E2
1.437334399E2,1.463786807E2,-1.210249165E2
1.442408523E2,1.463113434E2,-1.210289327E2
1.447482653E2,1.464985324E2,-1.210165673E2
1.452556774E2,1.466512297E2,-1.210493003E2
1.457630894E2,1.464861650E2,-1.210106921E2
1.467779141E2,1.464293840E2,-1.210027009E2
1.472853265E2,1.465007937E2,-1.209962377E2
1.477927385E2,1.466698087E2,-1.210424995E2
1.483001509E2,1.466372325E2,-1.210260394E2
1.488075639E2,1.465409225E2,-1.209921798E2
1.493149759E2,1.464227020E2,-1.209654738E2
1.498223879E2,1.463837034E2,-1.209937623E2
1.503297991E2,1.463821683E2,-1.209901283E2
1.508372111E2,1.461381213E2,-1.209295893E2
1.513446228E2,1.462139584E2,-1.209982774E2
1.518520347E2,1.461166914E2,-1.209773371E2
