"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.065034230E-1,8.913444128E-1,3.896481724E-1
1.008029302E0,9.001907786E-1,3.867122226E-1
1.509494146E0,9.054007522E-1,3.989298601E-1
2.010836919E0,9.009367936E-1,3.990829777E-1
2.512057622E0,9.014650093E-1,4.061776728E-1
3.012118657E0,8.975393678E-1,4.056056035E-1
3.513278325E0,8.998408375E-1,3.925627847E-1
4.014560064E0,9.045079226E-1,3.970770352E-1
4.515353521E0,8.974156845E-1,3.957883059E-1
5.016909917E0,9.015732459E-1,3.966662022E-1
5.518679937E0,8.964287630E-1,4.113220375E-1
6.020083745E0,9.025685675E-1,4.094760432E-1
6.520236333E0,9.115254904E-1,3.949812365E-1
7.021579107E0,9.003708232E-1,3.965324096E-1
7.523166021E0,9.025242545E-1,4.027686384E-1
8.024356206E0,8.897857646E-1,4.024087525E-1
8.526065191E0,9.192615737E-1,3.900023045E-1
9.027163823E0,7.530032417E-1,5.914477718E-1
9.528079351E0,-2.828318478E-2,1.935678524E0
1.002890332E1,-5.706913706E0,1.762249473E0
1.053024610E1,-1.178174789E1,-2.734535749E1
1.103119214E1,-2.848658220E1,-4.660557105E1
1.203215798E1,-3.924713192E1,-4.047051061E1
1.253319558E1,-2.875832712E1,-2.640071137E1
1.303395852E1,-1.622140278E1,-2.090657912E1
1.353411110E1,-1.638347261E1,-1.876352276E1
1.403603371E1,-1.690476948E1,-2.018552998E1
1.453621682E1,-1.728677340E1,-2.030131946E1
1.503679665E1,-1.729859879E1,-2.036694344E1
1.553716286E1,-1.707063099E1,-2.009566875E1
1.603893288E1,-1.698475751E1,-2.010661685E1
1.654070290E1,-1.691816671E1,-1.996618755E1
1.704137429E1,-1.690163406E1,-1.993488839E1
1.754167946E1,-1.691475039E1,-2.006191550E1
1.804277810E1,-1.689925705E1,-1.980810262E1
1.854418190E1,-1.689218237E1,-1.985472366E1
1.904470070E1,-1.691476238E1,-1.993210476E1
1.954628762E1,-1.685795828E1,-2.002022089E1
2.004763039E1,-1.669905014E1,-2.000610223E1
2.054946144E1,-1.676792224E1,-2.000028788E1
2.105077370E1,-1.672725728E1,-1.996510958E1
2.155098732E1,-1.669022033E1,-1.994218805E1
2.205199440E1,-1.666664045E1,-1.995573193E1
2.255220803E1,-1.665984061E1,-1.977952962E1
2.305342873E1,-1.676229092E1,-2.009279930E1
2.355489357E1,-1.668927333E1,-1.991265132E1
2.405648192E1,-1.669585712E1,-1.975995170E1
2.455837401E1,-1.712010990E1,-1.999414087E1
2.505989989E1,-1.685056313E1,-2.063432918E1
2.606203612E1,-1.732518505E1,-2.177945882E1
2.656328734E1,-1.673097306E1,-2.107153294E1
2.706484374E1,-1.666272483E1,-2.076490927E1
2.756618651E1,-1.665269934E1,-2.083404799E1
2.806768187E1,-1.663569429E1,-2.083927650E1
2.856914671E1,-1.660349143E1,-2.059657617E1
2.907015379E1,-1.668549178E1,-2.062538466E1
2.957180174E1,-1.666216940E1,-2.063251733E1
3.007378539E1,-1.664208065E1,-2.071019034E1
3.057390746E1,-1.664329665E1,-2.077021364E1
3.107552489E1,-1.667934484E1,-2.072715121E1
3.157552489E1,-1.668405858E1,-2.067822352E1
3.207751015E1,-1.663124979E1,-2.068590413E1
3.257897500E1,-1.662705604E1,-2.069954178E1
3.307903603E1,-1.663403435E1,-2.070318060E1
3.357937172E1,-1.664411698E1,-2.067493816E1
3.408062294E1,-1.668708625E1,-2.066940759E1
3.458150795E1,-1.664548391E1,-2.065339356E1
3.508309487E1,-1.662800217E1,-2.066835822E1
3.558370522E1,-1.663459324E1,-2.068949417E1
3.608565834E1,-1.663533147E1,-2.066512715E1
3.658587197E1,-1.669915461E1,-2.065251503E1
3.708697060E1,-1.664591320E1,-2.064609619E1
3.758748940E1,-1.664161364E1,-2.063877737E1
3.808761147E1,-1.665180795E1,-2.066789901E1
3.858837441E1,-1.665696729E1,-2.067312499E1
3.959179238E1,-1.669463730E1,-2.062063373E1
4.009362343E1,-1.666305030E1,-2.063287153E1
4.059514931E1,-1.665838822E1,-2.065930312E1
4.109688881E1,-1.668595723E1,-2.062812630E1
4.159801796E1,-1.662627351E1,-2.013471687E1
4.209820107E1,-1.655018279E1,-2.009579803E1
4.259928477E1,-1.650569989E1,-2.013477698E1
4.310111583E1,-1.653566738E1,-2.016097472E1
4.360233653E1,-1.653994900E1,-2.018491047E1
4.410337413E1,-1.656152418E1,-2.017450466E1
4.460532725E1,-1.658316501E1,-2.018898441E1
4.510715831E1,-1.653212359E1,-2.019892996E1
4.560798228E1,-1.646993006E1,-2.013267215E1
4.610926402E1,-1.648326320E1,-2.017741159E1
4.661088145E1,-1.653202714E1,-2.019472228E1
4.711182750E1,-1.655239561E1,-2.018854410E1
4.761204112E1,-1.652372451E1,-2.023937739E1
4.811381114E1,-1.651632986E1,-2.027729080E1
4.861573375E1,-1.656621426E1,-2.028324849E1
4.911732066E1,-1.656645383E1,-2.022246166E1
4.961930430E1,-1.660841185E1,-2.019712376E1
5.012098277E1,-1.656265112E1,-2.017149980E1
5.062180675E1,-1.659371613E1,-2.019976698E1
5.112327159E1,-1.657780310E1,-2.019423825E1
5.162525523E1,-1.659485807E1,-2.019155319E1
5.212662852E1,-1.662558435E1,-2.017817929E1
5.262806285E1,-1.657385222E1,-2.023504988E1
5.312916148E1,-1.656514833E1,-2.041137685E1
5.363047374E1,-1.653421499E1,-2.040975199E1
5.463245738E1,-1.660300479E1,-2.033767266E1
5.513352550E1,-1.654037862E1,-2.037909368E1
5.563523448E1,-1.652674743E1,-2.037586235E1
5.613694346E1,-1.653325789E1,-2.036169199E1
5.663889659E1,-1.653366480E1,-2.036714181E1
5.714033092E1,-1.658785683E1,-2.033877655E1
5.764179576E1,-1.659162948E1,-2.032959017E1
5.814313853E1,-1.660832675E1,-2.045246130E1
5.864399302E1,-1.662440451E1,-2.042097607E1
5.914533580E1,-1.661539825E1,-2.042245107E1
5.964680064E1,-1.668365710E1,-2.041299677E1
6.014811365E1,-1.662673719E1,-2.040312588E1
6.064994395E1,-1.660705659E1,-2.042997740E1
6.115125621E1,-1.660244332E1,-2.044654490E1
6.165186656E1,-1.662311414E1,-2.041251196E1
6.215385020E1,-1.666869180E1,-2.039788948E1
6.265522349E1,-1.661174056E1,-2.039651101E1
6.315623057E1,-1.661275015E1,-2.042076444E1
6.365745128E1,-1.660601085E1,-2.044556758E1
6.415922130E1,-1.661993052E1,-2.041564295E1
6.466099132E1,-1.667275782E1,-2.039331930E1
6.516291392E1,-1.660872494E1,-2.039519716E1
6.566321910E1,-1.659949788E1,-2.042286869E1
6.616489757E1,-1.659649077E1,-2.044489897E1
6.666633189E1,-1.664084104E1,-2.040578036E1
6.716779674E1,-1.674898105E1,-2.048091028E1
6.766892589E1,-1.668313080E1,-2.046041984E1
6.817002452E1,-1.667208287E1,-2.047525486E1
6.917133678E1,-1.668994023E1,-2.042881274E1
6.967274058E1,-1.666944596E1,-2.039048664E1
7.017430107E1,-1.657223208E1,-2.040462311E1
7.067631114E1,-1.655420265E1,-2.036889211E1
7.117795909E1,-1.651603507E1,-2.037474890E1
7.167908824E1,-1.653719307E1,-2.043495742E1
7.218079264E1,-1.651416613E1,-2.037770645E1
7.268214000E1,-1.657836647E1,-2.036422235E1
7.318271983E1,-1.657483497E1,-2.035249540E1
7.368357432E1,-1.653076546E1,-2.036292910E1
7.418474349E1,-1.656537287E1,-2.043011715E1
7.468583262E1,-1.653970329E1,-2.034498081E1
7.518720972E1,-1.661219397E1,-2.033001610E1
7.568879664E1,-1.662338018E1,-2.037597163E1
7.619041407E1,-1.660707329E1,-2.038929326E1
7.669190943E1,-1.653697410E1,-2.035034069E1
7.719325221E1,-1.655279177E1,-2.046692551E1
7.769465601E1,-1.807652792E1,-2.076559558E1
7.819605982E1,-1.823404701E1,-2.159674149E1
7.869761622E1,-1.799871072E1,-2.046233953E1
7.919877589E1,-1.805182462E1,-2.168105072E1
7.970051539E1,-1.729621007E1,-2.199720451E1
8.020152247E1,-1.818556142E1,-2.255644686E1
8.070298731E1,-1.738265125E1,-2.153953619E1
8.120405543E1,-1.737389766E1,-2.121085316E1
8.170588648E1,-1.724683084E1,-2.108724172E1
8.220750392E1,-1.714445381E1,-2.120985806E1
8.270939600E1,-1.749439101E1,-2.130114114E1
8.321040309E1,-1.748615778E1,-2.134215813E1
8.421296656E1,-1.744908725E1,-2.126009938E1
