"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.065034230E-1,8.910865558E1,2.361100754E1
1.008029302E0,8.909980922E1,2.324644263E1
1.509494146E0,8.909459924E1,2.377741672E1
2.010836919E0,8.909906320E1,2.389023461E1
2.512057622E0,8.909853499E1,2.425372930E1
3.012118657E0,8.910246063E1,2.431721191E1
3.513278325E0,8.910015916E1,2.356822474E1
4.014560064E0,8.909549207E1,2.369995679E1
4.515353521E0,8.910258431E1,2.379758180E1
5.016909917E0,8.909842675E1,2.374670299E1
5.518679937E0,8.910357123E1,2.464639764E1
6.020083745E0,8.909743143E1,2.440136265E1
6.520236333E0,8.908847450E1,2.342656487E1
7.021579107E0,8.909962917E1,2.376777532E1
7.523166021E0,8.909747574E1,2.404831536E1
8.024356206E0,8.911021423E1,2.433365340E1
8.526065191E0,8.908073842E1,2.298792998E1
9.027163823E0,8.924699675E1,3.814731372E1
9.528079351E0,9.002828318E1,9.083679985E1
1.002890332E1,9.570691370E1,1.628881143E2
1.053024610E1,1.017817479E2,-1.119656790E2
1.103119214E1,1.184865822E2,-1.171605920E2
1.203215798E1,1.292471319E2,-1.337569428E2
1.253319558E1,1.187583271E2,-1.378693337E2
1.303395852E1,1.062214028E2,-1.272933741E2
1.353411110E1,1.063834726E2,-1.308739798E2
1.403603371E1,1.069047695E2,-1.295791328E2
1.453621682E1,1.072867734E2,-1.300724278E2
1.503679665E1,1.072985988E2,-1.299937580E2
1.553716286E1,1.070706310E2,-1.300077393E2
1.603893288E1,1.069847575E2,-1.298400976E2
1.654070290E1,1.069181667E2,-1.299372858E2
1.704137429E1,1.069016341E2,-1.299560791E2
1.754167946E1,1.069147504E2,-1.297847973E2
1.804277810E1,1.068992570E2,-1.301472249E2
1.854418190E1,1.068921824E2,-1.300627105E2
1.904470070E1,1.069147624E2,-1.299835816E2
1.954628762E1,1.068579583E2,-1.297480119E2
2.004763039E1,1.066990501E2,-1.294871584E2
2.054946144E1,1.067679222E2,-1.296186803E2
2.105077370E1,1.067272573E2,-1.296000952E2
2.155098732E1,1.066902203E2,-1.295691352E2
2.205199440E1,1.066666404E2,-1.295062956E2
2.255220803E1,1.066598406E2,-1.297649605E2
2.305342873E1,1.067622909E2,-1.294676237E2
2.355489357E1,1.066892733E2,-1.296127157E2
2.405648192E1,1.066958571E2,-1.298596442E2
2.455837401E1,1.071201099E2,-1.302498991E2
2.505989989E1,1.068505631E2,-1.288110495E2
2.606203612E1,1.073251850E2,-1.279804488E2
2.656328734E1,1.067309731E2,-1.279608793E2
2.706484374E1,1.066627248E2,-1.282869623E2
2.756618651E1,1.066526993E2,-1.281679751E2
2.806768187E1,1.066356943E2,-1.281302340E2
2.856914671E1,1.066034914E2,-1.284297899E2
2.907015379E1,1.066854918E2,-1.285327496E2
2.957180174E1,1.066621694E2,-1.284808691E2
3.007378539E1,1.066420806E2,-1.283307632E2
3.057390746E1,1.066432966E2,-1.282447746E2
3.107552489E1,1.066793448E2,-1.283718384E2
3.157552489E1,1.066840586E2,-1.284522144E2
3.207751015E1,1.066312498E2,-1.283472918E2
3.257897500E1,1.066270560E2,-1.283197788E2
3.307903603E1,1.066340344E2,-1.283268050E2
3.357937172E1,1.066441170E2,-1.283862699E2
3.408062294E1,1.066870862E2,-1.284705746E2
3.458150795E1,1.066454839E2,-1.284204584E2
3.508309487E1,1.066280022E2,-1.283673739E2
3.558370522E1,1.066345932E2,-1.283479380E2
3.608565834E1,1.066353315E2,-1.283851432E2
3.658587197E1,1.066991546E2,-1.285168694E2
3.708697060E1,1.066459132E2,-1.284319869E2
3.758748940E1,1.066416136E2,-1.284351602E2
3.808761147E1,1.066518079E2,-1.284102842E2
3.858837441E1,1.066569673E2,-1.284117286E2
3.959179238E1,1.066946373E2,-1.285559756E2
4.009362343E1,1.066630503E2,-1.284819080E2
4.059514931E1,1.066583882E2,-1.284346273E2
4.109688881E1,1.066859572E2,-1.285295220E2
4.159801796E1,1.066262735E2,-1.291616804E2
4.209820107E1,1.065501828E2,-1.290845411E2
4.259928477E1,1.065056999E2,-1.289457234E2
4.310111583E1,1.065356674E2,-1.289598563E2
4.360233653E1,1.065399490E2,-1.289313777E2
4.410337413E1,1.065615242E2,-1.289857213E2
