"t (s)","Inclination (deg)","Rotation (deg)"
5.065034230E-1,9.727649124E-1,2.361100754E1
1.008029302E0,9.797145341E-1,2.324644263E1
1.509494146E0,9.893647336E-1,2.377741672E1
2.010836919E0,9.853435090E-1,2.389023461E1
2.512057622E0,9.887188779E-1,2.425372930E1
3.012118657E0,9.849055802E-1,2.431721191E1
3.513278325E0,9.817170668E-1,2.356822474E1
4.014560064E0,9.878017863E-1,2.369995679E1
4.515353521E0,9.807915484E-1,2.379758180E1
5.016909917E0,9.849499763E-1,2.374670299E1
5.518679937E0,9.862632177E-1,2.464639764E1
6.020083745E0,9.910828322E-1,2.440136265E1
6.520236333E0,9.933963239E-1,2.342656487E1
7.021579107E0,9.837956123E-1,2.376777532E1
7.523166021E0,9.882909212E-1,2.404831536E1
8.024356206E0,9.765241660E-1,2.433365340E1
8.526065191E0,9.985446619E-1,2.298792998E1
9.027163823E0,9.574673882E-1,3.814731372E1
9.528079351E0,1.935884829E0,9.083679985E1
1.002890332E1,5.969382067E0,1.628881143E2
1.053024610E1,2.914491786E1,-1.119656790E2
1.103119214E1,4.992903384E1,-1.171605920E2
1.203215798E1,4.974997225E1,-1.337569428E2
1.253319558E1,3.650200881E1,-1.378693337E2
1.303395852E1,2.564882195E1,-1.272933741E2
1.353411110E1,2.419305753E1,-1.308739798E2
1.403603371E1,2.550090713E1,-1.295791328E2
1.453621682E1,2.580061647E1,-1.300724278E2
1.503679665E1,2.585367734E1,-1.299937580E2
1.553716286E1,2.553163587E1,-1.300077393E2
1.603893288E1,2.549029159E1,-1.298400976E2
1.654070290E1,2.535263571E1,-1.299372858E2
1.704137429E1,2.532097939E1,-1.299560791E2
1.754167946E1,2.541861641E1,-1.297847973E2
1.804277810E1,2.522988889E1,-1.301472249E2
1.854418190E1,2.525878374E1,-1.300627105E2
1.904470070E1,2.532653432E1,-1.299835816E2
1.954628762E1,2.535659575E1,-1.297480119E2
2.004763039E1,2.525618479E1,-1.294871584E2
2.054946144E1,2.529113764E1,-1.296186803E2
2.105077370E1,2.524292054E1,-1.296000952E2
2.155098732E1,2.520550320E1,-1.295691352E2
2.205199440E1,2.520178905E1,-1.295062956E2
2.255220803E1,2.507218238E1,-1.297649605E2
2.305342873E1,2.535399230E1,-1.294676237E2
2.355489357E1,2.518387848E1,-1.296127157E2
2.405648192E1,2.507886749E1,-1.298596442E2
2.455837401E1,2.548842041E1,-1.302498991E2
2.505989989E1,2.579230982E1,-1.288110495E2
2.606203612E1,2.688082837E1,-1.279804488E2
2.656328734E1,2.604423055E1,-1.279608793E2
2.706484374E1,2.578341968E1,-1.282869623E2
2.756618651E1,2.582831322E1,-1.281679751E2
2.806768187E1,2.582285584E1,-1.281302340E2
2.856914671E1,2.562847963E1,-1.284297899E2
2.907015379E1,2.569455525E1,-1.285327496E2
2.957180174E1,2.568688058E1,-1.284808691E2
3.007378539E1,2.573228948E1,-1.283307632E2
3.057390746E1,2.577665313E1,-1.282447746E2
3.107552489E1,2.576506221E1,-1.283718384E2
3.157552489E1,2.573210664E1,-1.284522144E2
3.207751015E1,2.570868093E1,-1.283472918E2
3.257897500E1,2.571630400E1,-1.283197788E2
3.307903603E1,2.572277768E1,-1.283268050E2
3.357937172E1,2.570776905E1,-1.283862699E2
3.408062294E1,2.572737241E1,-1.284705746E2
3.458150795E1,2.569286179E1,-1.284204584E2
3.508309487E1,2.569413646E1,-1.283673739E2
3.558370522E1,2.571312673E1,-1.283479380E2
3.608565834E1,2.569581149E1,-1.283851432E2
3.658587197E1,2.572176079E1,-1.285168694E2
3.708697060E1,2.568779598E1,-1.284319869E2
3.758748940E1,2.568011446E1,-1.284351602E2
3.808761147E1,2.570687781E1,-1.284102842E2
3.858837441E1,2.571351037E1,-1.284117286E2
3.959179238E1,2.569615406E1,-1.285559756E2
4.009362343E1,2.568762273E1,-1.284819080E2
4.059514931E1,2.570424981E1,-1.284346273E2
4.109688881E1,2.569680008E1,-1.285295220E2
4.159801796E1,2.530730443E1,-1.291616804E2
4.209820107E1,2.523655660E1,-1.290845411E2
4.259928477E1,2.523973071E1,-1.289457234E2
4.310111583E1,2.527540334E1,-1.289598563E2
4.360233653E1,2.529507166E1,-1.289313777E2
4.410337413E1,2.529963199E1,-1.289857213E2
4.460532725E1,2.532218515E1,-1.290025668E2
4.510715831E1,2.530082205E1,-1.288962081E2
4.560798228E1,2.521821227E1,-1.288846642E2
4.610926402E1,2.525799905E1,-1.288410391E2
4.661088145E1,2.529772937E1,-1.289023816E2
4.711182750E1,2.530465243E1,-1.289481815E2
4.761204112E1,2.532536664E1,-1.288202316E2
4.811381114E1,2.534867993E1,-1.287499968E2
4.861573375E1,2.538075615E1,-1.288302995E2
4.911732066E1,2.533698651E1,-1.289221846E2
4.961930430E1,2.534218842E1,-1.290353941E2
5.012098277E1,2.529809607E1,-1.289922780E2
5.062180675E1,2.533586347E1,-1.290051497E2
5.112327159E1,2.532297167E1,-1.289850474E2
5.162525523E1,2.533058366E1,-1.290195901E2
5.212662852E1,2.533817650E1,-1.290946768E2
5.262806285E1,2.535020468E1,-1.289164495E2
5.312916148E1,2.547289921E1,-1.286365705E2
5.363047374E1,2.545459664E1,-1.285837529E2
5.463245738E1,2.544057578E1,-1.288143287E2
5.513352550E1,2.543577562E1,-1.286405360E2
5.563523448E1,2.542588047E1,-1.286209960E2
5.613694346E1,2.541921505E1,-1.286538179E2
5.663889659E1,2.542339087E1,-1.286463973E2
5.714033092E1,2.543294555E1,-1.287856490E2
5.764179576E1,2.542840310E1,-1.288061488E2
5.814313853E1,2.552658413E1,-1.286522920E2
5.864399302E1,2.551270493E1,-1.287278715E2
5.914533580E1,2.550877494E1,-1.287096330E2
5.964680064E1,2.553986759E1,-1.288451614E2
6.014811365E1,2.550108887E1,-1.287586809E2
6.064994395E1,2.550959717E1,-1.286835463E2
6.115125621E1,2.551903967E1,-1.286506285E2
6.165186656E1,2.550586548E1,-1.287382103E2
6.215385020E1,2.552063234E1,-1.288411509E2
6.265522349E1,2.548797542E1,-1.287418531E2
6.315623057E1,2.550608523E1,-1.287074336E2
6.365745128E1,2.552030786E1,-1.286584396E2
6.415922130E1,2.550636337E1,-1.287278664E2
6.466099132E1,2.551959628E1,-1.288552136E2
6.516291392E1,2.548535038E1,-1.287384429E2
6.566321910E1,2.550025939E1,-1.286806831E2
6.616489757E1,2.551455056E1,-1.286424762E2
6.666633189E1,2.551084419E1,-1.287798203E2
6.716779674E1,2.562522014E1,-1.288596476E2
6.766892589E1,2.557382736E1,-1.287734431E2
6.817002452E1,2.557842002E1,-1.287317203E2
6.917133678E1,2.555478148E1,-1.288326929E2
6.967274058E1,2.551570764E1,-1.288535633E2
7.017430107E1,2.547193000E1,-1.286592915E2
7.067631114E1,2.543604765E1,-1.286804843E2
7.117795909E1,2.541914007E1,-1.286034997E2
7.167908824E1,2.547453494E1,-1.285515011E2
7.218079264E1,2.542025094E1,-1.285957382E2
7.268214000E1,2.544607846E1,-1.287306150E2
7.318271983E1,2.543563031E1,-1.287418605E2
7.368357432E1,2.541872999E1,-1.286475114E2
7.418474349E1,2.548660911E1,-1.286090220E2
7.468583262E1,2.541068167E1,-1.286903428E2
7.518720972E1,2.544016006E1,-1.288421935E2
7.568879664E1,2.547959146E1,-1.287932995E2
7.619041407E1,2.548016208E1,-1.287443228E2
7.669190943E1,2.541305023E1,-1.286774419E2
7.719325221E1,2.550635909E1,-1.285317612E2
7.769465601E1,2.657927793E1,-1.307219652E2
7.819605982E1,2.724907608E1,-1.297676827E2
7.869761622E1,2.632433730E1,-1.310465769E2
7.919877589E1,2.720695474E1,-1.293445531E2
7.970051539E1,2.702411257E1,-1.276261997E2
8.020152247E1,2.790440733E1,-1.283395647E2
8.070298731E1,2.673802092E1,-1.284184465E2
8.120405543E1,2.649661464E1,-1.288758218E2
8.170588648E1,2.633770589E1,-1.288367593E2
8.220750392E1,2.636982148E1,-1.284821768E2
8.270939600E1,2.662784905E1,-1.289512413E2
8.321040309E1,2.665268952E1,-1.288780161E2
8.421296656E1,2.657343467E1,-1.289332341E2
8.471430934E1,2.652100334E1,-1.287695695E2
8.521586573E1,2.653385641E1,-1.287211762E2
8.571604884E1,2.652370332E1,-1.287256975E2
8.621726954E1,2.651903070E1,-1.287891279E2
8.671809351E1,2.653451271E1,-1.288156898E2
8.721821559E1,2.650403198E1,-1.287323740E2
8.772010768E1,2.652288316E1,-1.287223126E2
8.822105372E1,2.649275177E1,-1.287210648E2
8.872285426E1,2.648160869E1,-1.287823123E2
8.922355616E1,2.648046444E1,-1.288353518E2
8.972468531E1,2.645636905E1,-1.287221580E2
9.022663844E1,2.647515066E1,-1.286855263E2
9.072798121E1,2.646436197E1,-1.287334695E2
9.122871363E1,2.647713248E1,-1.287888486E2
9.173011744E1,2.647714197E1,-1.288129693E2
9.223158228E1,2.646216500E1,-1.287176902E2
9.273319972E1,2.646633908E1,-1.286998531E2
9.323512232E1,2.645395897E1,-1.287038360E2
9.373701441E1,2.648118306E1,-1.287517964E2
9.423814356E1,2.647784811E1,-1.288208869E2
9.473973048E1,2.645075939E1,-1.287260545E2
9.524095118E1,2.644452088E1,-1.287481496E2
9.574098170E1,2.645261741E1,-1.287113255E2
9.624263632E1,2.645873150E1,-1.287547845E2
9.674467432E1,2.645802923E1,-1.288211566E2
9.724638331E1,2.643561456E1,-1.287233149E2
9.774806178E1,2.644226073E1,-1.287025206E2
9.874959881E1,2.643585697E1,-1.287260573E2
9.925074732E1,2.646671796E1,-1.287441082E2
9.975193751E1,2.633632605E1,-1.288910011E2
1.002525173E2,2.608429773E1,-1.290226380E2
1.007541348E2,2.591585584E1,-1.292391157E2
1.012557827E2,2.591979518E1,-1.292902685E2
1.017571865E2,2.597697150E1,-1.292563355E2
1.022591091E2,2.603078530E1,-1.291486396E2
1.027598416E2,2.602697961E1,-1.291544970E2
1.032614895E2,2.603875680E1,-1.291315058E2
