"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
5.065034230E-1,6.638899245E1,8.961035182E1
1.008029302E0,6.675355737E1,8.961328777E1
1.509494146E0,6.622258328E1,8.960107014E1
2.010836919E0,6.610976539E1,8.960091702E1
2.512057622E0,6.574627069E1,8.959382232E1
3.012118657E0,6.568278808E1,8.959439439E1
3.513278325E0,6.643177525E1,8.960743721E1
4.014560064E0,6.630004320E1,8.960292296E1
4.515353521E0,6.620241820E1,8.960421169E1
5.016909917E0,6.625329700E1,8.960333379E1
5.518679937E0,6.535360235E1,8.958867796E1
6.020083745E0,6.559863735E1,8.959052395E1
6.520236333E0,6.657343513E1,8.960501876E1
7.021579107E0,6.623222468E1,8.960346759E1
7.523166021E0,6.595168463E1,8.959723136E1
8.024356206E0,6.566634660E1,8.959759124E1
8.526065191E0,6.701207001E1,8.960999769E1
9.027163823E0,5.185268628E1,8.940855222E1
9.528079351E0,-8.367998510E-1,8.806432147E1
1.002890332E1,-7.288811431E1,8.823775052E1
1.053024610E1,-1.580343210E2,1.173453575E2
1.103119214E1,-1.528394080E2,1.366055710E2
1.203215798E1,-1.362430572E2,1.304705106E2
1.253319558E1,-1.321306663E2,1.164007114E2
1.303395852E1,-1.427066258E2,1.109065791E2
1.353411110E1,-1.391260202E2,1.087635228E2
1.403603371E1,-1.404208672E2,1.101855300E2
1.453621682E1,-1.399275722E2,1.103013195E2
1.503679665E1,-1.400062420E2,1.103669434E2
1.553716286E1,-1.399922607E2,1.100956687E2
1.603893288E1,-1.401599024E2,1.101066168E2
1.654070290E1,-1.400627142E2,1.099661875E2
1.704137429E1,-1.400439209E2,1.099348884E2
1.754167946E1,-1.402152027E2,1.100619155E2
1.804277810E1,-1.398527751E2,1.098081026E2
1.854418190E1,-1.399372895E2,1.098547237E2
1.904470070E1,-1.400164184E2,1.099321048E2
1.954628762E1,-1.402519881E2,1.100202209E2
2.004763039E1,-1.405128416E2,1.100061022E2
2.054946144E1,-1.403813197E2,1.100002879E2
2.105077370E1,-1.403999048E2,1.099651096E2
2.155098732E1,-1.404308648E2,1.099421880E2
2.205199440E1,-1.404937044E2,1.099557319E2
2.255220803E1,-1.402350394E2,1.097795296E2
2.305342873E1,-1.405323763E2,1.100927993E2
2.355489357E1,-1.403872843E2,1.099126513E2
2.405648192E1,-1.401403558E2,1.097599517E2
2.455837401E1,-1.397501008E2,1.099941409E2
2.505989989E1,-1.411889505E2,1.106343292E2
2.606203612E1,-1.420195512E2,1.117794588E2
2.656328734E1,-1.420391206E2,1.110715329E2
2.706484374E1,-1.417130377E2,1.107649093E2
2.756618651E1,-1.418320249E2,1.108340480E2
2.806768187E1,-1.418697660E2,1.108392765E2
2.856914671E1,-1.415702101E2,1.105965762E2
2.907015379E1,-1.414672504E2,1.106253847E2
2.957180174E1,-1.415191309E2,1.106325173E2
3.007378539E1,-1.416692368E2,1.107101903E2
3.057390746E1,-1.417552254E2,1.107702136E2
3.107552489E1,-1.416281616E2,1.107271512E2
