Time (s),Sound pressure level (dB)
0.0,-72.21046941
1.0,-65.53690507
2.0,-68.122786235
3.0,-68.512381345
4.0,-71.848167845
5.0,-75.49586049499999
6.0,-75.80735788000001
7.0,-74.91231977
8.0,-73.468797665
9.0,-75.269500445
10.0,-60.93581169
11.0,-74.887466175
12.0,-76.31485164
13.0,-73.207712595
14.0,-75.01901297
15.0,-74.619784415
16.0,-73.93098033999999
17.0,-75.410656965
18.0,-75.00176089
19.0,-68.882569785
20.0,-74.87478999999999
21.0,-72.76608341
22.0,-75.25018598
23.0,-74.90521146
24.0,-74.458665335
25.0,-73.04264795
26.0,-72.574361055
27.0,-71.86055551499999
28.0,-66.51156109
29.0,-72.689396725
30.0,-63.104237455
31.0,-72.31861586
32.0,-69.32124605999999
33.0,-73.105738435
34.0,-72.92963583
35.0,-73.168394475
36.0,-72.17967904
37.0,-74.11440753
38.0,-71.91705095
39.0,-73.02546638999999
40.0,-73.837167635
41.0,-71.79492734499999
42.0,-75.30523539500001
43.0,-74.186912235
44.0,-75.213850385
45.0,-75.31605139000001
46.0,-75.632812535
47.0,-75.32435077
48.0,-75.48961247
49.0,-75.25359173
50.0,-75.07992309
51.0,-74.012680165
52.0,-74.859621925
53.0,-75.536304315
54.0,-74.13703475
55.0,-73.346439095
56.0,-74.99581481499999
57.0,-74.87637633
58.0,-70.160186725
59.0,-74.76936141
60.0,-74.495307
61.0,-71.70763307499999
62.0,-73.79638195
63.0,-65.27463746
64.0,-70.0110038
65.0,-72.96728466
66.0,-70.210370805
67.0,-71.614467295
68.0,-74.12878581000001
69.0,-69.0144679
70.0,-68.993520555
71.0,-68.50410119
72.0,-65.06320524
73.0,-72.38629363000001
74.0,-67.58931777000001
75.0,-69.521039355
76.0,-67.248194945
77.0,-63.73177001
78.0,-68.992770945
79.0,-68.007576575
80.0,-65.852518825
81.0,-74.321108165
82.0,-66.216968865
83.0,-71.25842715
84.0,-66.87542726
85.0,-59.4830134
86.0,-74.62717291999999
87.0,-64.053186755
88.0,-67.49848034499999
89.0,-70.07670163
90.0,-65.49341849
91.0,-75.42300446
92.0,-64.789428155
93.0,-70.35264239
94.0,-69.04977995
95.0,-70.67045235
96.0,-71.34107305500001
97.0,-61.971141779999996
98.0,-69.99125795500001
99.0,-69.185301415
100.0,-62.036912865000005
101.0,-66.905316415
102.0,-66.62581890999999
103.0,-61.1690426
104.0,-67.15671037999999
105.0,-74.56966387
106.0,-59.673613829999994
107.0,-71.886547725
108.0,-73.07721947499999
109.0,-71.68530428
110.0,-70.113421975
111.0,-74.695876855
112.0,-75.31094851
113.0,-71.93971872
114.0,-73.81468422
115.0,-74.30269769
116.0,-72.18937033
117.0,-72.29027959
118.0,-72.554099005
119.0,-67.96006737
120.0,-71.504409375
121.0,-70.845177825
122.0,-74.157770975
123.0,-75.13986080000001
124.0,-72.42474122
125.0,-74.53522664
126.0,-72.722434115
