Time (s),Tilt up/down (deg),Tilt left/right (deg)
0.0,6.087375192,-7.192943324
1.0,6.2914108495,-7.282557434
2.0,6.103297676,-7.583083546499999
3.0,5.8817566825,-7.5005782199999995
4.0,5.8335300725,-7.449947782
5.0,5.861522819499999,-7.292428529
6.0,5.8384424015,-7.275137231
7.0,5.8311292525,-7.270047523500001
8.0,5.8276443265,-7.257811975499999
9.0,5.8278767264999995,-7.231428284
10.0,5.84086557,-7.2235005635
11.0,5.8235016645,-7.2254255605
12.0,5.794115295,-7.201895501
13.0,5.815093757,-7.2085162545
14.0,5.8110626765,-7.188213878
15.0,5.8019092785,-7.229906075000001
16.0,5.8297769095,-7.0986553885
17.0,5.821607751,-7.088378017
18.0,5.8096681905,-7.0822247535
19.0,5.791507552000001,-7.058202576999999
20.0,5.7823739540000005,-7.0130517175
21.0,5.79896712,-7.036658534
22.0,5.829606271,-7.025250883
23.0,5.8011689165,-7.0283728175
24.0,5.614614832499999,-6.780194899
25.0,5.194531843,-5.9801863695
26.0,4.961931884,-5.698938338
27.0,6.5405678565,-6.9282762810000005
28.0,6.3676594735,-7.9067015835
29.0,6.6121737685,-8.1213384415
30.0,8.7758761105,-9.4848467885
31.0,6.6355152765,-7.7489321705
32.0,8.0996597795,-8.575139649
33.0,8.2850772695,-8.718525484
34.0,6.489972774,-8.2024027685
35.0,6.2586805860000005,-7.9579376995
36.0,5.8948271575,-7.4994788240000005
37.0,5.8662946935,-7.439982683
38.0,5.898959205500001,-7.599298836
39.0,5.891915845,-7.6113872415
40.0,5.912468033,-7.51650955
41.0,5.8776596735,-7.5891754515
42.0,5.870163252999999,-7.62479116
43.0,5.878513479,-7.5605546035
44.0,5.873123185,-7.504906373
45.0,5.845566594,-7.5097130795
46.0,5.871244337,-7.513178394
47.0,5.8471157055,-7.5281595925
48.0,5.844962303,-7.4833254175
49.0,5.845089905,-7.458374944
50.0,5.8535934335,-7.482209707
51.0,5.840539277,-7.516487475
52.0,5.8549735720000005,-7.532407031
53.0,5.8679869435,-7.454026546
54.0,5.8413021055000005,-7.40374134
55.0,5.814493221999999,-7.41100072
56.0,5.8093118785,-7.4047430075000005
57.0,5.843055871,-7.421604546999999
58.0,5.841354899500001,-7.3839433275
59.0,5.836995459000001,-7.4313365755
60.0,5.8385733129999995,-7.478270572
61.0,5.908521901,-7.600384539
62.0,5.930671549,-7.5299161415
63.0,5.9453814975,-7.5290803495
64.0,5.916447531999999,-7.580893426
65.0,5.9600603015,-7.557088746
66.0,5.98775419,-7.593383467
67.0,5.8847864444999995,-7.649362216
68.0,5.9202893595,-7.6507275935
69.0,5.874510422,-7.7315096335
70.0,5.911382233,-7.704567716
71.0,5.8860080945,-7.7933381345
72.0,5.9020505745000005,-7.7559915185
73.0,5.996018493999999,-7.853497345
74.0,6.003212362499999,-7.802985270000001
75.0,5.954443847,-7.825039035
76.0,5.9620468980000005,-7.6983803680000005
77.0,6.005043137,-7.683290334
78.0,5.963893568,-7.698257921
79.0,5.9681004755,-7.6940413035
80.0,5.9842573485,-7.648232441499999
81.0,5.9900186175000005,-7.6110102575
82.0,5.97755452,-7.677844616
83.0,6.003604514999999,-7.6507097915
84.0,5.979589413999999,-7.6450560745
85.0,5.967820649,-7.657806888
86.0,5.9817893995,-7.6544993235
87.0,6.269058046,-8.045763329
88.0,6.547915189999999,-8.491808774999999
89.0,6.4404164225,-8.037342725999999
90.0,6.27067436,-7.8852519445
91.0,6.261620741,-7.648949241
92.0,6.1403875155000005,-7.5931174734999995
93.0,6.139809165,-7.6040936135
94.0,6.1725217489999995,-7.6151911395
95.0,6.169197298,-7.5373714325000005
96.0,6.140617675,-7.5932203155
97.0,6.181938863,-7.6479540155
98.0,6.207389109,-7.6070572825
99.0,6.245652861,-7.779969144
100.0,6.2555100635,-7.8238666475
101.0,6.1991531855,-7.696313355
102.0,6.202892111,-7.600536432
103.0,6.174486164,-7.716038458
104.0,6.177720676,-7.6860954315
105.0,6.2018191665,-7.5961115725
106.0,6.1727539705000005,-7.6508628605
107.0,6.1622606835,-7.657607123
108.0,6.1554721085,-7.59970706
109.0,6.1815850905000005,-7.5688123765
110.0,6.1995683454999995,-7.840183939499999
111.0,6.262354809,-7.7698670355
112.0,6.217552404,-7.6490807885
113.0,6.1779881375,-7.6755573095
114.0,6.158631804500001,-7.6614049385000005
115.0,6.1764622455,-7.559221565
116.0,6.19303613,-7.5452456990000005
117.0,6.204919729,-7.604880505000001
118.0,6.1982350285,-7.5701046430000005
119.0,6.1954609125,-7.597518832
120.0,6.201749702,-7.611985319
121.0,6.185553443,-7.5701762745
122.0,6.209197627,-7.5280512989999995
123.0,6.1811249625,-7.549677096
124.0,6.1618018235,-7.567521807
125.0,6.191439219499999,-7.566253291500001
126.0,6.160610411,-7.835248141
127.0,6.152305956499999,-7.711480195
128.0,5.827403685,-7.535144346
129.0,5.794747878,-7.144100368
130.0,6.8680751135,-7.3433978875
