Time (s),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY
0,0,0,0,1,817.0,765.0
1,24,0,0,0,966.1666666666666,519.4166666666666
2,14,0,0,0,846.4285714285714,479.85714285714283
3,18,0,0,0,655.8888888888889,374.55555555555554
4,27,0,0,0,631.1851851851852,314.22222222222223
6,2,0,0,0,680.0,319.5
7,44,0,0,0,720.6590909090909,599.1136363636364
8,22,0,0,0,892.5454545454545,1068.909090909091
9,0,0,0,1,901.0,1065.0
10,33,0,0,0,681.2424242424242,1075.2727272727273
11,23,0,0,1,673.2083333333334,1065.6666666666667
12,20,0,0,0,1111.35,936.0
13,48,0,0,0,1050.7916666666667,1069.3541666666667
14,13,0,0,0,910.4615384615385,1065.3076923076924
15,27,0,0,0,908.2962962962963,1025.6296296296296
16,0,0,0,1,922.0,992.0
17,12,0,0,0,1028.8333333333333,734.8333333333334
18,20,0,0,0,1062.75,666.4
19,22,0,0,0,1058.6818181818182,517.5
28,0,1,0,0,,
35,0,1,0,0,,
39,55,0,0,0,1478.8727272727272,465.09090909090907
40,24,0,0,0,1234.875,358.2083333333333
41,17,0,0,0,1018.5294117647059,326.4117647058824
42,32,0,0,0,1249.71875,285.90625
43,56,0,0,0,1182.232142857143,318.64285714285717
44,40,0,0,0,1155.8,331.05
47,19,0,0,0,1209.421052631579,289.5263157894737
48,0,0,23,0,1217.0,277.0
49,17,0,14,0,1156.774193548387,285.1290322580645
50,47,0,0,0,1117.6382978723404,322.9148936170213
51,38,0,0,0,1294.6315789473683,339.2368421052632
52,34,0,0,0,1186.5882352941176,313.88235294117646
54,33,0,0,0,965.3030303030303,320.0
55,23,0,0,0,954.7391304347826,335.3478260869565
56,79,0,0,0,861.8481012658228,405.9873417721519
57,50,0,0,0,442.6,579.56
58,18,0,0,0,387.05555555555554,715.7777777777778
61,0,4,0,0,,
62,0,1,0,0,,
63,0,1,0,0,,
65,0,1,0,0,,
66,0,2,0,0,,
67,0,3,0,0,,
68,0,1,0,0,,
69,0,4,0,0,,
70,0,2,0,0,,
71,0,6,0,0,,
72,0,5,0,0,,
73,0,3,0,0,,
74,0,4,0,0,,
75,0,2,0,0,,
76,0,4,0,0,,
77,0,2,0,0,,
78,0,4,0,0,,
79,0,3,0,0,,
80,0,3,0,0,,
81,0,4,0,0,,
82,0,4,0,0,,
83,0,3,0,0,,
84,0,5,0,0,,
85,0,3,0,0,,
86,0,2,0,0,,
87,0,2,0,0,,
88,0,1,0,0,,
89,0,4,0,0,,
90,0,1,0,0,,
91,0,4,0,0,,
92,0,3,0,0,,
93,0,4,0,0,,
94,0,2,0,0,,
95,0,2,0,0,,
96,0,4,0,0,,
97,0,3,0,0,,
98,0,2,0,0,,
99,0,2,0,0,,
100,0,3,0,0,,
101,0,1,0,0,,
102,0,6,0,0,,
103,0,5,0,0,,
105,0,4,0,0,,
106,0,1,0,0,,
108,0,1,0,0,,
119,0,1,0,0,,
124,0,1,0,0,,
132,0,1,0,0,,
141,0,1,0,0,,
144,0,3,0,0,,
145,0,1,0,0,,
163,45,0,0,0,780.2666666666667,657.3111111111111
164,15,0,0,0,1190.4666666666667,540.4666666666667
165,0,0,33,0,1201.0,481.0
166,0,0,10,0,1201.0,481.0
