Time (s),Inclination (deg),Rotation (deg)
0.0,9.382212869,-49.80120444
1.0,9.581425108,-49.23378018
2.0,9.690280015999999,-51.222103595
3.0,9.4910643505,-51.956885674999995
4.0,9.422066629,-51.998259925
5.0,9.316887037,-51.26205938
6.0,9.2893251095,-51.306063025
7.0,9.2808913955,-51.321597725000004
8.0,9.269321073499999,-51.290909485
9.0,9.249091303,-51.18692626
10.0,9.250985327,-51.092960855
11.0,9.241759688999998,-51.184538205
12.0,9.2055034485,-51.234880395000005
13.0,9.2235179695,-51.158830345
14.0,9.2053789785,-51.0986259
15.0,9.2319925665,-51.30640655
16.0,9.14829876,-50.65238416
17.0,9.1352900945,-50.651166270000004
18.0,9.1231022195,-50.684368735
19.0,9.093367032,-50.676615659999996
20.0,9.053112853,-50.539085555
21.0,9.081545344,-50.553338194999995
22.0,9.092055821,-50.3580535
23.0,9.0765934125,-50.50925494
24.0,8.769942738000001,-50.412478865
25.0,7.897349384,-48.975998520000005
26.0,7.535024695,-48.97740431
27.0,9.484530380999999,-46.667418104999996
28.0,10.1020007675,-51.211303105
29.0,10.422012413000001,-51.01185243
30.0,12.817312170000001,-47.29887096
31.0,10.1523766535,-49.53483101
32.0,11.715311329999999,-46.66765723
33.0,11.941566715,-46.48489458
34.0,10.410110709,-51.802759505
35.0,10.077854642,-51.90484035
36.0,9.4977841585,-51.89262858
37.0,9.434150385,-51.80437938
38.0,9.578207878,-52.24456704
39.0,9.583595277,-52.32286812
40.0,9.5217473285,-51.872802915
41.0,9.5574656855,-52.30847147
42.0,9.5809004865,-52.475216634999995
43.0,9.535582069,-52.19815776
44.0,9.4889097755,-52.016313554999996
45.0,9.4761222505,-52.16594387
46.0,9.494181275,-52.05623306
47.0,9.491359835,-52.22761002
48.0,9.455010099999999,-52.06984054
49.0,9.435604040000001,-51.975337205
50.0,9.4593446715,-52.024292605
51.0,9.478239435,-52.21519667
52.0,9.499781059,-52.200601434999996
53.0,9.446122699,-51.849405725
54.0,9.390758682,-51.78665757
55.0,9.3801499335,-51.943306515
56.0,9.372110362,-51.94438304
