Time (s),Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right
0,304.5,297.0,356.5,291.0,1,0,1,0
1,296.77777777777777,278.8333333333333,351.5,273.22222222222223,2,0,16,0
2,308.7692307692308,271.38461538461536,377.2307692307692,264.7692307692308,2,4,7,0
3,313.3157894736842,276.4736842105263,383.0,270.05263157894734,0,13,6,0
4,333.9166666666667,274.25,402.0,268.25,0,4,8,0
5,321.05,271.85,389.55,266.15,0,18,2,0
6,309.89473684210526,270.2631578947368,379.05263157894734,264.0,0,11,8,0
7,318.2,268.3,386.35,264.55,0,1,19,0
8,315.88235294117646,274.05882352941177,384.05882352941177,268.47058823529414,6,2,9,0
9,306.75,273.7,375.5,267.65,8,12,0,0
10,303.70588235294116,275.05882352941177,372.52941176470586,268.29411764705884,9,5,3,0
11,304.6875,275.5,373.5,268.9375,15,1,0,0
12,304.5882352941176,274.88235294117646,373.52941176470586,268.11764705882354,17,0,0,0
13,300.0,273.5,369.25,266.75,4,0,0,0
14,302.1666666666667,273.3333333333333,370.5,266.0,6,0,0,0
15,301.42857142857144,270.42857142857144,370.85714285714283,264.0,7,0,0,0
16,299.0,269.0,366.8,262.0,5,0,0,0
17,,,,,0,0,0,0
18,,,,,0,0,0,0
19,,,,,0,0,0,0
20,292.0,278.0,361.0,272.0,0,1,0,0
21,284.0,279.0,353.0,272.0,0,1,0,0
22,,,,,0,0,0,0
23,,,,,0,0,0,0
24,,,,,0,0,0,0
25,,,,,0,0,0,0
26,,,,,0,0,0,0
27,,,,,0,0,0,0
28,280.3333333333333,278.0,346.0,268.0,0,3,0,0
29,,,,,0,0,0,0
30,,,,,0,0,0,0
31,,,,,0,0,0,0
32,,,,,0,0,0,0
33,,,,,0,0,0,0
34,,,,,0,0,0,0
35,,,,,0,0,0,0
36,,,,,0,0,0,0
37,,,,,0,0,0,0
38,,,,,0,0,0,0
39,,,,,0,0,0,0
40,284.0,286.0,352.0,280.0,0,1,0,0
41,,,,,0,0,0,0
42,,,,,0,0,0,0
43,,,,,0,0,0,0
44,,,,,0,0,0,0
45,,,,,0,0,0,0
46,,,,,0,0,0,0
47,278.0,299.0,348.0,290.0,0,1,0,0
48,,,,,0,0,0,0
49,,,,,0,0,0,0
50,,,,,0,0,0,0
51,288.0,301.0,360.0,293.0,0,1,0,0
52,,,,,0,0,0,0
53,,,,,0,0,0,0
54,286.3333333333333,298.0,355.0,288.6666666666667,0,3,0,0
55,,,,,0,0,0,0
56,,,,,0,0,0,0
57,,,,,0,0,0,0
58,,,,,0,0,0,0
59,,,,,0,0,0,0
60,323.0,305.3333333333333,391.6666666666667,297.3333333333333,0,1,2,0
61,,,,,0,0,0,0
62,,,,,0,0,0,0
63,,,,,0,0,0,0
64,328.0,294.0,394.0,287.5,0,0,2,0
65,,,,,0,0,0,0
66,,,,,0,0,0,0
67,,,,,0,0,0,0
68,338.0,303.0,403.0,295.0,0,0,1,0
69,,,,,0,0,0,0
70,,,,,0,0,0,0
71,,,,,0,0,0,0
72,,,,,0,0,0,0
73,315.0,296.0,380.0,287.0,0,0,1,0
74,,,,,0,0,0,0
75,,,,,0,0,0,0
76,,,,,0,0,0,0
