"event","experiment time","system time","system time text"
"START",0.000000000E0,1717872402.681,"2024-06-08 20:46:42.681 UTC+02:00"
"PAUSE",1.766353700E3,1717874169.035,"2024-06-08 21:16:09.035 UTC+02:00"
