Time (s),Mouse Move,Key Press,Mouse Scroll,Mouse Click,PositionX,PositionY
885,67,0,0,0,1227.7634095149253,197.89674673507463
886,31,0,0,0,1130.567414314516,95.89566532258064
887,1,0,0,0,1123.15234375,91.828125
888,36,0,0,1,1277.4349662162163,77.92240287162163
889,59,0,0,0,1384.6106329449153,50.04237288135593
890,25,0,0,0,1180.0878125,86.27203125
891,72,0,0,0,1200.3671875,96.15733506944444
892,48,0,0,1,1252.8110650510205,96.57485650510205
893,0,1,0,0,,
895,0,5,0,0,,
896,0,1,0,0,,
897,42,0,0,1,405.96702398255815,310.3908975290698
898,25,0,0,0,781.51453125,208.0884375
899,62,0,0,1,917.7811879960317,268.4996279761905
900,101,0,0,0,1107.6004409034654,122.88563582920793
901,95,0,0,0,1040.720970394737,168.55497532894736
902,95,0,0,1,1102.6079508463542,129.31884765625
903,61,0,0,0,769.850281762295,153.48238985655738
904,91,0,0,0,331.09417925824175,38.115599244505496
905,43,0,0,1,169.74582741477272,46.75736860795455
906,67,0,0,0,547.1524603544776,317.2333838619403
907,81,0,0,1,169.90987042682926,95.79025342987805
908,21,0,0,0,394.0961681547619,116.62760416666667
909,34,0,0,0,809.8578814338235,208.58892463235293
910,0,1,0,0,,
914,0,1,0,0,,
941,0,1,0,0,,
943,0,1,0,0,,
999,0,1,0,0,,
1000,0,1,0,0,,
1036,0,1,0,0,,
1038,0,1,0,0,,
1040,35,0,0,0,808.43046875,297.9702008928571
1041,43,0,0,0,883.448855377907,556.5477834302326
1042,16,0,0,0,1032.881103515625,290.99267578125
1043,22,0,0,0,1104.4138849431818,341.1170099431818
1045,4,0,0,0,1025.1396484375,657.646484375
1046,112,0,0,0,1265.8323451450892,807.297607421875
1047,13,0,0,0,1017.3858173076923,706.5694110576923
1049,48,0,0,0,1014.38818359375,538.475341796875
1050,41,0,0,0,961.7334222560976,629.204649390244
1060,38,0,0,0,1078.5697985197369,686.8760279605264
1061,95,0,0,1,1290.9184163411458,640.1147867838541
1062,33,0,0,0,1338.9917140151515,594.9741950757576
1063,50,0,0,1,1159.9664522058824,642.5466452205883
1064,6,0,0,1,893.9821428571429,694.3828125
1079,0,0,2,0,894.5234375,694.3828125
1086,62,0,0,0,1082.7708543346773,319.63022933467744
1087,7,0,0,0,1101.1768973214287,274.62276785714283
1089,0,1,0,0,,
1090,0,1,0,0,,
1109,0,1,0,0,,
1110,0,1,0,0,,
1134,0,1,0,0,,
1135,0,1,0,0,,
1136,0,1,0,0,,
1195,0,1,0,0,,
1215,0,1,0,0,,
1298,0,1,0,0,,
1307,0,1,0,0,,
1309,0,1,0,0,,
1310,0,1,0,0,,
1311,0,1,0,0,,
1313,0,1,0,0,,
1314,0,1,0,0,,
1317,0,1,0,0,,
1319,0,1,0,0,,
1320,0,2,0,0,,
1321,0,1,0,0,,
1322,0,2,0,0,,
1325,0,1,0,0,,
1327,0,1,0,0,,
1328,0,1,0,0,,
1330,0,1,0,0,,
1331,0,1,0,0,,
1333,0,1,0,0,,
1334,0,1,0,0,,
1337,0,1,0,0,,
1344,0,1,0,0,,
1346,0,1,0,0,,
1347,0,1,0,0,,
1348,52,0,0,0,1123.093524639423,666.9708533653846
1349,80,0,0,0,1165.516162109375,858.69736328125
1350,89,0,0,0,1275.9597963483145,872.7086990870787
1351,69,0,0,0,950.3872282608696,885.1820086050725
1352,79,0,0,1,145.261962890625,883.90224609375
1353,50,0,0,0,149.59921875,883.210234375
1354,42,0,0,1,108.0188953488372,878.3036882267442
1356,50,0,0,0,557.018046875,546.1571875
1357,56,0,0,1,1202.1109512061403,131.1805783991228
1358,3,0,0,1,1373.515625,44.49609375
1359,45,0,0,0,740.1065972222223,280.4170138888889
1360,2,1,0,1,242.49609375,392.0130208333333
1367,27,0,0,0,619.0620659722222,467.04152199074076
1368,87,0,0,0,786.3487787356322,353.58571300287355
1369,79,0,0,1,1304.096484375,856.212646484375
1370,22,0,0,0,1234.8737571022727,708.3526278409091
1372,0,0,0,1,1223.9296875,513.53515625
1373,53,0,0,1,380.453197337963,806.673828125
1374,41,0,0,0,907.4215891768292,678.2633384146342
1375,69,0,0,0,1202.9930932971015,639.0294384057971
1376,76,0,0,0,199.70456414473685,855.2329872532895
1377,50,0,0,1,158.8350949754902,892.4072457107843
1378,39,0,0,0,844.9973958333334,501.1630608974359
1379,62,0,0,1,1015.3053075396825,200.55598958333334
1380,21,0,32,0,312.71462264150944,386.8813384433962
1381,5,0,33,0,177.1096833881579,447.8578330592105
1382,56,0,0,1,336.026795504386,320.0649671052632
1383,0,0,9,0,364.7734375,322.19140625
1384,22,0,44,0,371.22709517045456,307.9692234848485
1385,76,0,0,0,1008.0472861842105,335.2678865131579
1386,59,0,0,1,1201.3905598958333,167.7052734375
1387,41,0,0,1,1199.3319382440477,92.57459077380952
1388,9,2,0,0,752.08984375,32.48133680555556
1389,11,1,0,0,586.4357244318181,68.9375
1390,7,0,0,0,187.27511160714286,174.34319196428572
1391,20,0,0,0,175.4423828125,207.610546875
1392,24,0,0,0,526.6149088541666,169.40364583333334
1395,14,0,2,0,910.159423828125,188.951904296875
