Time (s),Inclination (deg),Rotation (deg)
95.0,26.448569145,-128.72973754999998
96.0,26.458380365,-128.78797055
97.0,26.438937645000003,-128.71291775
98.0,26.43585697,-128.7260573
99.0,26.401522005,-128.81755465
100.0,26.000076784999997,-129.13087685
101.0,25.94838334,-129.273302
102.0,26.028882455,-129.1515683
103.0,26.032116955,-129.1460217
104.0,26.028254575,-129.1905751
105.0,26.03713672,-129.0731488
106.0,26.049799155000002,-129.1346934
107.0,26.06542984,-129.05789744999998
108.0,26.07794514,-129.06620045
109.0,26.08395596,-129.14041535
110.0,26.092052395,-129.0543529
111.0,26.11191688,-129.0370485
112.0,26.107958085,-129.06115540000002
113.0,26.156186910000002,-128.9782841
114.0,26.174323275,-128.9659474
115.0,26.18645153,-128.92366975
116.0,26.20213277,-128.9906021
117.0,26.18195828,-128.9403562
118.0,26.190931775000003,-128.93686585
119.0,26.19881676,-129.0203349
120.0,26.63834615,-128.7708346
121.0,28.738397705,-132.5470553
122.0,28.90193566,-131.93030145
123.0,27.020593255,-129.82021785
124.0,26.934200564999998,-128.58243265
125.0,25.38085581,-125.4697233
126.0,25.34979015,-122.4443862
127.0,25.156556405,-121.70283945
128.0,25.01321012,-123.71049535
129.0,24.933032134999998,-122.6618179
130.0,24.992316119999998,-122.9993094
131.0,25.05120334,-123.24986165
132.0,25.953854975,-123.9688128
133.0,30.3909085,-136.59029214999998
134.0,34.27647333,-136.86706494999999
135.0,38.273322455,-128.21100715
136.0,44.8531578,-98.17753777499999
137.0,37.409559290000004,-9.836692098
138.0,25.49603622,-0.6826016452999999
139.0,28.98217489,-2.718662163
140.0,30.071646175,-1.9270712228
141.0,16.644421610000002,-12.089813914995
142.0,15.438114705,4.320161959
143.0,12.593020145,12.52908682
144.0,19.93476579,13.01490627
145.0,13.608859415000001,-56.35675509
146.0,17.38504238,5.477569361
147.0,15.45670582,5.452977644500001
148.0,33.808609615,-109.6524384
149.0,52.46477605,-126.21848419999999
150.0,36.853523785,-122.252029
151.0,29.8091097,-119.68017325
152.0,29.10421524,-122.1019969
153.0,24.40400484,-116.34047394999999
154.0,26.42900473,-116.278622
155.0,27.213910140000003,-117.13466690000001
156.0,26.098608735,-117.04400265000001
157.0,26.14494512,-116.6652856
158.0,26.15713491,-116.540207
159.0,26.18706366,-116.4760153
160.0,26.197171885,-116.39171015
161.0,26.203424974999997,-116.3677284
162.0,26.18716181,-116.41423069999999
163.0,26.201279094999997,-116.35086555000001
164.0,26.17233694,-116.4696713
165.0,26.157080085,-116.21142789999999
166.0,26.15299396,-116.1016612
167.0,26.142836109999998,-116.14943465
168.0,26.156013425,-116.07708325
169.0,26.14908782,-116.1374326
170.0,26.159124,-116.0502813
171.0,26.162213075,-116.05959245
172.0,26.06065296,-116.138405
173.0,26.02100437,-116.14907425
174.0,26.05892983,-116.18684354999999
175.0,26.071634025,-116.09692494999999
176.0,26.0867534,-116.0913176
177.0,26.09669125,-116.1074257
178.0,26.14048013,-115.99655965
179.0,26.116584375,-116.0760279
180.0,26.088046445,-116.03213554999999
181.0,26.10669896,-115.9946697
182.0,26.07480183,-116.1001033
183.0,26.089687570000002,-116.00092985
184.0,26.0933426,-116.04262299999999
185.0,26.069661529999998,-116.07794480000001
186.0,26.103354965,-116.01167135
187.0,26.113371700000002,-116.0112029
188.0,26.11696597,-116.1173117
189.0,26.10954264,-115.97483545
190.0,26.11928535,-115.9854014
191.0,26.07008014,-116.15248795
192.0,26.0802281,-116.04151535
193.0,26.10485724,-115.9405702
194.0,26.065451265,-116.0098643
195.0,26.041808155,-116.01967495
196.0,25.95482398,-116.21778305000001
197.0,25.98842267,-116.0481262
198.0,26.038142405000002,-116.00597765
199.0,26.017674755,-116.0829412
200.0,26.03408262,-115.9606024
201.0,26.034994060000002,-116.06148475
202.0,26.045172864999998,-115.93891135
203.0,26.052607625,-115.96375255
204.0,26.042672709999998,-115.96844444999999
205.0,26.06165415,-115.93301629999999
206.0,26.05099235,-116.0889882
207.0,26.062432445,-115.89758739999999
208.0,26.041205755,-116.01249125000001
209.0,26.05558508,-115.92107775
210.0,26.060203225000002,-115.9824096
211.0,26.055417759999997,-115.93586595
212.0,26.05009266,-115.8818621
213.0,26.04302147,-115.9554744
214.0,26.059892644999998,-115.87462435
215.0,26.05382697,-115.9552043
216.0,26.049277365000002,-115.8633183
217.0,26.046206935,-115.8759534
218.0,26.06000389,-115.971657
219.0,26.05728938,-115.85378979999999
220.0,26.061212225,-115.93579955
221.0,26.05862639,-115.8578505
222.0,26.074585675,-115.83864355
223.0,26.067624119999998,-115.92286695000001
224.0,26.05913881,-115.85002875
225.0,26.0803327,-115.9423836
226.0,26.068178005,-115.9261633
227.0,26.029347355,-115.8115119
228.0,26.40045646,-115.95849165
229.0,26.100680009999998,-116.00282874999999
230.0,26.352219965,-116.0341319
231.0,26.70970787,-116.0462373
232.0,28.58617366,-117.89571225
233.0,35.574356135,-126.736657
234.0,34.77263549,-117.76250015
235.0,42.65747949,-116.2767145
236.0,45.951241055,-119.4644605
237.0,37.01436782,-117.5253664
238.0,37.734384085,-117.68279465
239.0,37.27972417,-117.68687555
240.0,37.17761599000001,-117.60824059999999
241.0,37.07216461,-117.41539845
242.0,36.92622901,-117.3347162
243.0,36.87397641,-117.312228
244.0,36.843291144999995,-117.2985471
245.0,36.574697220000004,-117.1884975
246.0,36.432404610000006,-117.2015052
247.0,36.408585145,-116.99129145
248.0,36.21856588,-116.7390255
249.0,35.94175835,-116.2941919
250.0,36.403315825,-119.41404539999999
251.0,36.7869779,-123.9398429
252.0,38.019375625,-126.8702323
253.0,37.92348393,-126.66230685
254.0,37.87946703,-126.47570195
255.0,37.828061765,-126.3339035
256.0,37.84982599,-120.1443325
257.0,34.97354456,-130.5021013
258.0,36.48731988,-115.94380005
259.0,36.645079965,-116.1306337
260.0,36.53037788,-117.61472215
261.0,34.25669147,-118.43118295
262.0,33.81092733,-119.1907194
263.0,34.48315226,-118.22804395
264.0,34.282876599999994,-119.0088882
265.0,34.609924434999996,-118.09238275
266.0,34.54245348,-119.13710555
267.0,34.945196179999996,-119.57058415
268.0,36.44429262,-116.5657537
269.0,33.91048902,-117.3834428
270.0,33.355167675000004,-117.34613765
271.0,33.505317335,-117.5825687
272.0,33.615717384999996,-117.94702935000001
273.0,33.480794315,-117.70833395
274.0,33.557860070000004,-117.84585675
275.0,33.59587736,-117.9867615
276.0,33.47598251,-117.68627964999999
277.0,33.636320825,-117.87861965
278.0,33.678916595000004,-117.8570802
279.0,33.796717845,-117.8860401
280.0,33.88581257,-118.3408065
281.0,33.90236381,-118.30031535
282.0,33.90111707,-118.3487762
283.0,33.89711674,-118.3445855
284.0,33.893434459999995,-118.3491477
285.0,34.015335955,-118.60286575
286.0,39.57995527,-120.47751235000001
