Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Sound pressure level (dB),Attitude x (m/s^2),Attitude y (m/s^2),Attitude z (m/s^2),Absolute Attitude (m/s^2),Tilt up/down (deg)_x,Tilt left/right (deg)_x,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Blinking,Looking Center,Looking Left,Looking Right,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2),Event,PositionX,PositionY,Inclination (deg),Rotation (deg),Tilt up/down (deg)_y,Tilt left/right (deg)_y,Tilt up/down (deg),Tilt left/right (deg),isDistracted
14.0,-3.3215673325,-2.7700994525,9.006699617999999,9.991392699,-39.75567203,-3.3199233909999997,-2.768101881,9.0060330865,9.989704615,-17.09577144,-20.24342472,300.0,204.6,398.26666666666665,207.06666666666663,16.0,16.0,16.0,16.0,-0.009558092589,0.0041832412385,0.013841381384,0.0192041857075,-0.09295454852,-0.03033123899,0.15924770555,0.1932253303,28.0,1070.113002232143,878.6170479910714,25.6507618,-129.82578030000002,-140.17421969999998,110.24342475,107.09577145,-129.82578030000002,0
15.0,-3.320013711,-2.7858920935,9.0083652075,9.996755427499998,-47.25638757,-3.319431853,-2.7852673105,9.008522596,9.996529393,-17.18461489,-20.231306095,301.1333333333333,209.6,402.73333333333335,211.2,15.0,15.0,15.0,15.0,0.006738540362,-0.005595821444,-0.0021729697259,0.0093106699515,-0.059769170625,-0.056809707295,0.1689764053,0.18809942995,14.0,794.5426897321429,580.5161830357143,25.692656605,-130.00074865,-139.99925135,110.23130605,107.1846149,-130.00074865,0
16.0,-3.2922885595,-2.751664511,9.0276415805,9.995463544,-43.827361465,-3.2921222940000003,-2.7513462339999997,9.027617827,9.9953003755,-16.95146211,-20.0364022,313.0,209.1428571428571,416.42857142857144,212.57142857142856,15.0,15.0,15.0,15.0,0.0008993452876499,0.0002398958685,-0.00097543560505,0.0024524937475,-0.0525250378149999,-0.05434096995,0.17376861875,0.1896436916,87.0,269.5727370689655,140.58212104885058,25.42146365,-129.8886917,-140.1113083,110.03640215,106.9514621,-129.8886917,0
17.0,-3.2872007415000004,-2.745629451,9.032288103,9.9963249095,-43.212557775,-3.2875584425,-2.7454672945,9.0320114825,9.9961482025,-16.908192225,-19.998401945,332.0,197.5,440.5,200.5,16.0,16.0,16.0,16.0,-0.0013347636337,0.0011650003804999,-0.004471139847,0.005878289005,-0.047672357855,-0.036488594335,0.17945015255,0.18951619625,22.0,188.66281960227272,125.24378551136364,25.3697979,-129.87043820000002,-140.12956179999998,109.99840195,106.90819225,-129.87043820000002,0
18.0,-3.260387575,-2.745982375,9.0405199465,9.995076962,-40.287994285,-3.260048951,-2.746354382,9.04090626,9.995418812,-16.89571971,-19.83141314,343.0,203.0,442.0,203.0,17.0,17.0,17.0,17.0,-0.0034302788625,0.0038546870235,0.002461567267,0.0057263881375,-0.035234419275,-0.034667001065,0.1850948963,0.19161357465,1.0,0.0,0.0,25.244336315,-130.1049677,-139.8950323,109.83141315,106.8957197,-130.1049677,0
19.0,-3.282569693,-2.7413227485,9.0304757535,9.99198132,-41.2556884,-3.2803901115,-2.740907817,9.0310289965,9.9916506865,-16.88636033,-19.976162825000003,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.00506849433605,-9.549183185e-05,0.0001167122395,0.0063337497775,-0.04190784409,-0.037139714715,0.17792720645,0.18653945515,1.0,0.0,0.0,25.341565035,-129.86579675000002,-140.13420324999998,109.97616285,106.88636035,-129.86579675000002,0
20.0,-3.290634669,-2.717700306,9.0393753015,9.9962248175,-44.60253249,-3.2929477925,-2.7178624625000003,9.038826828,9.996534100000002,-16.73348619,-20.003195055,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,-0.002209044426,-0.001230783628,-0.0011034611855,0.011359605895,-0.08065411262,-0.046517703685,0.1668594554,0.19118796465,1.0,0.0,0.0,25.273661214999997,-129.55291935,-140.44708065,110.00319505,106.73348615,-129.55291935,0
21.0,-3.281687383,-2.713364986,9.039108238,9.991862256,-44.021113665,-3.2815824565,-2.713217137,9.0391082385,9.9917876505,-16.708738805,-19.953648815,-1.0,-1.0,-1.0,-1.0,16.0,16.0,16.0,16.0,0.001597896681,-0.00096234547985,-0.00140797402935,0.0030014024625,-0.07360212765,-0.049968038285,0.16359946085,0.1862276508999999,1.0,0.0,0.0,25.22421187,-129.5846152,-140.4153848,109.9536488,106.7087388,-129.5846152,0
22.0,-3.268504945,-2.7073365635,9.045103263,9.99134167,-48.23698648,-3.269191729,-2.7075130285,9.0450555695,9.9915699085,-16.66324053,-19.867630775,330.0,187.0,436.0,194.0,15.0,15.0,15.0,15.0,-0.0023045362568,-0.0002779873332999,0.00194591136785,0.0037791192925,-0.083269991465,-0.04740944631,0.16123375995,0.1876232696499999,0.0,0.0,0.0,25.136985715,-129.63562804999998,-140.3643719,109.86763075,106.6632405,-129.63562804999998,0
23.0,-3.2892523605,-2.715302257,9.035805603,9.991900696,-41.74747602,-3.288367794,-2.7150502359999997,9.0359892315,9.991706489,-16.725782125000002,-20.00272531,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.0022401061074999,-0.00054975459305,-0.0047984968515,0.005395621359,-0.0545525859399999,-0.053785860205,0.1691310666,0.1857708632,0.0,0.0,0.0,25.268935390000003,-129.54016969999998,-140.45983030000002,110.0027253,106.7257821,-129.54016969999998,0
24.0,-3.2653715515,-2.745443484,9.0318350205,9.9887757355,-44.21606201,-3.2661012595,-2.74717475,9.031176854,9.9888966285,-16.90798351,-19.877046285,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.000220692238,0.0041793591965,-0.015300974834,0.0212586256184999,-0.064467938855,-0.058492359555,0.1637114070499999,0.1857935331,0.0,0.0,0.0,25.28364395,-130.05477165,-139.9452283,109.8770463,106.9079835,-130.05477165,0
25.0,-3.570708596,-2.7817094425,8.900172997,9.987340032,-36.98676877,-3.5763125525,-2.7803883385,8.8981794175,9.987293053,-16.85056313,-20.63432918,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,-0.016617701055,0.05093216096,0.023800809015,0.06002576906,-0.074780053565,-0.047830727365,0.1571438728999999,0.18426587505,0.0,0.0,0.0,25.79230982,-128.8110495,-141.1889505,110.6343292,106.8505631,-128.8110495,0
26.0,-3.5095419760000004,-2.7390764415,8.943740829500001,9.9907579945,-44.781979975,-3.5042003325,-2.738480276,8.9459061055,9.990632287,-17.028079055,-21.42549588,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.019434710175,-0.036257188145,-0.01255929819,0.04489920787,-0.037867786705,-0.03873971611,0.17734277035,0.186616228,0.0,0.0,0.0,26.46252946,-127.97066405,-142.02933589999998,111.42549585,107.02807905,-127.97066405,0
27.0,-3.416106137,-2.690858558,8.9932082925,9.9894109945,-45.886001525,-3.416134753,-2.690963483,8.993222601500001,9.9894617955,-16.657712085,-20.79947863,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.00069284630825,0.0005952324264,-0.001760232792,0.0020406189065,-0.059127864385,-0.045154177955,0.16912050855,0.18477901675,0.0,0.0,0.0,25.80586645,-128.2274687,-141.7725313,110.79947865,106.65771205,-128.2274687,0
28.0,-3.4036152875,-2.6860320045,8.9988790265,9.9889741335,-45.547464615,-3.4033958990000004,-2.6860415435,8.998879024,9.9889018525,-16.619592859999997,-20.717926335,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.0021082474784999,-0.0011416579193,-0.007862160945,0.0085238123685,-0.05931186487,-0.04632607717,0.1675870153999999,0.1837263959,0.0,0.0,0.0,25.725667735,-128.28001195000002,-141.71998804999998,110.71792635,106.61959285,-128.28001195000002,0
29.0,-3.3894027094999997,-2.696710515,9.0035434,9.9912009475,-48.281093575,-3.3896220985000003,-2.696968059,9.0034909365,9.991297562,-16.67383059,-20.628950995,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,-0.0001909836684999,0.0018270770811,0.00344513312465,0.004587629337,-0.0511377728149999,-0.05056183868,0.1693816185,0.1841735724,0.0,0.0,0.0,25.690717915,-128.50680935,-141.49319065,110.628951,106.6738306,-128.50680935,0
30.0,-3.4071544105,-2.6896243340000003,8.997674181499999,9.990042366,-49.17311603,-3.406972985,-2.6894450835,8.9976925735,9.989948606,-16.64268865,-20.740201990000003,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.000222640272,0.0008628642209999,0.0025694178595,0.008732083912,-0.046865453645,-0.054454701565,0.16968808635,0.18449309335,0.0,0.0,0.0,25.754471305,-128.2877689,-141.7122311,110.74020195,106.6426886,-128.2877689,0
31.0,-3.4012495325,-2.6969573945,8.9998686455,9.9919833235,-47.726046915,-3.401316475,-2.696929904,8.9999425705,9.992065325,-16.68170171,-20.702687365,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.0016509477029,-0.0016382154528499,-0.0011331697525,0.006279803355,-0.067398213205,-0.063729740325,0.16087417755,0.1857038798499999,0.0,0.0,0.0,25.748584425,-128.4120264,-141.5879736,110.70268735,106.6817017,-128.4120264,0
32.0,-3.39987614,-2.688292663,9.000967962499999,9.990170218,-49.17811064,-3.399921658,-2.688230376,9.000907335499999,9.990114314,-16.629152915,-20.692722955,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,-0.0004628807486,0.0005469899529,0.0025896791053449,0.00304529357415,-0.05784305883,-0.060794009105,0.16297811175,0.18332733095,0.0,0.0,0.0,25.712492465,-128.3335353,-141.6664647,110.69272295,106.6291529,-128.3335353,0
33.0,-3.399375361,-2.6901151729999997,9.001384094999999,9.990865572,-49.61564632,-3.39937538,-2.690277998,9.001331536,9.9908620855,-16.639075665,-20.68905938,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.00089608263525,0.0003431424746,-0.0043464232735,0.0045546464315,-0.059218552375,-0.057202715725,0.1651848233,0.1845690865,0.0,0.0,0.0,25.715273365,-128.35653745000002,-141.6434625,110.6890594,106.6390757,-128.35653745000002,0
34.0,-3.394257879,-2.6946501685,9.0009775105,9.989981725,-48.20046937,-3.394152954,-2.6944307795,9.001115821500001,9.9900115075,-16.66628508,-20.661400575,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.0001697632599499,0.000367113050504,0.0029899554099,0.0031229890477499,-0.05669846616,-0.05905234066,0.16444346155,0.1837290589,0.0,0.0,0.0,25.7101171,-128.4455165,-141.55448345000002,110.6614006,106.66628505,-128.4455165,0
35.0,-3.3977251755,-2.6889174445000004,9.001831201,9.990384459,-48.87869861,-3.397729945,-2.6890462155000003,9.001850278,9.9904378995,-16.631297705,-20.678926195,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,-0.0001114071393,0.0005082287575,0.000570828961,0.002127537367,-0.054129399425,-0.0587089164399999,0.1657862821,0.1840325342,0.0,0.0,0.0,25.703631594999997,-128.35765594999998,-141.64234405000002,110.6789262,106.6312977,-128.35765594999998,0
36.0,-3.3938568365,-2.6948635665,9.00114047,9.990050729,-49.332840265,-3.3939430275,-2.6949544515,9.001068855,9.990040008,-16.667243040000002,-20.65882109,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.00074214979945,1.1153444350000012e-05,-0.0023943707151,0.003043041819,-0.05529403695,-0.056649232665,0.1650273518,0.18304968045,0.0,0.0,0.0,25.70878614,-128.4510063,-141.5489937,110.65882105,106.66724305,-128.4510063,0
37.0,-3.3912293594999996,-2.691092255,9.001969556,9.9888873475,-50.16328122,-3.3912818225,-2.690996868,9.001869399499999,9.9887891945,-16.64376342,-20.64243678,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,0.00020795999339,0.00053899834835,0.0026525509298,0.003313431957,-0.052509330595,-0.060032043575,0.1646253986999999,0.1829280213,0.0,0.0,0.0,25.68395522,-128.43357355,-141.56642645,110.6424368,106.6437634,-128.43357355,0
38.0,-3.3954069034999996,-2.692228517,8.999688765,9.988557485,-46.94186745,-3.3953683865,-2.692185593,8.999736687,9.9885760075,-16.65438762,-20.670512,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,6.018531974999999e-05,0.0005682782685,-0.0014869521497,0.001698233561,-0.052373842585,-0.05693512493,0.1663555418,0.18346608485,0.0,0.0,0.0,25.71019409,-128.41100640000002,-141.58899359999998,110.670512,106.6543876,-128.41100640000002,0
39.0,-3.387890835,-2.7004925875000003,9.001602287,9.9899604195,-46.47266134,-3.3879289889999997,-2.7004878175,9.001640439500001,9.9900064395,-16.6946373,-20.62063373,-1.0,-1.0,-1.0,-1.0,16.0,16.0,16.0,16.0,0.00036923509035,-0.00055915773735,0.000497618553,0.004138284216,-0.0552118273949999,-0.05717172988,0.16525136455,0.18337809245,0.0,0.0,0.0,25.69615406,-128.5559756,-141.4440243,110.6206337,106.6946373,-128.5559756,0
40.0,-3.3917730625,-2.6939061544999996,9.001673833000002,9.9895641535,-47.5559243,-3.392035375,-2.6940826195,9.0017501445,9.989769558,-16.66071926,-20.646087325,-1.0,-1.0,-1.0,-1.0,15.0,15.0,15.0,15.0,-0.00085730446255,0.0012413938335,0.00203609809755,0.0026501059985,-0.05178684469,-0.05532558002,0.1674811044999999,0.18383914435,0.0,0.0,0.0,25.69593627,-128.45826764999998,-141.54173235000002,110.6460873,106.66071925,-128.45826764999998,0
