Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute Linear acceleration (m/s^2)
0.0,0.004965041939,0.007779915584,0.187271893,0.1874991751
1.0,0.02290467291,0.01624157327,0.19290273905,0.19495109395
2.0,0.022007802265,0.010275050171,0.19739333409999998,0.198886361
3.0,0.01810171161,0.0055319592965,0.19917765269999999,0.20007903435000002
4.0,0.018138381095,-0.0005399203170000002,0.19907675445,0.1999251534
5.0,0.01996444088,-0.000499485298055,0.2009762995,0.20196694045000002
6.0,0.014816276315,-0.001931223486,0.19992636875,0.20049057835
7.0,0.011569676035,-0.0050298297215,0.2020828535,0.20248281345
8.0,0.0084304570975,-0.0035157857075,0.20323811635,0.20346536604999998
9.0,-0.02473984052,0.020989614505000004,0.21328582465,0.25603434225
10.0,-0.10991417931,-0.2031600595635,-0.02320280175,0.4923290276
11.0,-0.22939849656,-0.38831436446999995,0.05608763580000001,0.61463922825
12.0,0.035116415175,-0.09981150665,0.2301561757,0.3873882387
13.0,-0.07187218502500001,-0.008414212035,0.2005106703,0.233847837
14.0,-0.09295454852,-0.030331238990000002,0.15924770555,0.1932253303
15.0,-0.05976917062500001,-0.056809707295,0.16897640530000002,0.18809942995
16.0,-0.052525037814999995,-0.05434096995,0.17376861875,0.1896436916
17.0,-0.047672357855,-0.036488594335,0.17945015255,0.18951619625
18.0,-0.035234419275,-0.034667001065,0.1850948963,0.19161357465
19.0,-0.04190784409,-0.037139714715,0.17792720645,0.18653945515
20.0,-0.08065411262,-0.046517703685,0.1668594554,0.19118796465
21.0,-0.07360212765,-0.049968038285,0.16359946085,0.18622765089999999
22.0,-0.083269991465,-0.04740944631,0.16123375995,0.18762326964999998
23.0,-0.054552585939999995,-0.053785860205,0.1691310666,0.1857708632
24.0,-0.064467938855,-0.058492359555,0.16371140704999998,0.18579353310000002
25.0,-0.074780053565,-0.047830727365,0.15714387289999998,0.18426587505
26.0,-0.037867786705,-0.03873971611,0.17734277035,0.186616228
27.0,-0.059127864385000006,-0.045154177955,0.16912050855,0.18477901675
28.0,-0.05931186487,-0.04632607717,0.16758701539999998,0.1837263959
29.0,-0.051137772814999996,-0.05056183868,0.1693816185,0.1841735724
30.0,-0.046865453645,-0.054454701565,0.16968808635,0.18449309335
31.0,-0.067398213205,-0.063729740325,0.16087417755,0.18570387984999998
32.0,-0.05784305883,-0.060794009105,0.16297811175,0.18332733095
33.0,-0.059218552375,-0.057202715725,0.1651848233,0.1845690865
34.0,-0.05669846616,-0.05905234066,0.16444346155,0.1837290589
35.0,-0.054129399425,-0.058708916439999995,0.16578628210000002,0.1840325342
