Time (s),Tilt up/down (deg),Tilt left/right (deg)
0.0,0.8913444128,0.3896481724
1.0,0.9027957654000001,0.39282104134999996
2.0,0.90120090145,0.40263032525
3.0,0.89869010265,0.3990841941
4.0,0.90096180355,0.39643267055
5.0,0.89900100445,0.40399411985
6.0,0.90704702895,0.40222863985
7.0,0.90144753885,0.399650524
8.0,0.90452366915,0.3962055285
9.0,0.36236002846,1.2635631479
10.0,-8.744330798,-12.7915540085
11.0,-28.4865822,-46.60557105
12.0,-34.00272952,-33.43561099
13.0,-16.302437695,-19.835050940000002
14.0,-17.09577144,-20.24342472
15.0,-17.18461489,-20.231306095
16.0,-16.95146211,-20.0364022
17.0,-16.908192225,-19.998401945
18.0,-16.89571971,-19.831413140000002
19.0,-16.88636033,-19.976162825000003
20.0,-16.73348619,-20.003195055
21.0,-16.708738805,-19.953648815
22.0,-16.66324053,-19.867630775000002
23.0,-16.725782125000002,-20.00272531
24.0,-16.90798351,-19.877046285
25.0,-16.85056313,-20.63432918
26.0,-17.028079055,-21.42549588
27.0,-16.657712085,-20.79947863
28.0,-16.619592859999997,-20.717926335
29.0,-16.67383059,-20.628950995
30.0,-16.64268865,-20.740201990000003
31.0,-16.68170171,-20.702687365
32.0,-16.629152915,-20.692722955
33.0,-16.639075665,-20.68905938
34.0,-16.66628508,-20.661400575000002
35.0,-16.631297705,-20.678926195
36.0,-16.667243040000002,-20.65882109
37.0,-16.64376342,-20.64243678
38.0,-16.65438762,-20.670512000000002
39.0,-16.6946373,-20.62063373
40.0,-16.66071926,-20.646087325
41.0,-16.656115370000002,-20.381421585
42.0,-16.527941339999998,-20.115287505
43.0,-16.53780819,-20.172942595
44.0,-16.572344594999997,-20.181744535
45.0,-16.501026825,-20.165801055000003
46.0,-16.50764517,-20.186066935
47.0,-16.53806006,-20.213960745
48.0,-16.541272059999997,-20.280269644999997
49.0,-16.587432839999998,-20.209792710000002
50.0,-16.578183625,-20.18563339
51.0,-16.586330585,-20.192895720000003
52.0,-16.599718285,-20.206614584999997
53.0,-16.549681659999997,-20.41056442
54.0,-16.60300479,-20.33767266
