Time (s),Sound pressure level (dB)
200.0,-45.067369725
201.0,-46.034143889999996
202.0,-44.62794533
203.0,-43.48013138
204.0,-46.911419735
205.0,-46.300785205
206.0,-44.45036079
207.0,-41.06749208
208.0,-36.96789071
209.0,-47.99884919
210.0,-46.9270789
211.0,-50.13059858
212.0,-49.268634875000004
213.0,-49.44406762
214.0,-47.04901299
215.0,-48.934395165
216.0,-50.02890379
217.0,-46.97810643
218.0,-49.708591459999994
219.0,-43.84156071
220.0,-47.62977384
221.0,-47.346884185
222.0,-48.802520455
223.0,-50.54514003
224.0,-49.433763255
225.0,-49.074805705
226.0,-46.8652688
227.0,-37.012594355000004
228.0,-42.42436594
229.0,-44.36001517
230.0,-42.662268735
231.0,-35.729019225
232.0,-36.93793348
233.0,-23.87067837
234.0,-26.665983699999998
235.0,-45.665897965
236.0,-32.691618405
237.0,-46.31016903
238.0,-40.857677855
239.0,-37.87585782
240.0,-48.31012688
241.0,-47.460055695
242.0,-43.659348505
243.0,-43.9283795
244.0,-36.05723198
245.0,-39.689320620000004
246.0,-41.052224194999994
247.0,-36.639335005
248.0,-43.355930685000004
249.0,-48.96354045
250.0,-38.76344979
251.0,-32.85902739
252.0,-24.978312945
253.0,-33.729301129999996
254.0,-40.889538295
255.0,-44.21863088
256.0,-39.144565135
257.0,-40.79534175
258.0,-38.60730094
259.0,-43.188694229999996
260.0,-39.33773545
261.0,-33.67923262
262.0,-47.92039508
263.0,-39.464859505
264.0,-44.188594705
265.0,-41.00295429
266.0,-43.04423496
267.0,-43.285981565
268.0,-43.6300639
269.0,-44.151486164999994
270.0,-42.523228455
271.0,-47.366616335
272.0,-47.813300905000006
273.0,-50.063324460000004
274.0,-46.06895899
275.0,-45.630409375
276.0,-49.769182155
277.0,-48.75658103
278.0,-16.8611742
279.0,-51.35036868
280.0,-48.64551923
281.0,-43.591237655
282.0,-46.99570461
283.0,-41.44561725
284.0,-46.695360609999994
285.0,-43.36467615
286.0,-24.14241965
287.0,-41.828233264999994
288.0,-48.51234613
289.0,-43.87516525
290.0,-42.970186674999994
291.0,-38.78697918
292.0,-38.10745868
293.0,-42.787405425
294.0,-45.656373825
295.0,-44.19826433
296.0,-39.162640265
297.0,-18.4034215005
298.0,-36.630773425
299.0,-47.4468086
300.0,-40.73809862
301.0,-34.96275139
302.0,-36.274018819999995
303.0,-33.385753535
304.0,-36.00524679
305.0,-37.282267005
306.0,-39.37218456
307.0,-39.87500335
308.0,-40.59781087
309.0,-41.86909198
310.0,-38.15175974
311.0,-39.430937130000004
312.0,-41.01112051
313.0,-42.0404394
314.0,-46.128669875
315.0,-43.61318455
316.0,-40.941021035000006
317.0,-38.019580505
318.0,-36.73880887
319.0,-45.453958220000004
320.0,-48.828832515
321.0,-49.710293975
322.0,-14.32548976
323.0,-46.738115865
324.0,-49.881935065
325.0,-41.35725588
326.0,-39.790121985
327.0,-21.88991097
328.0,-25.893319415
329.0,-31.018346145
330.0,-46.66168175
331.0,-38.62073998
332.0,-44.352557340000004
333.0,-47.47211057
334.0,-40.33677255
335.0,-50.56453687
336.0,-49.215229199999996
337.0,-48.565213505
338.0,-50.494758225
339.0,-29.44694969
340.0,-10.21853787
341.0,-57.769537905
342.0,-47.89306364
343.0,-45.910647005
344.0,-48.27712631
345.0,-45.89680919
346.0,-48.719442165000004
347.0,-48.855514745
348.0,-49.938731884999996
349.0,-49.320571385
