Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
111.0,-3.414017178,-2.7739735234999996,8.9725285165,9.992833972
112.0,-3.4141745649999997,-2.770782847,8.972290041,9.9917874855
113.0,-3.4244429145,-2.7709068495,8.969614462,9.9929349235
114.0,-3.4274571255,-2.772132565,8.968779826,9.993559256000001
115.0,-3.4308671905,-2.7707017680000003,8.967549331499999,9.993226672999999
116.0,-3.4292295005,-2.7760075239999997,8.965547724,9.992342196500001
117.0,-3.429231313,-2.7710308515,8.9671582665,9.9924055835
118.0,-3.4307622655000003,-2.7719227145,8.9671725615,9.9931911665
119.0,-3.4275429735,-2.777583899,8.96620917,9.9927941285
120.0,-3.4940607525000003,-2.806147433,8.934087755499998,9.9953782425
121.0,-3.5315094995000003,-3.2438666830000003,8.748246058,9.9775135195
122.0,-3.5889321945,-3.2248943,8.739828214500001,9.9845548055
123.0,-3.486224756,-2.9070282665000002,8.900778691,9.991958426
124.0,-3.5472387395,-2.827676216,8.92874118,10.016108831499999
125.0,-3.5946363075,-2.4993748829999998,8.979381926,9.9905598445
126.0,-3.6223460865,-2.303179111,9.061032790999999,10.0264505965
127.0,-3.571610002,-2.2060088575,8.938980975500002,9.875701701
128.0,-3.5500574205,-2.3697827475,9.148845645,10.095784370499999
129.0,-3.5243173800000003,-2.2594873115,9.0058850795,9.931414948
130.0,-3.5462371975,-2.303927894,9.072317037000001,10.009664539500001
131.0,-3.549823735,-2.3279319115,9.08225629,10.0254138175
132.0,-3.6261710894999997,-2.4435069875,8.9835646255,9.9916323375
133.0,-3.4536883984999998,-3.6648169404999997,8.5891127685,9.961803366
134.0,-3.8412456135,-4.091614206,8.2416437755,9.975038912999999
135.0,-4.9593885150000006,-3.8754876114999997,7.9687426315,10.169500882000001
136.0,-7.206322946,-0.8919164442399999,7.2887702795,10.3649236095
137.0,-0.8700109282499999,5.1008801055,7.222905889,9.078550052
138.0,-0.057744748275,4.303800862,9.0449403605,10.026591871499999
139.0,-0.29087165994999997,4.826877537,8.764662094,10.010332517
140.0,-0.16808168784,4.948894931,8.553819536999999,9.884452522
141.0,-0.4332256555,2.7353159805000002,9.471454579,9.913723556
142.0,0.15716555059999998,2.6688268859999997,9.732970716,10.10628782
143.0,0.47759077615,2.12671404,9.769020221,10.012815863
144.0,0.73893554,3.124957846,8.9645684005,9.54863567
145.0,-0.96569197425,0.35667653,10.2260329915,10.523493802499999
146.0,0.161167603455,3.197881612,9.225563250499999,9.77128728
147.0,0.33055722135,2.518642963,9.2433450345,9.604775311000001
148.0,-5.298993699,-1.860167422,8.5310213275,10.32627868
149.0,-6.2675192615,-4.508215027,5.9780307194999995,9.848978453
150.0,-5.0993212295,-3.266352591,8.104112184,10.145024285
151.0,-4.3608898455,-2.4867366205,8.7663659555,10.10498337
152.0,-3.3715516295,-2.0927803415,9.0117994445,9.892669101
153.0,-3.696375555,-1.832875864,9.094136709499999,9.987862713
154.0,-3.9913154255000003,-1.972016183,8.9569137105,10.003262920000001
155.0,-4.065759858,-2.08352303,8.88432457,9.9907527975
156.0,-3.9170509395,-1.9996150655,8.9778595065,9.9971918255
157.0,-3.9375031465,-1.977372122,8.9762009,9.999308302500001
158.0,-3.9445903585,-1.968548877,8.974431461999998,9.998769951
159.0,-3.9495709975,-1.967119568,8.972154932999999,9.99841173
160.0,-3.954136723,-1.9621369975,8.9719611745,9.9990635165
161.0,-3.9562125139999997,-1.961104326,8.972335689000001,10.000017784
162.0,-3.9522880435,-1.963154775,8.9734775935,9.999894097
163.0,-3.9566853579999997,-1.9598877895,8.9729482285,10.0005162245
164.0,-3.9524502,-1.962787537,8.97287668,9.999347141000001
165.0,-3.9549614560000004,-1.947064447,8.9757475225,9.999843101
166.0,-3.958114962,-1.9392028259999998,8.976064118,9.999845456
167.0,-3.9549836565,-1.9417593525,8.976655583500001,9.9996340185
168.0,-3.9596273855,-1.9378377595,8.9764121745,10.00049218
169.0,-3.9566035415,-1.941526583,8.9769311195,10.000476599999999
170.0,-3.959059079,-1.935866382,8.976349286000001,9.999828864000001
171.0,-3.960646128,-1.936837943,8.9749264205,9.999368220000001
172.0,-3.944304767,-1.9355790805000002,8.9841374425,10.000938705
173.0,-3.9385810135,-1.9336755970000001,8.9876663485,10.00148396
