"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
3.335697917E-1,NaN
8.551296250E-1,-7.221046941E1
1.382945542E0,-6.666806579E1
1.902216958E0,-6.440574435E1
2.422725917E0,-6.837830686E1
2.934340417E0,-6.786726561E1
3.455557125E0,-6.502526008E1
3.972349208E0,-7.199950261E1
4.489686000E0,-6.877408311E1
5.008003375E0,-7.492225258E1
5.531676542E0,-7.558970002E1
6.058785208E0,-7.540202097E1
6.578077625E0,-7.568151122E1
7.101652042E0,-7.593320454E1
7.628381167E0,-7.454082568E1
8.154648042E0,-7.528381386E1
8.680779500E0,-7.088841319E1
9.206248875E0,-7.604918214E1
9.733223042E0,-7.564931152E1
1.025624850E1,-7.488968937E1
1.077302033E1,-5.195212069E1
1.128875075E1,-6.991950269E1
1.180636608E1,-7.457581743E1
1.232445712E1,-7.519911492E1
1.284234471E1,-7.631485164E1
1.335822913E1,-7.068257939E1
1.387797471E1,-7.573284580E1
1.439588900E1,-7.553130969E1
1.492284896E1,-7.450671625E1
1.544639292E1,-7.430183138E1
1.597286517E1,-7.493773745E1
1.649881087E1,-7.474898927E1
1.702195171E1,-7.311297141E1
1.753956717E1,-7.593240965E1
1.805617738E1,-7.488890428E1
1.857232592E1,-7.581123659E1
1.909465558E1,-7.419228519E1
1.960777492E1,-7.491381650E1
2.012574862E1,-6.285132307E1
2.064356879E1,-7.446994681E1
2.116149471E1,-7.527963319E1
2.167935471E1,-7.173402813E1
2.220634908E1,-7.379813869E1
2.273182712E1,-7.581121392E1
2.325632142E1,-7.468915804E1
2.378589137E1,-7.549434064E1
2.430523625E1,-7.431608228E1
2.482332738E1,-7.484970272E1
2.534855958E1,-7.406762795E1
2.587260075E1,-7.304264795E1
2.639173263E1,-7.377036501E1
2.690902429E1,-7.137835710E1
2.742612079E1,-7.018756830E1
2.794276258E1,-7.353354273E1
2.846197104E1,-6.763153196E1
2.898369221E1,-6.539159022E1
2.951046458E1,-7.146389794E1
3.003234588E1,-7.391489551E1
3.055035483E1,-6.066031433E1
3.107723313E1,-6.554816058E1
3.160273033E1,-7.283257644E1
3.212719983E1,-7.180465528E1
3.265319858E1,-6.720542608E1
3.317420654E1,-7.143706604E1
3.369633242E1,-7.266240941E1
3.422366171E1,-7.354906746E1
3.474352921E1,-7.402631463E1
3.526904533E1,-7.183295703E1
3.579604175E1,-7.217437426E1
3.632098487E1,-7.416241469E1
3.684655942E1,-7.217967904E1
3.736631704E1,-7.442911524E1
3.789229650E1,-7.379969982E1
3.841693233E1,-7.256870621E1
3.893682158E1,-7.126539569E1
3.945965413E1,-7.313708253E1
3.997259246E1,-7.291385025E1
4.049050371E1,-7.372319795E1
4.100827421E1,-7.395113732E1
4.152982829E1,-7.155538510E1
4.204410350E1,-7.203446959E1
4.256919567E1,-7.541039193E1
4.309460883E1,-7.520007886E1
4.361445513E1,-7.590993589E1
4.413240546E1,-7.246388858E1
4.465032388E1,-7.501103100E1
4.516803429E1,-7.541666977E1
4.568591796E1,-7.517298141E1
4.620377558E1,-7.545912137E1
4.672685000E1,-7.574533230E1
4.723960475E1,-7.552029277E1
4.776045908E1,-7.591515509E1
4.827741608E1,-7.473354645E1
4.879115738E1,-7.532397026E1
4.931113171E1,-7.565525468E1
4.982686937E1,-7.561310922E1
5.034488829E1,-7.489407424E1
5.086459067E1,-7.507992309E1
5.138041896E1,-7.441988097E1
5.189814933E1,-7.360547936E1
5.241797546E1,-7.445543377E1
5.294039196E1,-7.526381008E1
5.345361187E1,-7.541460485E1
5.397805963E1,-7.565800378E1
5.450404475E1,-7.413017200E1
5.502385783E1,-7.414389750E1
5.554173117E1,-7.207743095E1
5.605960863E1,-7.461544724E1
5.657739888E1,-7.442725463E1
5.710158096E1,-7.556437500E1
5.762775788E1,-7.501244835E1
5.814564733E1,-7.474030431E1
5.866352938E1,-7.491112938E1
5.918344600E1,-6.540924407E1
5.970135808E1,-7.495602626E1
6.021918717E1,-7.458269656E1
6.073721221E1,-7.372632557E1
6.125375846E1,-7.526428843E1
6.177288254E1,-7.475944815E1
6.229064600E1,-6.865581800E1
6.280848700E1,-7.155454252E1
6.333053267E1,-7.603822138E1
6.384228883E1,-6.527463746E1
6.436209367E1,-7.615439028E1
6.488011850E1,-6.386761732E1
6.539784500E1,-7.098881269E1
6.591570046E1,-7.494575663E1
6.643350325E1,-7.519340175E1
6.695136792E1,-6.522733986E1
6.746922529E1,-6.782799094E1
6.799290958E1,-7.540094365E1
6.851961771E1,-7.467428399E1
6.903966437E1,-7.358328763E1
6.955742846E1,-7.437605932E1
7.007533700E1,-6.365287648E1
7.059117625E1,-6.351979855E1
7.111101725E1,-7.446724256E1
7.162684583E1,-7.446280375E1
7.214477767E1,-6.254539863E1
7.266256854E1,-5.886117799E1
7.318705637E1,-7.126523249E1
7.369847388E1,-7.290809975E1
7.421831387E1,-7.186448751E1
7.473408437E1,-6.633924428E1
7.525462454E1,-6.883939126E1
7.577929625E1,-6.669029709E1
7.630462533E1,-7.235178162E1
7.682532963E1,-7.163966524E1
7.734499479E1,-6.285672465E1
7.785857150E1,-6.373177001E1
7.839301592E1,-6.262353499E1
7.891409954E1,-7.536200690E1
7.943373038E1,-6.123718729E1
7.995837258E1,-7.477796586E1
8.048339979E1,-7.494481989E1
8.100115558E1,-5.676021776E1
8.151907921E1,-7.389098674E1
8.204306825E1,-7.475122959E1
8.256968808E1,-6.891570623E1
8.308950092E1,-6.351823150E1
8.360736025E1,-6.648518959E1
8.412520275E1,-7.603166471E1
8.464302458E1,-6.251698092E1
8.516099583E1,-7.123387360E1
8.567883658E1,-5.727799956E1
8.619492338E1,-6.168802724E1
8.671467229E1,-7.433059553E1
8.723269508E1,-7.492375031E1
8.775057404E1,-7.048235823E1
8.826854492E1,-5.762401528E1
8.878634967E1,-6.319287378E1
8.930427854E1,-7.180408691E1
8.982208658E1,-7.427229668E1
