Time,Event,Key/Button,PositionX,PositionY
2024-06-08 21:42:23, Mouse Move,,,1144,1060
2024-06-08 21:42:23, Mouse Move,,,1145,1061
2024-06-08 21:42:23, Mouse Move,,,1146,1061
2024-06-08 21:42:24, Mouse Move,,,1144,1061
2024-06-08 21:42:24, Mouse Move,,,1137,1055
2024-06-08 21:42:24, Mouse Move,,,1078,1021
2024-06-08 21:42:24, Mouse Move,,,1001,971
2024-06-08 21:42:24, Mouse Move,,,927,921
2024-06-08 21:42:24, Mouse Move,,,869,881
2024-06-08 21:42:24, Mouse Move,,,848,866
2024-06-08 21:42:24, Mouse Move,,,833,855
2024-06-08 21:42:24, Mouse Move,,,823,847
2024-06-08 21:42:24, Mouse Move,,,816,841
2024-06-08 21:42:24, Mouse Move,,,808,837
2024-06-08 21:42:24, Mouse Move,,,803,833
2024-06-08 21:42:24, Mouse Move,,,798,831
2024-06-08 21:42:24, Mouse Move,,,793,827
2024-06-08 21:42:24, Mouse Move,,,789,825
2024-06-08 21:42:24, Mouse Move,,,784,821
2024-06-08 21:42:24, Mouse Move,,,777,812
2024-06-08 21:42:24, Mouse Move,,,766,795
2024-06-08 21:42:24, Mouse Move,,,738,738
2024-06-08 21:42:24, Mouse Move,,,721,685
2024-06-08 21:42:24, Mouse Move,,,714,658
2024-06-08 21:42:24, Mouse Move,,,711,642
2024-06-08 21:42:24, Mouse Move,,,709,632
2024-06-08 21:42:24, Mouse Move,,,708,626
2024-06-08 21:42:24, Mouse Move,,,708,622
2024-06-08 21:42:24, Mouse Move,,,707,620
2024-06-08 21:42:24, Mouse Move,,,707,618
2024-06-08 21:42:24, Mouse Move,,,707,617
2024-06-08 21:42:24, Mouse Move,,,707,616
2024-06-08 21:42:24, Mouse Move,,,709,616
2024-06-08 21:42:24, Mouse Move,,,710,615
2024-06-08 21:42:24, Mouse Move,,,712,615
2024-06-08 21:42:24, Mouse Move,,,716,615
2024-06-08 21:42:24, Mouse Move,,,719,615
2024-06-08 21:42:24, Mouse Move,,,721,615
2024-06-08 21:42:24, Mouse Move,,,725,615
2024-06-08 21:42:24, Mouse Move,,,727,615
2024-06-08 21:42:24, Mouse Move,,,730,616
2024-06-08 21:42:24, Mouse Move,,,732,618
2024-06-08 21:42:24, Mouse Move,,,735,620
2024-06-08 21:42:24, Mouse Move,,,739,623
2024-06-08 21:42:24, Mouse Move,,,744,629
2024-06-08 21:42:24, Mouse Move,,,751,639
2024-06-08 21:42:24, Mouse Move,,,760,653
2024-06-08 21:42:24, Mouse Move,,,766,665
2024-06-08 21:42:24, Mouse Move,,,770,673
2024-06-08 21:42:24, Mouse Move,,,772,678
2024-06-08 21:42:24, Mouse Move,,,774,681
2024-06-08 21:42:24, Mouse Move,,,774,683
2024-06-08 21:42:24, Mouse Move,,,775,684
2024-06-08 21:42:24, Mouse Move,,,775,685
2024-06-08 21:42:24, Mouse Move,,,775,686
2024-06-08 21:42:24, Mouse Move,,,776,688
2024-06-08 21:42:24, Mouse Move,,,776,689
2024-06-08 21:42:24, Mouse Move,,,776,690
2024-06-08 21:42:24, Mouse Move,,,777,690
2024-06-08 21:42:24, Mouse Move,,,777,691
2024-06-08 21:42:24, Mouse Move,,,779,693
2024-06-08 21:42:24, Mouse Move,,,779,694
2024-06-08 21:42:24, Mouse Move,,,780,695
2024-06-08 21:42:24, Mouse Move,,,781,698
2024-06-08 21:42:24, Mouse Move,,,782,699
2024-06-08 21:42:24, Mouse Move,,,784,703
2024-06-08 21:42:24, Mouse Move,,,786,706
2024-06-08 21:42:24, Mouse Move,,,790,713
2024-06-08 21:42:24, Mouse Move,,,795,724
2024-06-08 21:42:24, Mouse Move,,,804,739
2024-06-08 21:42:24, Mouse Move,,,811,754
2024-06-08 21:42:24, Mouse Move,,,817,765
2024-06-08 21:42:29, Mouse Click,Button.left,817,765
2024-06-08 21:42:30, Mouse Move,,,849,698
2024-06-08 21:42:30, Mouse Move,,,881,632
2024-06-08 21:42:30, Mouse Move,,,914,573
2024-06-08 21:42:30, Mouse Move,,,931,547
2024-06-08 21:42:30, Mouse Move,,,941,533
2024-06-08 21:42:30, Mouse Move,,,949,525
