"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.299233333E-1,8.391262480E1,-4.980120444E1
1.339854458E0,8.395411161E1,-5.023906321E1
1.849786458E0,8.346306668E1,-4.822849715E1
2.359719083E0,8.387106844E1,-5.169855119E1
2.869651083E0,8.392233619E1,-5.074565600E1
3.379581583E0,8.407982176E1,-5.146714983E1
3.889513583E0,8.415666487E1,-5.244662152E1
4.399444708E0,8.416002617E1,-5.216101406E1
4.909376708E0,8.417291367E1,-5.183550579E1
5.419309667E0,8.414083524E1,-5.131580317E1
5.929240667E0,8.413611911E1,-5.120831559E1
6.439172417E0,8.416241405E1,-5.134460859E1
6.949105417E0,8.416070114E1,-5.126751746E1
7.459038042E0,8.415648286E1,-5.132034020E1
7.968970042E0,8.418125863E1,-5.132285525E1
8.478901417E0,8.415144462E1,-5.115484324E1
8.988833417E0,8.419326672E1,-5.142697573E1
9.498766417E0,8.414818327E1,-5.107448088E1
1.000869842E1,8.419606327E1,-5.129937164E1
1.051863121E1,8.416359418E1,-5.110076170E1
1.102856321E1,8.415467467E1,-5.108516001E1
1.153849679E1,8.419658503E1,-5.128809007E1
1.204842979E1,8.415641163E1,-5.108098634E1
1.255836192E1,8.423289457E1,-5.139639358E1
1.306829492E1,8.417887483E1,-5.107336721E1
1.357822754E1,8.418464533E1,-5.112049256E1
1.408816054E1,8.418516715E1,-5.119716813E1
1.459809383E1,8.419540948E1,-5.111814846E1
1.510802683E1,8.418246516E1,-5.107910334E1
1.561795954E1,8.422706110E1,-5.156356329E1
1.612789254E1,8.416912034E1,-5.104924981E1
1.663782554E1,8.419386449E1,-5.086994135E1
1.714775954E1,8.414658168E1,-5.043482697E1
1.765769217E1,8.415639592E1,-5.051433214E1
1.816762517E1,8.420038857E1,-5.078800040E1
1.867755933E1,8.418438470E1,-5.073372031E1
1.918749233E1,8.419627891E1,-5.063501716E1
1.969742517E1,8.419809491E1,-5.066836508E1
2.020735929E1,8.421888997E1,-5.068486624E1
2.071729329E1,8.422285479E1,-5.052988413E1
2.122722642E1,8.421239729E1,-5.054828698E1
2.173716042E1,8.421821410E1,-5.053084054E1
2.224709554E1,8.418385165E1,-5.057583585E1
2.275702854E1,8.417039372E1,-5.035805350E1
2.377689542E1,8.421256857E1,-5.053746560E1
2.428682904E1,8.418509359E1,-5.048104428E1
2.479676304E1,8.424455630E1,-5.046248193E1
2.530669742E1,8.452621403E1,-5.036247580E1
2.581663142E1,8.450507033E1,-4.992133786E1
2.632656554E1,8.510586598E1,-4.803065918E1
2.683649954E1,8.503806811E1,-4.897740431E1
2.734643354E1,8.362739591E1,-4.681337942E1
2.785636754E1,8.329146837E1,-4.652145679E1
2.836630279E1,8.371709498E1,-5.092616112E1
