"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.299233333E-1,6.087375192E0,-7.192943324E0
1.339854458E0,6.045888385E0,-7.254640693E0
1.849786458E0,6.536933314E0,-7.310474175E0
2.359719083E0,6.128931551E0,-7.742431526E0
2.869651083E0,6.077663801E0,-7.423735567E0
3.379581583E0,5.920178236E0,-7.418761007E0
3.889513583E0,5.843335129E0,-7.582395433E0
4.399444708E0,5.839973822E0,-7.501270201E0
4.909376708E0,5.827086323E0,-7.398625363E0
5.419309667E0,5.859164759E0,-7.303369351E0
5.929240667E0,5.863880880E0,-7.281487707E0
6.439172417E0,5.837585944E0,-7.283997331E0
6.949105417E0,5.839298859E0,-7.266277131E0
7.459038042E0,5.843517138E0,-7.285109527E0
7.968970042E0,5.818741367E0,-7.254985520E0
8.478901417E0,5.848555374E0,-7.248812338E0
8.988833417E0,5.806733279E0,-7.266811613E0
9.498766417E0,5.851816728E0,-7.232271799E0
1.000869842E1,5.803936725E0,-7.230584769E0
1.051863121E1,5.836405813E0,-7.219996421E0
1.102856321E1,5.845325327E0,-7.227004706E0
1.153849679E1,5.803414963E0,-7.227051370E0
1.204842979E1,5.843588366E0,-7.223799751E0
1.255836192E1,5.767105428E0,-7.209595771E0
1.306829492E1,5.821125162E0,-7.194195231E0
1.357822754E1,5.815354669E0,-7.199068327E0
1.408816054E1,5.814832845E0,-7.217964182E0
1.459809383E1,5.804590519E0,-7.185196282E0
1.510802683E1,5.817534834E0,-7.191231474E0
1.561795954E1,5.772938899E0,-7.259742664E0
1.612789254E1,5.830879658E0,-7.200069486E0
1.663782554E1,5.806135503E0,-7.124378899E0
1.714775954E1,5.853418316E0,-7.072931878E0
1.765769217E1,5.843604079E0,-7.080896207E0
1.816762517E1,5.799611423E0,-7.095859827E0
1.867755933E1,5.815615297E0,-7.101768603E0
1.918749233E1,5.803721084E0,-7.062680904E0
1.969742517E1,5.801905082E0,-7.068779843E0
2.020735929E1,5.781110022E0,-7.047625311E0
2.071729329E1,5.777145202E0,-7.004457996E0
2.122722642E1,5.787602706E0,-7.021645439E0
2.173716042E1,5.781785893E0,-7.010302684E0
2.224709554E1,5.816148347E0,-7.063014384E0
2.275702854E1,5.829606271E0,-7.025250883E0
2.377689542E1,5.787431430E0,-7.018763098E0
2.428682904E1,5.814906403E0,-7.037982537E0
2.479676304E1,5.755443697E0,-6.961688705E0
2.530669742E1,5.473785968E0,-6.598701093E0
