"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
8.299233333E-1,1.398012044E2,9.719294332E1
1.339854458E0,1.402390632E2,9.725464069E1
1.849786458E0,1.382284971E2,9.731047417E1
2.359719083E0,1.416985512E2,9.774243152E1
2.869651083E0,1.407456560E2,9.742373556E1
3.379581583E0,1.414671498E2,9.741876100E1
3.889513583E0,1.424466215E2,9.758239543E1
4.399444708E0,1.421610141E2,9.750127020E1
4.909376708E0,1.418355058E2,9.739862536E1
5.419309667E0,1.413158032E2,9.730336935E1
5.929240667E0,1.412083156E2,9.728148770E1
6.439172417E0,1.413446086E2,9.728399733E1
6.949105417E0,1.412675175E2,9.726627713E1
7.459038042E0,1.413203402E2,9.728510952E1
7.968970042E0,1.413228552E2,9.725498552E1
8.478901417E0,1.411548432E2,9.724881233E1
8.988833417E0,1.414269757E2,9.726681161E1
9.498766417E0,1.410744809E2,9.723227179E1
1.000869842E1,1.412993716E2,9.723058476E1
1.051863121E1,1.411007617E2,9.721999642E1
1.102856321E1,1.410851600E2,9.722700470E1
1.153849679E1,1.412880901E2,9.722705137E1
1.204842979E1,1.410809863E2,9.722379975E1
1.255836192E1,1.413963936E2,9.720959577E1
1.306829492E1,1.410733672E2,9.719419523E1
1.357822754E1,1.411204926E2,9.719906832E1
1.408816054E1,1.411971681E2,9.721796418E1
1.459809383E1,1.411181485E2,9.718519628E1
1.510802683E1,1.410791033E2,9.719123147E1
1.561795954E1,1.415635633E2,9.725974266E1
1.612789254E1,1.410492498E2,9.720006948E1
1.663782554E1,1.408699413E2,9.712437889E1
1.714775954E1,1.404348270E2,9.707293187E1
1.765769217E1,1.405143321E2,9.708089620E1
1.816762517E1,1.407880004E2,9.709585982E1
1.867755933E1,1.407337203E2,9.710176860E1
1.918749233E1,1.406350172E2,9.706268090E1
1.969742517E1,1.406683651E2,9.706877984E1
2.020735929E1,1.406848662E2,9.704762531E1
2.071729329E1,1.405298841E2,9.700445799E1
2.122722642E1,1.405482870E2,9.702164543E1
2.173716042E1,1.405308405E2,9.701030268E1
2.224709554E1,1.405758358E2,9.706301438E1
2.275702854E1,1.403580535E2,9.702525088E1
2.377689542E1,1.405374656E2,9.701876309E1
2.428682904E1,1.404810443E2,9.703798253E1
2.479676304E1,1.404624819E2,9.696168870E1
2.530669742E1,1.403624758E2,9.659870109E1
2.581663142E1,1.399213379E2,9.652215064E1
2.632656554E1,1.380306592E2,9.543822209E1
2.683649954E1,1.389774043E2,9.569893833E1
2.734643354E1,1.368133794E2,9.678554256E1
2.785636754E1,1.365214568E2,9.707100999E1
2.836630279E1,1.409261611E2,9.772239255E1
2.887623679E1,1.414964451E2,9.809101061E1
2.938617071E1,1.428060739E2,9.786692322E1
2.989610471E1,1.392176309E2,9.837575366E1
3.040603946E1,1.384062728E2,9.931986153E1
3.091597346E1,1.361914691E2,9.964983204E1
3.142590742E1,1.409118539E2,9.754940939E1
3.193584142E1,1.381578081E2,9.794845494E1
3.244577704E1,1.375388580E2,9.858432824E1
3.295571104E1,1.357964565E2,9.856595105E1
3.346564608E1,1.371763500E2,9.877759310E1
3.397558008E1,1.357934391E2,9.865945786E1
