"t (s)","Inclination (deg)","Rotation (deg)"
8.299233333E-1,9.382212869E0,-4.980120444E1
1.339854458E0,9.402730893E0,-5.023906321E1
1.849786458E0,9.760119323E0,-4.822849715E1
2.359719083E0,9.828907050E0,-5.169855119E1
2.869651083E0,9.551652982E0,-5.074565600E1
3.379581583E0,9.450571392E0,-5.146714983E1
3.889513583E0,9.531557309E0,-5.244662152E1
4.399444708E0,9.465998934E0,-5.216101406E1
4.909376708E0,9.378134324E0,-5.183550579E1
5.419309667E0,9.323881425E0,-5.131580317E1
5.929240667E0,9.309892649E0,-5.120831559E1
6.439172417E0,9.295643042E0,-5.134460859E1
6.949105417E0,9.283007177E0,-5.126751746E1
7.459038042E0,9.300149417E0,-5.132034020E1
7.968970042E0,9.261633374E0,-5.132285525E1
8.478901417E0,9.275240121E0,-5.115484324E1
8.988833417E0,9.263402026E0,-5.142697573E1
9.498766417E0,9.264511732E0,-5.107448088E1
1.000869842E1,9.233670874E0,-5.129937164E1
1.051863121E1,9.245529165E0,-5.110076170E1
1.102856321E1,9.256441489E0,-5.108516001E1
1.153849679E1,9.230620139E0,-5.128809007E1
1.204842979E1,9.252899239E0,-5.108098634E1
1.255836192E1,9.194798677E0,-5.139639358E1
1.306829492E1,9.216208220E0,-5.107336721E1
1.357822754E1,9.216394544E0,-5.112049256E1
1.408816054E1,9.230641395E0,-5.119716813E1
1.459809383E1,9.199052899E0,-5.111814846E1
1.510802683E1,9.211705058E0,-5.107910334E1
1.561795954E1,9.237218815E0,-5.156356329E1
1.612789254E1,9.226766318E0,-5.104924981E1
1.663782554E1,9.153226374E0,-5.086994135E1
1.714775954E1,9.143371146E0,-5.043482697E1
1.765769217E1,9.143299396E0,-5.051433214E1
1.816762517E1,9.127280793E0,-5.078800040E1
1.867755933E1,9.141781405E0,-5.073372031E1
1.918749233E1,9.104423034E0,-5.063501716E1
1.969742517E1,9.107957731E0,-5.066836508E1
2.020735929E1,9.078776333E0,-5.068486624E1
2.071729329E1,9.043270254E0,-5.052988413E1
2.122722642E1,9.062955452E0,-5.054828698E1
2.173716042E1,9.050643528E0,-5.053084054E1
2.224709554E1,9.112447160E0,-5.057583585E1
2.275702854E1,9.092055821E0,-5.035805350E1
2.377689542E1,9.060645054E0,-5.053746560E1
2.428682904E1,9.092541771E0,-5.048104428E1
2.479676304E1,8.996995513E0,-5.046248193E1
2.530669742E1,8.542889963E0,-5.036247580E1
2.581663142E1,8.498032186E0,-4.992133786E1
2.632656554E1,7.296666582E0,-4.803065918E1
2.683649954E1,7.535024695E0,-4.897740431E1
2.734643354E1,9.268429453E0,-4.681337942E1
2.785636754E1,9.700631309E0,-4.652145679E1
2.836630279E1,9.907969135E0,-5.092616112E1
2.887623679E1,1.029603240E1,-5.149644509E1
2.938617071E1,9.840323516E0,-5.280607395E1
2.989610471E1,1.100370131E1,-4.921763091E1
3.040603946E1,1.237677274E1,-4.840627281E1
3.091597346E1,1.325785160E1,-4.619146911E1
3.142590742E1,9.689639997E0,-5.091185392E1
3.193584142E1,1.061511331E1,-4.815780810E1
3.244577704E1,1.156427544E1,-4.753885796E1
3.295571104E1,1.186634722E1,-4.579645650E1
3.346564608E1,1.188846113E1,-4.717635004E1
3.397558008E1,1.199467230E1,-4.579343912E1
3.448551408E1,1.088155048E1,-4.995683846E1
3.499544808E1,9.938670938E0,-5.364868055E1
3.550538329E1,1.022918798E1,-5.055232591E1
3.601531729E1,9.926521304E0,-5.325735479E1
3.652525208E1,9.510065337E0,-5.192213470E1
3.703518708E1,9.485502980E0,-5.186312246E1
3.754512142E1,9.449613468E0,-5.184346137E1
3.805505642E1,9.418687302E0,-5.176529739E1
