"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)","Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute Linear acceleration (m/s^2)","Time (s)","Attitude x (m/s^2)","Attitude y (m/s^2)","Attitude z (m/s^2)","Absolute Attitude (m/s^2)","Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.299233333E-1,-1.228126866E0,1.037803415E0,9.731263733E0,9.863205633E0,8.299233333E-1,-5.495664462E-3,5.640804723E-3,5.241718480E-2,5.300549281E-2,8.299233333E-1,-1.228126866E0,1.037803415E0,9.731263733E0,9.863205633E0,8.299233333E-1,1.024125108E-4,-7.547232627E-5,1.382329591E-4,1.878636351E-4
1.339854458E0,-1.239316945E0,1.031129285E0,9.735528394E0,9.868112646E0,1.339854458E0,-1.380088214E-2,-1.054671029E-2,5.889762745E-2,6.140543922E-2,1.339854458E0,-1.239316945E0,1.031129285E0,9.735528394E0,9.868112646E0,1.339854458E0,4.087262650E-3,1.329887941E-3,1.902105748E-3,4.700247247E-3
1.849786458E0,-1.247259252E0,1.114062706E0,9.722279475E0,9.865065106E0,1.849786458E0,-1.076074275E-2,4.432640761E-2,4.910948017E-2,6.702510752E-2,1.849786458E0,-1.247259252E0,1.114062706E0,9.722279475E0,9.865065106E0,1.849786458E0,6.029159972E-4,1.159275928E-2,4.121665569E-2,4.282018545E-2
2.359719083E0,-1.321663352E0,1.043841086E0,9.721008588E0,9.865820097E0,2.359719083E0,-1.458407369E-3,-2.835214120E-2,5.992819348E-2,6.631258731E-2,2.359719083E0,-1.321663352E0,1.043841086E0,9.721008588E0,9.865820097E0,2.359719083E0,-1.334886170E-2,1.247355853E-2,3.193622954E-2,3.679272385E-2
2.869651083E0,-1.267605178E0,1.035837142E0,9.728463673E0,9.865231214E0,2.869651083E0,5.107803704E-3,1.275780480E-2,5.504214543E-2,5.673172847E-2,2.869651083E0,-1.267605178E0,1.035837142E0,9.728463673E0,9.865231214E0,2.869651083E0,-4.593627651E-3,-1.456144075E-2,-1.733140196E-2,2.309793206E-2
3.379581583E0,-1.267546476E0,1.009439096E0,9.734609716E0,9.868549421E0,3.379581583E0,-1.849207747E-3,5.251639477E-3,5.855525578E-2,5.881936132E-2,3.379581583E0,-1.267546476E0,1.009439096E0,9.734609716E0,9.868549421E0,3.379581583E0,3.589725387E-4,5.301812148E-3,-7.573189616E-3,9.251555236E-3
3.889513583E0,-1.295159643E0,9.957293701E-1,9.729573131E0,9.865774617E0,3.889513583E0,-1.339393600E-2,-3.442819079E-3,5.525733443E-2,5.696159700E-2,3.889513583E0,-1.295159643E0,9.957293701E-1,9.729573131E0,9.865774617E0,3.889513583E0,-2.406959856E-3,2.322693778E-3,2.835489691E-4,3.356897697E-3
4.399444708E0,-1.281041942E0,9.950748488E-1,9.728812947E0,9.863115318E0,4.399444708E0,-6.437205444E-3,2.650959899E-3,5.247753371E-2,5.293729070E-2,4.399444708E0,-1.281041942E0,9.950748488E-1,9.728812947E0,9.863115318E0,4.399444708E0,1.018142597E-3,-6.283730501E-3,-3.332908895E-3,7.185413354E-3
4.909376708E0,-1.263992103E0,9.933959871E-1,9.734028572E0,9.865891944E0,4.909376708E0,-1.023675770E-2,-1.225226714E-3,5.518707612E-2,5.614183609E-2,4.909376708E0,-1.263992103E0,9.933959871E-1,9.734028572E0,9.865891944E0,4.909376708E0,1.109685872E-3,-3.159016624E-3,-6.019326201E-3,6.887893486E-3
5.419309667E0,-1.247461772E0,9.988405474E-1,9.733421012E0,9.863738029E0,5.419309667E0,-4.652036174E-3,1.819078821E-3,5.398470514E-2,5.421530114E-2,5.419309667E0,-1.247461772E0,9.988405474E-1,9.733421012E0,9.863738029E0,5.419309667E0,2.851663294E-4,-5.478748696E-4,-2.990984860E-4,6.862555009E-4
