"event","experiment time","system time","system time text"
"START",0.000000000E0,1717864941.233,"2024-06-08 18:42:21.233 UTC+02:00"
"PAUSE",1.841335856E3,1717866782.569,"2024-06-08 19:13:02.569 UTC+02:00"
