"t (s)","Inclination (deg)","Rotation (deg)"
5.064186720E-1,1.145959484E0,2.253062776E1
1.007608857E0,1.147649605E0,1.561048579E1
1.509226289E0,7.142712870E0,-1.004612963E2
2.011118379E0,2.231475023E1,-1.083191830E2
2.511820283E0,5.123013612E0,-1.029807586E2
3.013040986E0,1.757447994E1,-8.468655614E1
3.514231172E0,4.657582887E1,-1.209461676E2
4.014719453E0,6.420035446E1,-1.260593166E2
4.516367402E0,5.048657103E1,-1.259826987E2
5.017588105E0,3.184344935E1,-1.306901035E2
5.517679658E0,2.284780849E1,-1.241751726E2
6.018930879E0,2.220782154E1,-1.256634999E2
6.519876924E0,2.225618766E1,-1.255855906E2
7.021158662E0,2.237313608E1,-1.250118316E2
8.022715058E0,2.212675320E1,-1.251621080E2
8.524057832E0,2.211845533E1,-1.249106998E2
9.024668183E0,2.215328096E1,-1.248266589E2
9.526071992E0,2.215016964E1,-1.250539764E2
1.002680441E1,2.218200601E1,-1.252860395E2
1.052744528E1,2.213139266E1,-1.258611012E2
1.102936789E1,2.227184740E1,-1.254957084E2
1.153016135E1,2.228918083E1,-1.255704291E2
1.203135153E1,2.229404542E1,-1.256070558E2
1.253214499E1,2.229218339E1,-1.256223124E2
1.303281638E1,2.229432501E1,-1.257364532E2
1.353406760E1,2.226654559E1,-1.257378590E2
1.403495261E1,2.235466408E1,-1.255646007E2
1.453559664E1,2.218994334E1,-1.258580596E2
1.503675314E1,2.238710745E1,-1.256143319E2
1.553791281E1,2.222821394E1,-1.258710073E2
1.603842664E1,2.229242510E1,-1.256522493E2
1.653852316E1,2.230997567E1,-1.255731679E2
1.703921691E1,2.228667095E1,-1.255601764E2
1.754035291E1,2.226920186E1,-1.257104698E2
1.804111716E1,2.220258650E1,-1.256549089E2
1.854136130E1,2.226159399E1,-1.256211191E2
1.954401633E1,2.226977473E1,-1.255481957E2
2.004508444E1,2.221215467E1,-1.257213986E2
2.054621359E1,2.220410416E1,-1.256414185E2
2.104682394E1,2.222268413E1,-1.255474270E2
2.154739075E1,2.223515607E1,-1.254693551E2
2.204834982E1,2.222552444E1,-1.256645841E2
2.254991156E1,2.197584029E1,-1.256895503E2
2.305077541E1,2.150211463E1,-1.257008805E2
2.355182679E1,2.111104042E1,-1.263119739E2
2.405243918E1,2.151298489E1,-1.261482800E2
2.455252252E1,2.130174730E1,-1.257823405E2
2.505285791E1,2.117753376E1,-1.256863488E2
2.555327491E1,2.115105263E1,-1.256963373E2
2.605381247E1,2.129564699E1,-1.253427081E2
2.655410602E1,2.149062936E1,-1.256042263E2
2.705497214E1,2.151547044E1,-1.259545291E2
2.755605517E1,2.143396730E1,-1.259704611E2
2.805759665E1,2.159550474E1,-1.256090452E2
2.906046530E1,2.164632403E1,-1.251085398E2
2.956207763E1,2.175717832E1,-1.250537596E2
3.006357299E1,2.172696151E1,-1.254756897E2
3.056543456E1,2.173931433E1,-1.254558766E2
3.106653320E1,2.177194168E1,-1.253586210E2
3.156775390E1,2.179467993E1,-1.253830470E2
3.206778442E1,2.176510429E1,-1.254926633E2
3.256937133E1,2.172190258E1,-1.256594042E2
3.307089721E1,2.177599832E1,-1.256172109E2
3.357260620E1,2.182848519E1,-1.255018774E2
3.407410156E1,2.185088803E1,-1.254891911E2
3.457602416E1,2.181496163E1,-1.258198521E2
3.557858764E1,2.179418526E1,-1.257075630E2
3.607980834E1,2.183889170E1,-1.256104613E2
3.658105957E1,2.181107302E1,-1.255650637E2
3.708258544E1,2.175633594E1,-1.258075700E2
3.758368408E1,2.174814147E1,-1.256519772E2
3.808530151E1,2.179472175E1,-1.255026840E2
3.858685790E1,2.179015200E1,-1.254930063E2
3.908691894E1,2.165406378E1,-1.256019256E2
3.958801757E1,2.159702607E1,-1.258397608E2
4.008978759E1,2.159436098E1,-1.257195693E2
4.059085571E1,2.165080309E1,-1.255716851E2
4.109247314E1,2.168311311E1,-1.255497182E2
4.159366332E1,2.165907503E1,-1.256305169E2
4.259564697E1,2.162422370E1,-1.257418328E2
4.309686767E1,2.164992610E1,-1.256255517E2
4.359836303E1,2.167779140E1,-1.255915114E2
4.409979736E1,2.166527765E1,-1.255875209E2
4.460080444E1,2.161738209E1,-1.258744233E2
4.510254394E1,2.161862307E1,-1.257741015E2
4.560376464E1,2.165309734E1,-1.255906936E2
4.610574829E1,2.167915932E1,-1.255655463E2
4.660748779E1,2.164168139E1,-1.256499010E2
