"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
6.515256068E1,-1.344303693E1,-1.794057437E1
6.565433070E1,-1.342199112E1,-1.795221637E1
6.615567347E1,-1.336982489E1,-1.799728433E1
6.715899988E1,-1.344086338E1,-1.805902471E1
6.766043421E1,-1.342144345E1,-1.807797027E1
6.816211268E1,-1.346365507E1,-1.801084198E1
6.866247889E1,-1.343634966E1,-1.804967008E1
6.916348597E1,-1.343560569E1,-1.807660193E1
6.966452357E1,-1.344175663E1,-1.810116737E1
7.016635462E1,-1.343906824E1,-1.812489264E1
7.066824671E1,-1.342593004E1,-1.807886445E1
7.116836878E1,-1.347020176E1,-1.804258060E1
7.166931483E1,-1.342187335E1,-1.807241125E1
7.216934534E1,-1.344140969E1,-1.811288067E1
7.316986414E1,-1.344979507E1,-1.814192193E1
7.367111536E1,-1.344434595E1,-1.806244094E1
7.417303797E1,-1.346067286E1,-1.801080969E1
7.467456385E1,-1.343566206E1,-1.806254874E1
7.517605921E1,-1.342776104E1,-1.804008254E1
7.567782923E1,-1.342691266E1,-1.805701156E1
7.617917200E1,-1.340255670E1,-1.802478137E1
7.668024012E1,-1.344554936E1,-1.791729326E1
7.718103358E1,-1.343036697E1,-1.791910303E1
7.768249842E1,-1.338200242E1,-1.793111102E1
7.818371912E1,-1.336789393E1,-1.794695170E1
7.868437814E1,-1.338886744E1,-1.799361868E1
7.918564173E1,-1.339512849E1,-1.792285878E1
8.018841883E1,-1.338399363E1,-1.792563979E1
8.068896815E1,-1.339605900E1,-1.796762227E1
8.118982264E1,-1.342078905E1,-1.801411581E1
8.169067167E1,-1.343941470E1,-1.804445531E1
8.219098231E1,-1.346671099E1,-1.797309899E1
8.269256922E1,-1.340696379E1,-1.797148428E1
8.319403407E1,-1.335225155E1,-1.791347356E1
8.369565150E1,-1.337162862E1,-1.808072057E1
8.419705530E1,-1.343341862E1,-1.816706307E1
8.469873377E1,-1.343940701E1,-1.812470599E1
8.520053431E1,-1.347657988E1,-1.802231451E1
8.620354471E1,-1.332924730E1,-1.792327602E1
8.670519678E1,-1.341091109E1,-1.819483708E1
8.720532557E1,-1.345673281E1,-1.819230555E1
8.770638667E1,-1.334598615E1,-1.794814610E1
8.820788904E1,-1.324290420E1,-1.756266262E1
8.870867013E1,-1.330532419E1,-1.706519767E1
8.921009986E1,-1.319628352E1,-1.711561871E1
8.971142908E1,-1.312427324E1,-1.735877068E1
9.021299774E1,-1.318821445E1,-1.755439959E1
9.071426920E1,-1.329253258E1,-1.771876253E1
9.121459856E1,-1.340761543E1,-1.773194274E1
9.171572772E1,-1.337170130E1,-1.784116037E1
9.271758929E1,-1.340772386E1,-1.792748063E1
9.321801653E1,-1.346791827E1,-1.774779473E1
9.371935931E1,-1.333454801E1,-1.789841676E1
9.422064105E1,-1.327259219E1,-1.791908721E1
9.472186175E1,-1.324032988E1,-1.799602283E1
9.522292986E1,-1.322485768E1,-1.799287427E1
9.572393694E1,-1.326532323E1,-1.800227595E1
9.622534075E1,-1.322961501E1,-1.800665844E1
9.672717181E1,-1.323771100E1,-1.800255055E1
9.722906390E1,-1.322671745E1,-1.801401194E1
