"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)","Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute Linear acceleration (m/s^2)","Time (s)","Attitude x (m/s^2)","Attitude y (m/s^2)","Attitude z (m/s^2)","Absolute Attitude (m/s^2)","Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.084328320E-1,7.661445403E-2,1.847335619E-1,9.993017938E0,9.995018948E0,5.224098830E-1,-1.793202246E-3,1.332243788E-2,1.884790510E-1,1.889578143E-1,5.164589550E-1,7.659545242E-2,1.850090851E-1,9.993141451E0,9.995147386E0,5.105080270E-1,-3.426177973E-2,-2.252484795E-2,1.823208592E-2,4.487368140E-2
1.009592500E0,5.881532967E-2,1.903724214E-1,9.992663463E0,9.994649768E0,1.025583711E0,1.109298078E-1,4.263269996E-3,1.994361272E-1,2.282506661E-1,1.017588105E0,8.231856875E-2,1.798894425E-1,9.996259530E0,9.998216898E0,1.011606660E0,-1.035980292E-2,1.791851230E-2,1.860541675E-1,1.872019012E-1
1.511240449E0,-1.252377343E0,-2.258943619E-1,9.885706476E0,9.967279960E0,1.529154267E0,-8.000395236E-1,-3.300070498E-2,6.170009029E-2,8.030935107E-1,1.519205537E0,-1.396019906E0,-2.313790869E-1,9.847351559E0,9.948504439E0,1.513285127E0,-2.149160427E-1,7.492395410E-1,5.193715969E-1,9.366406199E-1
2.013132539E0,-3.568333474E0,-1.189517622E0,9.215597145E0,9.953651928E0,2.032999482E0,6.871514415E-1,-3.340832090E-1,4.812623584E-1,9.029962080E-1,2.021067109E0,-3.486978310E0,-1.187218807E0,9.248171641E0,9.954756900E0,2.015177217E0,-3.304038666E-1,-4.740278252E-1,3.684414468E-1,6.852869427E-1
2.513803926E0,-9.186962078E-1,-2.097835777E-1,1.051952135E1,1.056164482E1,2.535654512E0,-2.026545530E-1,-2.456325605E-2,7.170181582E-1,7.455114088E-1,2.521738496E0,-9.160921555E-1,-2.055293388E-1,1.051927335E1,1.056108796E1,2.515848603E0,2.713241303E-1,-2.668105510E-1,3.277704139E-2,3.819410795E-1
3.015024629E0,-2.630626733E0,2.428922389E-1,8.258689054E0,8.670936428E0,3.038950410E0,6.742427541E-1,1.420494312E-1,-8.123737304E-1,1.065238194E0,3.022989717E0,-2.714881647E0,2.433310171E-1,8.231246350E0,8.670825152E0,3.017038789E0,-3.605771629E-1,1.017503685E0,-2.256174944E-1,1.102829494E0
3.516214814E0,-6.568926387E0,-3.953618708E0,7.245464823E0,1.054886986E1,3.542124238E0,-4.695565470E-2,-2.678572747E-1,1.085301607E0,1.118852953E0,3.524149385E0,-6.555419655E0,-4.005327743E0,7.207033597E0,1.053363709E1,3.518228974E0,-8.438783056E-1,8.938651031E-1,-4.747429583E-2,1.230194792E0
4.016733613E0,-7.252046478E0,-5.283869613E0,4.327228635E0,9.961745021E0,4.044657197E0,-8.365026353E-2,-6.324276508E-1,-3.309068188E-1,7.186525049E-1,4.024698701E0,-7.257874593E0,-5.307544548E0,4.304717415E0,9.968819627E0,4.018778291E0,8.482815442E-1,4.507999730E-1,-4.813467487E-1,1.074475168E0
4.518381562E0,-6.135947887E0,-4.459472536E0,6.281126165E0,9.848314458E0,4.548380342E0,3.860296126E-1,6.309687514E-2,3.993006599E-1,5.589643052E-1,4.526377168E0,-6.094588293E0,-4.418647104E0,6.349308447E0,9.847952399E0,4.520426240E0,6.232306363E-1,-3.992174059E-1,-3.524730889E-1,8.197732867E-1
5.019571748E0,-3.996485427E0,-3.432970477E0,8.495905804E0,9.996879388E0,5.051340547E0,-1.255836599E-1,-7.507215310E-1,-1.647979766E-2,7.613315023E-1,5.027506318E0,-3.987490478E0,-3.430843359E0,8.502897639E0,9.998501624E0,5.021585908E0,4.805828145E-1,-3.606450659E-1,-1.735786894E-1,6.254232699E-1
